reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Agranulocytosis,ANTIINFECTIVES FOR SYSTEMIC USE,60,32,28,5,0,0,28,22,2,3,46,11,58
Agranulocytosis,CLONAZEPAM,38,17,21,3,0,0,19,4,14,2,34,2,36
Agranulocytosis,CLOZAPINE,38,17,21,0,0,0,3,9,23,2,35,1,33
Agranulocytosis,CLOZARIL,424,234,184,28,2,0,197,73,175,44,352,28,414
Agranulocytosis,GEN-CLOZAPINE,38,17,21,1,0,0,18,11,27,1,35,2,38
Agranulocytosis,NEUPOGEN,47,26,21,3,0,0,28,13,6,3,32,12,47
Anaemia,ACETAMINOPHEN,97,35,60,9,1,0,11,52,28,16,36,45,92
Anaemia,ACETYLSALICYLIC ACID,72,34,38,4,1,0,4,36,14,5,23,44,67
Anaemia,ACETYLSALICYLIC ACID ENT CTD,37,15,21,3,0,0,1,21,3,2,4,31,30
Anaemia,ACLASTA,38,0,38,3,3,0,4,20,24,2,8,28,38
Anaemia,ALLOPURINOL,39,25,14,5,1,0,3,14,14,4,11,24,35
Anaemia,ALTACE,42,20,22,9,4,0,4,24,21,1,16,25,41
Anaemia,AMITRIPTYLINE,33,12,21,2,2,0,1,15,12,1,19,13,31
Anaemia,ANTIINFECTIVES FOR SYSTEMIC USE,49,19,30,8,0,0,5,29,7,5,32,12,49
Anaemia,ARANESP,49,27,22,0,2,0,5,23,24,11,21,17,49
Anaemia,ASA,94,48,45,4,6,0,7,54,32,11,19,64,89
Anaemia,ASPIRIN,59,30,26,6,4,0,8,36,25,4,19,36,58
Anaemia,ATENOLOL TABLETS, BP,43,19,24,3,0,0,4,18,15,2,19,22,38
Anaemia,ATIVAN,81,27,54,10,1,0,8,48,27,5,45,31,78
Anaemia,AVANDIA,73,23,32,0,2,0,4,9,58,30,22,21,70
Anaemia,BLOOD WHOLE,174,92,79,16,1,0,11,99,33,16,84,74,165
Anaemia,CALCIUM,86,31,55,8,8,0,4,45,41,2,40,44,82
Anaemia,CALCIUM CARBONATE,33,12,21,3,0,0,3,11,14,3,13,17,32
Anaemia,CELEBREX,43,13,27,7,0,0,3,23,19,3,19,21,42
Anaemia,CLONAZEPAM,49,21,28,5,1,0,4,26,24,2,34,13,47
Anaemia,CLOZARIL,105,53,52,12,0,0,6,34,82,22,74,9,105
Anaemia,COLACE,50,24,26,7,0,0,8,25,15,1,27,22,48
Anaemia,COUMADIN,74,38,36,17,1,0,8,44,17,4,20,50,70
Anaemia,CRESTOR,34,15,18,1,2,0,2,15,23,2,7,25,34
Anaemia,CYCLOPHOSPHAMIDE,42,13,26,1,0,0,2,24,13,8,29,5,38
Anaemia,DEXAMETHASONE,71,36,32,9,5,0,2,26,33,8,27,36,67
Anaemia,DIGOXIN,65,28,37,9,3,0,6,34,11,2,10,53,61
Anaemia,DILTIAZEM,32,21,11,1,0,0,3,19,13,2,12,18,31
Anaemia,ENBREL,39,12,26,6,1,0,1,16,12,3,27,9,35
Anaemia,EPREX STERILE SOLUTION,171,95,73,11,7,1,14,64,102,6,118,47,168
Anaemia,FERROUS GLUCONATE,42,18,24,3,1,0,3,20,16,1,15,26,40
Anaemia,FERROUS SULPHATE,78,34,44,3,2,0,3,50,18,7,20,51,72
Anaemia,FOLIC ACID,110,32,75,11,5,0,4,49,56,10,54,46,102
Anaemia,FUROSEMIDE,99,47,52,13,1,0,3,60,22,14,27,58,92
Anaemia,GLYBURIDE,41,21,20,3,2,0,3,26,14,1,17,23,36
Anaemia,GRAVOL,36,16,20,5,1,0,1,16,12,1,21,14,33
Anaemia,HEPARIN SODIUM INJECTION, USP,58,33,23,11,1,0,5,18,6,1,15,42,47
Anaemia,HUMIRA,98,44,54,13,1,1,0,61,63,20,55,23,94
Anaemia,HYDROCHLOROTHIAZIDE,56,23,33,5,2,0,7,27,20,2,19,35,51
Anaemia,INCIVEK,34,24,10,2,2,0,1,16,18,6,22,6,31
Anaemia,INSULIN,33,16,17,2,1,0,3,15,17,1,17,15,33
Anaemia,IRON,98,36,61,6,3,0,5,51,39,13,56,29,91
Anaemia,JAKAVI,42,22,20,1,3,0,0,13,35,8,1,33,42
Anaemia,LASIX,97,50,46,19,4,0,7,55,17,7,24,66,92
Anaemia,LEVOTHYROXINE,34,12,22,5,2,0,1,20,14,2,14,18,33
Anaemia,LIPITOR,108,53,55,10,5,0,14,58,51,4,36,68,103
Anaemia,LORAZEPAM,58,32,26,6,2,0,5,33,20,2,28,28,53
Anaemia,LOSEC,67,26,40,3,2,0,4,39,20,2,31,34,64
Anaemia,LUPRON DEPOT,34,34,0,8,0,0,0,22,20,2,0,32,30
Anaemia,METFORMIN,96,47,48,4,6,0,7,54,50,7,35,54,91
Anaemia,METHOTREXATE,93,21,72,5,2,0,4,48,47,5,54,34,90
Anaemia,METOPROLOL,79,45,32,6,9,0,11,43,29,3,22,54,74
Anaemia,MORPHINE,40,25,15,10,0,0,2,20,10,3,18,19,39
Anaemia,MULTIVITAMINE(S),37,17,20,2,1,0,3,19,19,1,21,15,34
Anaemia,NAPROXEN,35,12,23,1,0,0,1,20,16,5,18,12,34
Anaemia,NEUPOGEN,33,13,20,5,2,0,3,23,4,0,22,11,32
Anaemia,NEXIUM,39,15,24,3,1,0,4,21,17,2,20,17,38
Anaemia,NITROGLYCERIN,55,26,29,6,2,0,8,33,9,2,12,41,54
Anaemia,NORVASC,61,25,36,5,8,0,5,34,27,5,13,43,58
Anaemia,OMEPRAZOLE,46,19,27,4,0,0,4,28,12,5,16,25,44
Anaemia,PACKED RED BLOOD CELLS,132,58,74,10,4,0,14,82,17,5,44,83,129
Anaemia,PANTOLOC,101,39,62,7,5,0,8,70,37,3,42,56,101
Anaemia,PANTOPRAZOLE,49,27,22,6,2,0,4,35,17,1,20,28,49
Anaemia,PEGASYS,36,16,18,3,1,0,2,11,14,7,19,10,29
Anaemia,PEGASYS RBV,129,75,52,15,4,2,9,53,97,13,98,18,129
Anaemia,PEGETRON,61,33,26,6,5,0,6,26,21,5,52,4,60
Anaemia,PLAVIX,48,21,24,8,3,0,9,30,13,4,14,30,48
Anaemia,POTASSIUM CHLORIDE,31,15,16,8,0,0,3,11,2,4,7,20,28
Anaemia,PREDNISONE,249,115,131,24,5,1,16,133,94,35,114,100,239
Anaemia,PRIVIGEN,70,34,36,2,0,0,0,27,56,10,38,22,70
Anaemia,RAMIPRIL,48,34,12,7,1,0,8,27,24,4,17,27,47
Anaemia,RANITIDINE,96,48,47,4,0,0,3,57,14,7,34,55,78
Anaemia,REMICADE,191,58,126,6,5,0,4,98,99,29,133,29,191
Anaemia,REVLIMID,77,43,33,12,14,0,4,34,58,2,25,50,76
Anaemia,RIBAVIRIN,60,30,24,4,1,0,2,14,22,11,32,17,42
Anaemia,SALBUTAMOL,32,15,17,5,0,0,3,21,14,2,13,17,31
Anaemia,SANDOSTATIN LAR 20MG,33,8,25,7,0,0,0,24,28,4,12,17,33
Anaemia,SANDOSTATIN LAR 30MG,56,28,28,23,0,0,3,33,50,10,18,28,56
Anaemia,SYNTHROID,76,17,59,8,5,0,8,43,33,5,24,47,75
Anaemia,TYLENOL,97,31,66,10,4,0,13,59,37,7,48,42,94
Anaemia,VASOTEC,34,15,19,2,1,0,1,21,5,2,10,22,30
Anaemia,VENTOLIN,44,17,27,3,0,0,3,25,19,2,21,21,44
Anaemia,VICTRELIS,33,12,14,4,0,1,3,11,16,10,19,4,32
Anaemia,VITAMIN B12,41,19,21,3,3,0,3,12,19,5,14,22,35
Anaemia,VITAMIN D,66,26,40,4,8,0,5,36,30,3,30,33,64
Anaemia,VOLTAREN,34,13,21,0,0,0,2,17,6,5,12,17,29
Anaemia,WARFARIN,66,27,39,7,2,0,3,34,24,0,16,50,59
Anaemia,XYREM,31,0,31,0,0,0,0,2,31,0,29,2,31
Anaemia,ZANTAC,43,16,27,4,0,0,3,17,16,2,16,25,39
Anaemia,ZOPICLONE,33,12,21,3,2,0,1,18,19,1,20,12,30
Anaemia,ZYPREXA,94,61,33,13,0,0,7,60,58,4,81,9,94
Aplasia pure red cell,ARANESP,42,19,19,6,0,0,4,16,24,10,22,10,42
Aplasia pure red cell,BLOOD WHOLE,43,26,15,14,0,0,0,5,23,2,18,23,42
Aplasia pure red cell,EPREX STERILE SOLUTION,242,110,124,29,5,0,24,35,207,15,127,100,240
Aplasia pure red cell,HEMODIALYSIS,33,24,8,12,0,0,1,2,18,1,16,16,33
Aplasia pure red cell,PREDNISONE,36,18,17,11,1,0,2,8,18,2,19,15,36
Bone marrow failure,EPREX STERILE SOLUTION,38,15,21,3,0,0,3,13,30,3,28,7,38
Bone marrow failure,PREDNISONE,42,22,20,9,0,0,6,20,18,8,16,18,42
Coagulopathy,COUMADIN,45,14,30,8,1,0,1,14,1,7,15,23,28
Coagulopathy,MOXAM,32,16,15,5,0,0,0,8,0,3,21,8,15
Coagulopathy,VITAMIN K,36,16,20,9,1,0,2,15,1,2,14,20,30
Coagulopathy,WARFARIN,38,17,18,1,0,0,2,22,7,5,16,17,33
Eosinophilia,CLOZARIL,60,40,19,0,0,0,8,22,42,18,42,0,59
Eosinophilia,PREDNISONE,68,27,40,1,0,0,5,50,11,8,38,22,68
Factor VIII inhibition,ADVATE,37,35,0,0,0,0,0,1,35,33,4,0,36
Factor VIII inhibition,KOGENATE FS,46,39,0,0,0,0,0,5,46,33,8,5,46
Febrile neutropenia,CYCLOPHOSPHAMIDE,76,21,35,11,2,0,4,46,31,34,28,14,73
Febrile neutropenia,DEXAMETHASONE,39,13,25,4,0,0,4,32,14,8,11,20,38
Febrile neutropenia,DOCETAXEL,49,9,40,4,2,0,5,37,5,4,22,23,46
Febrile neutropenia,DOXORUBICIN HYDROCHLORIDE INJECTION,33,15,16,3,2,0,4,25,12,6,19,8,33
Febrile neutropenia,HERCEPTIN VIALS,36,1,34,8,3,0,4,34,3,2,20,14,36
Febrile neutropenia,NEULASTA,39,10,22,3,0,0,2,24,14,13,17,9,37
Febrile neutropenia,PREDNISONE,57,28,27,6,0,0,3,41,20,7,24,26,56
Febrile neutropenia,REVLIMID,32,10,21,5,1,0,3,29,17,2,8,22,32
Febrile neutropenia,RITUXAN,42,24,17,3,0,0,2,23,9,3,20,19,38
Febrile neutropenia,STUDY DRUG,47,26,21,3,2,0,4,47,5,2,14,31,47
Febrile neutropenia,TAXOTERE,47,5,27,3,1,0,0,32,18,21,16,10,47
Febrile neutropenia,VINCRISTINE SULFATE INJECTION USP,32,19,11,4,2,0,4,28,10,5,18,9,32
Granulocytopenia,CLOZARIL,81,42,36,0,0,0,6,13,26,14,66,1,53
Granulocytopenia,GEN-CLOZAPINE,149,96,52,0,0,0,8,7,143,6,133,10,148
Haemolysis,ACETAMINOPHEN,31,20,11,1,0,0,0,16,20,5,13,13,31
Haemolysis,GAMMAGARD LIQUID,40,21,19,0,0,0,0,0,40,5,14,21,40
Haemolysis,GAMUNEX,77,37,39,5,0,0,5,24,49,16,43,18,75
Haemolysis,GAMUNEX SINGLE USE VIALS,74,25,49,2,0,0,0,20,57,3,48,23,74
Haemolysis,IGIVNEX,94,43,51,1,0,0,8,38,56,19,49,26,93
Haemolysis,PREDNISONE,58,25,33,5,1,0,1,26,35,3,36,19,57
Haemolysis,PRIVIGEN,159,81,78,3,0,0,2,45,114,26,67,66,150
Haemolytic anaemia,BLOOD WHOLE,37,16,21,1,0,0,4,23,8,8,21,8,36
Haemolytic anaemia,GAMUNEX,67,30,37,4,1,0,11,25,45,15,38,14,66
Haemolytic anaemia,IGIVNEX,48,26,22,1,0,0,6,19,31,9,25,14,48
Haemolytic anaemia,PREDNISONE,83,35,47,2,0,0,6,42,36,20,43,20,79
Haemolytic anaemia,PRIVIGEN,69,36,33,2,0,0,13,28,53,8,31,30,69
Haemolytic anaemia,TYLENOL,32,12,20,0,0,0,3,15,16,9,18,5,31
Haemolytic anaemia,VIRAZOLE,33,13,20,0,0,0,0,10,22,2,28,3,32
Heparin-induced thrombocytopenia,HEPARIN SODIUM,333,129,91,22,4,0,11,109,246,123,104,106,333
Leukocytosis,ACETAMINOPHEN,52,26,25,6,0,0,5,31,5,9,31,12,46
Leukocytosis,ANTIINFECTIVES FOR SYSTEMIC USE,59,28,28,6,0,0,5,38,10,7,40,12,59
Leukocytosis,BENADRYL,53,20,33,2,1,0,8,32,4,14,30,9,48
Leukocytosis,CLOZARIL,147,89,54,21,0,0,19,54,65,24,107,16,147
Leukocytosis,FUROSEMIDE,34,17,17,11,0,0,3,12,8,1,17,16,31
Leukocytosis,LIPITOR,38,21,17,6,1,0,4,22,10,2,19,17,38
Leukocytosis,LORAZEPAM,39,26,13,5,0,0,6,25,5,2,30,7,38
Leukocytosis,METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,36,14,22,4,1,0,3,27,0,5,24,7,35
Leukocytosis,MORPHINE,38,21,17,9,2,0,3,21,1,5,21,12,37
Leukocytosis,PREDNISONE,131,48,81,6,2,0,11,88,15,21,71,39,120
Leukocytosis,RANITIDINE,36,20,16,4,0,0,6,14,7,3,20,13,32
Leukocytosis,REMICADE,36,17,16,1,0,0,2,25,7,3,29,4,34
Leukocytosis,TYLENOL,49,23,25,4,1,0,5,31,8,13,21,15,48
Leukopenia,ACETAMINOPHEN,68,34,34,1,1,0,9,22,20,5,32,31,58
Leukopenia,ANTIINFECTIVES FOR SYSTEMIC USE,66,27,39,14,0,0,20,25,6,10,40,16,65
Leukopenia,ASA,40,19,21,5,1,0,8,14,12,0,19,21,38
Leukopenia,ATIVAN,54,22,32,6,0,0,15,14,8,4,37,13,45
Leukopenia,BLOOD WHOLE,32,15,17,3,1,0,1,21,4,1,21,10,31
Leukopenia,CIPRO,33,13,19,1,0,0,6,14,9,7,14,12,30
Leukopenia,CIPROFLOXACIN,38,23,14,4,1,0,8,8,15,1,20,17,36
Leukopenia,CLONAZEPAM,61,36,25,2,0,0,11,17,32,2,59,0,60
Leukopenia,CLOZAPINE,34,25,9,1,0,0,1,3,15,5,28,1,21
Leukopenia,CLOZARIL,332,192,135,17,1,0,139,54,110,25,269,38,308
Leukopenia,COLACE,40,16,24,1,0,0,5,16,11,2,22,16,35
Leukopenia,CYCLOPHOSPHAMIDE,33,6,27,2,0,0,2,22,2,1,26,6,31
Leukopenia,CYCLOSPORINE,71,60,10,7,0,0,2,40,6,4,62,5,67
Leukopenia,DIGOXIN,51,22,27,5,1,0,1,8,9,0,10,41,45
Leukopenia,DILANTIN,53,15,37,3,0,0,5,11,7,10,31,12,48
Leukopenia,EPIVAL,56,24,28,5,0,0,15,11,23,9,44,3,50
Leukopenia,FOLIC ACID,69,20,48,5,2,0,5,21,23,5,43,21,62
Leukopenia,FUROSEMIDE,55,29,26,3,1,0,6,23,12,2,18,35,52
Leukopenia,GEN-CLOZAPINE,138,83,53,3,0,0,17,25,102,11,118,9,131
Leukopenia,GENTAMICIN,40,18,21,2,1,0,3,14,9,3,22,15,33
Leukopenia,HALDOL,34,15,17,0,0,0,6,7,3,5,24,5,29
Leukopenia,HEPARIN SODIUM INJECTION, USP,49,23,26,3,1,0,7,13,13,3,23,23,42
