reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Acute myocardial infarction,CELEBREX,38,23,15,2,0,0,0,34,9,0,35,3,38
Angina pectoris,ACETYLSALICYLIC ACID,37,24,12,2,0,0,3,26,13,2,17,18,37
Angina pectoris,ACLASTA,36,4,32,1,1,0,9,12,25,14,1,21,36
Angina pectoris,ADALAT XL,33,21,12,1,8,0,3,15,6,1,12,20,30
Angina pectoris,ALTACE,43,29,14,2,6,0,3,25,10,1,27,15,42
Angina pectoris,ASA,52,28,24,2,2,0,3,22,21,1,14,37,46
Angina pectoris,ASPIRIN,47,33,13,2,7,0,3,22,14,2,26,19,47
Angina pectoris,ATENOLOL TABLETS, BP,41,30,11,0,6,0,4,18,12,1,24,16,39
Angina pectoris,CRESTOR,41,19,21,2,2,0,3,14,22,2,18,21,38
Angina pectoris,DIOVAN,33,11,19,0,0,0,0,11,21,1,8,24,32
Angina pectoris,HEPARIN SODIUM INJECTION, USP,33,22,11,0,1,0,2,22,4,0,19,14,31
Angina pectoris,HUMIRA,34,14,20,0,0,0,0,27,15,1,21,12,34
Angina pectoris,LASIX,36,16,20,4,0,0,2,19,6,1,10,25,31
Angina pectoris,LIPITOR,80,41,37,2,6,0,5,39,26,5,33,42,76
Angina pectoris,METFORMIN,41,22,19,2,4,0,2,20,11,3,24,14,38
Angina pectoris,METOPROLOL,97,64,33,1,8,0,7,63,22,1,47,49,92
Angina pectoris,NITRO-DUR,35,22,13,1,4,0,3,15,11,2,12,21,32
Angina pectoris,NITROGLYCERIN,164,96,67,6,11,0,10,74,39,15,63,86,144
Angina pectoris,NORVASC,39,23,15,0,1,0,4,20,15,3,17,19,38
Angina pectoris,PLAVIX,83,46,36,0,3,0,3,49,33,2,34,47,83
Angina pectoris,PREDNISONE,39,17,21,3,0,0,0,26,12,2,22,15,38
Angina pectoris,RAMIPRIL,33,16,17,1,1,0,4,23,11,0,13,20,33
Angina pectoris,REMICADE,39,17,22,2,1,0,1,21,19,0,29,10,39
Angina pectoris,VIOXX,53,31,22,1,11,0,1,30,10,14,32,7,53
Angina unstable,NITROGLYCERIN,40,21,19,2,3,0,5,28,3,3,22,15,38
Arrhythmia,ASA,31,17,14,7,2,0,5,13,7,2,14,15,28
Arrhythmia,CALCIUM,32,4,28,6,3,0,3,8,15,4,12,16,30
Arrhythmia,CELEBREX,34,12,22,10,1,0,1,8,14,3,23,8,32
Arrhythmia,CLOZARIL,46,29,17,22,2,1,5,5,19,8,31,7,46
Arrhythmia,DIGOXIN,95,36,56,8,1,0,1,33,6,8,22,65,86
Arrhythmia,FUROSEMIDE,60,27,31,16,0,0,5,21,9,9,16,35,57
Arrhythmia,HYDROCHLOROTHIAZIDE,31,11,20,4,1,0,1,13,6,4,6,21,28
Arrhythmia,LANOXIN,58,30,28,7,0,0,2,12,2,2,12,44,54
Arrhythmia,LASIX,47,30,17,13,0,0,4,7,7,1,17,29,42
Arrhythmia,METOPROLOL,36,16,19,4,1,0,0,16,14,4,9,23,34
Arrhythmia,NITROGLYCERIN,31,11,19,3,0,0,2,16,2,5,7,19,30
Arrhythmia,PREDNISONE,54,20,32,18,0,0,0,27,12,8,24,22,50
Arrhythmia,REMICADE,39,17,18,0,0,0,1,19,22,8,23,8,39
Arrhythmia,VENTOLIN,31,17,13,9,0,0,4,9,9,3,18,10,30
Arrhythmia,ZYPREXA,34,20,14,14,1,0,2,11,13,8,23,3,34
Atrial fibrillation,ACETAMINOPHEN,33,14,19,5,0,0,2,19,8,0,8,25,28
Atrial fibrillation,ACETYLSALICYLIC ACID,52,31,21,2,1,0,5,27,18,1,18,33,48
Atrial fibrillation,ACLASTA,57,1,53,12,3,0,1,22,47,9,2,46,53
Atrial fibrillation,ALTACE,40,21,19,3,3,0,4,23,19,0,17,23,40
Atrial fibrillation,AMIODARONE,55,33,22,6,1,0,12,18,22,3,20,32,54
Atrial fibrillation,ASA,61,34,25,4,3,0,5,32,32,7,18,36,61
Atrial fibrillation,ASPIRIN,45,22,23,5,6,0,3,28,21,2,16,27,44
Atrial fibrillation,ATENOLOL TABLETS, BP,40,26,14,3,0,0,4,22,13,4,13,23,39
Atrial fibrillation,BISOPROLOL,39,15,23,5,3,0,5,28,19,4,7,28,38
Atrial fibrillation,CALCIUM,55,13,42,8,4,0,5,33,31,3,16,36,53
Atrial fibrillation,CELEBREX,37,7,29,2,0,0,3,16,20,1,14,22,36
Atrial fibrillation,COUMADIN,106,58,47,7,4,0,10,62,36,8,32,66,100
Atrial fibrillation,DIGIBIND,31,14,17,1,0,0,1,26,2,0,6,25,30
Atrial fibrillation,DIGOXIN,195,85,106,13,1,0,11,104,31,8,45,142,179
Atrial fibrillation,DILTIAZEM,53,31,22,4,2,0,7,27,19,4,19,30,52
Atrial fibrillation,FOLIC ACID,41,26,15,7,1,0,2,25,13,1,11,29,41
Atrial fibrillation,FUROSEMIDE,80,24,55,11,1,0,7,48,17,5,21,54,73
Atrial fibrillation,HEPARIN SODIUM INJECTION, USP,41,19,21,5,1,0,6,21,0,1,16,24,38
Atrial fibrillation,HUMIRA,35,21,14,2,1,0,2,30,16,5,12,18,34
Atrial fibrillation,HYDROCHLOROTHIAZIDE,37,14,23,1,0,0,0,25,10,2,7,28,36
Atrial fibrillation,LANOXIN,48,25,23,3,0,0,0,18,5,4,9,35,46
Atrial fibrillation,LASIX,92,50,42,8,3,0,9,48,30,6,17,69,86
Atrial fibrillation,LIPITOR,69,35,34,4,2,0,7,36,30,2,23,44,67
Atrial fibrillation,LORAZEPAM,35,14,21,3,0,0,3,20,12,1,16,18,33
Atrial fibrillation,METFORMIN,52,29,23,4,2,0,5,32,18,1,12,39,50
Atrial fibrillation,METHOTREXATE,45,23,22,7,1,0,4,24,17,2,14,29,43
Atrial fibrillation,METOPROLOL,117,65,52,9,4,0,8,72,45,7,41,69,112
Atrial fibrillation,NITROGLYCERIN,61,30,31,2,2,0,7,36,7,1,11,49,56
Atrial fibrillation,NORVASC,42,19,18,1,3,0,2,27,20,6,14,22,42
Atrial fibrillation,PANTOLOC,31,19,12,5,0,0,4,21,14,5,7,19,31
Atrial fibrillation,PREDNISONE,93,56,37,20,4,0,15,58,38,1,27,65,91
Atrial fibrillation,PROPAFENONE,34,12,22,0,0,0,3,19,14,3,8,23,31
Atrial fibrillation,RAMIPRIL,49,25,23,4,0,0,5,31,22,2,19,28,45
Atrial fibrillation,RANITIDINE,33,15,18,5,0,0,7,17,7,1,12,20,32
Atrial fibrillation,REMICADE,68,39,28,4,0,0,4,33,32,1,38,29,68
Atrial fibrillation,REVLIMID,32,22,10,2,4,0,2,21,16,0,13,19,32
Atrial fibrillation,SOTALOL,33,17,14,1,0,0,4,15,14,5,11,17,32
Atrial fibrillation,SYNTHROID,48,12,36,1,3,0,2,28,16,6,9,33,42
Atrial fibrillation,TYLENOL,42,15,26,6,2,0,6,24,15,3,10,29,40
Atrial fibrillation,VENTOLIN,43,25,17,3,2,0,8,19,18,1,22,20,41
Atrial fibrillation,VITAMIN D,44,9,35,6,3,0,5,31,24,1,12,31,43
Atrial fibrillation,WARFARIN,99,41,55,6,1,0,16,59,40,12,29,58,96
Atrial fibrillation,XOLAIR,52,50,2,4,6,0,1,41,50,2,35,15,52
Atrial fibrillation,ZYPREXA,32,19,13,1,0,0,0,4,32,0,27,5,32
Atrioventricular block,DIGOXIN,75,25,48,3,0,0,3,38,5,5,12,58,72
Atrioventricular block,FUROSEMIDE,32,16,16,3,0,0,3,14,6,1,6,25,29
Atrioventricular block,LANOXIN,35,23,12,0,0,0,2,15,0,1,9,25,30
Bradycardia,ACETAMINOPHEN,34,15,17,4,1,0,4,8,9,10,13,11,29
Bradycardia,ACETYLSALICYLIC ACID ENT CTD,31,16,15,2,0,0,1,10,3,1,6,24,22
Bradycardia,ADRENALIN CHLORIDE SOL 1:1000,37,16,21,1,0,0,3,15,0,17,17,3,32
Bradycardia,ALTACE,46,26,19,2,1,0,5,21,16,4,9,33,42
Bradycardia,AMIODARONE,46,29,17,2,0,0,6,26,14,0,12,34,43
Bradycardia,ASA,67,40,26,6,0,0,15,31,19,3,21,43,62
Bradycardia,ASPIRIN,40,27,13,2,4,0,3,15,15,1,22,17,38
Bradycardia,ATENOLOL TABLETS, BP,69,36,30,3,1,0,4,42,17,3,28,38,59
Bradycardia,ATIVAN,42,26,16,3,0,0,4,15,16,4,14,24,38
Bradycardia,ATROPINE,194,107,84,15,0,0,20,61,21,21,91,82,171
Bradycardia,BENADRYL,41,17,24,0,0,0,7,15,11,9,22,10,36
Bradycardia,CALCIUM,32,13,19,7,0,0,2,12,11,2,14,16,30
Bradycardia,COUMADIN,37,16,20,1,0,0,6,18,6,1,11,25,32
Bradycardia,DEMEROL,42,25,15,2,0,0,0,4,2,5,27,10,33
Bradycardia,DEXAMETHASONE,32,14,16,5,1,0,0,9,20,7,22,3,31
Bradycardia,DIGIBIND,121,62,56,4,0,0,4,103,6,0,16,105,117
Bradycardia,DIGOXIN,367,159,202,14,0,0,11,185,28,22,52,293,301
Bradycardia,DILTIAZEM,49,16,33,3,0,0,6,17,5,2,12,35,45
Bradycardia,DOPAMINE,42,27,15,11,0,0,7,17,5,9,24,9,40
Bradycardia,EPINEPHRINE,54,34,18,14,0,0,16,10,10,17,25,12,52
Bradycardia,EXELON,32,14,18,1,0,0,6,19,12,0,1,31,32
Bradycardia,FENTANYL,52,22,24,7,1,0,10,18,16,12,35,5,47
Bradycardia,FUROSEMIDE,106,51,53,13,0,0,7,47,11,9,29,68,95
Bradycardia,GRAVOL,35,14,21,2,0,0,3,8,10,4,18,13,30
Bradycardia,HEPARIN SODIUM INJECTION, USP,49,26,17,8,1,0,6,10,9,7,16,26,42
Bradycardia,HYDROCHLOROTHIAZIDE,65,29,33,3,0,0,7,33,14,4,19,42,58
Bradycardia,INDERAL,60,33,26,2,0,0,0,11,0,1,29,30,45
Bradycardia,INSULIN,42,18,24,10,0,0,1,25,2,3,14,25,39
Bradycardia,ISORDIL,44,23,21,0,0,0,0,11,1,2,13,29,39
Bradycardia,LANOXIN,99,48,47,1,2,0,2,33,3,8,16,75,78
Bradycardia,LASIX,119,57,60,11,1,0,9,52,12,11,27,81,105
Bradycardia,LIPITOR,66,40,25,5,1,0,9,33,23,2,34,30,62
Bradycardia,LORAZEPAM,50,21,29,8,0,0,7,20,9,4,23,23,44
Bradycardia,LOSEC,34,15,19,2,1,0,6,17,9,7,8,19,31
Bradycardia,METFORMIN,46,30,16,5,0,0,10,21,9,1,19,26,41
Bradycardia,METOPROLOL,122,64,56,8,5,0,18,60,31,9,44,69,116
Bradycardia,MIDAZOLAM INJECTION,31,19,10,9,0,0,6,7,10,8,15,8,28
Bradycardia,MORPHINE,70,38,30,10,2,0,6,12,9,5,41,24,60
Bradycardia,NITROGLYCERIN,131,69,61,5,3,0,9,46,21,3,40,88,112
Bradycardia,NORMAL SALINE,31,21,9,4,1,0,4,5,12,5,15,11,29
Bradycardia,NORVASC,39,23,15,2,1,0,3,20,14,3,9,27,38
Bradycardia,OXYGEN,69,34,30,6,1,0,13,13,18,17,27,25,64
Bradycardia,PACEMAKER,40,19,20,2,1,0,6,21,9,3,12,25,39
Bradycardia,PLAVIX,31,22,9,6,4,0,2,11,8,1,16,14,31
Bradycardia,POTASSIUM CHLORIDE,46,26,19,9,0,0,4,19,3,5,18,23,43
Bradycardia,PREDNISONE,48,21,27,11,2,0,2,22,8,6,17,25,44
Bradycardia,PROPRANOLOL HYDROCHLORIDE INJECTION USP,37,15,22,0,0,0,3,10,0,5,12,20,35
Bradycardia,RAMIPRIL,40,27,13,2,2,0,5,24,14,1,20,19,40
Bradycardia,RANITIDINE,46,24,21,9,0,0,6,13,11,11,10,25,40
Bradycardia,REMICADE,34,14,20,3,0,0,3,7,19,0,25,9,32
Bradycardia,SLOW K 600MG,44,22,21,2,0,0,1,16,1,3,5,36,33
Bradycardia,SPIRONOLACTONE,33,14,18,3,0,0,2,22,4,4,4,25,30
Bradycardia,SYNTHROID,36,11,25,2,1,0,6,14,15,1,11,24,31
Bradycardia,TYLENOL,39,10,29,2,1,0,13,19,19,4,23,12,34
Bradycardia,VASOTEC,47,26,21,1,0,0,5,19,11,1,9,37,41
Bradycardia,WARFARIN,53,22,30,2,0,0,5,35,15,1,9,43,51
Cardiac arrest,ACETAMINOPHEN,32,15,17,21,0,0,5,5,5,3,18,11,32
Cardiac arrest,AMIODARONE,40,23,17,16,0,0,11,13,8,2,22,16,40
Cardiac arrest,ASA,50,28,22,23,0,0,25,14,11,0,22,28,50
Cardiac arrest,ATROPINE,76,44,30,31,0,0,16,12,5,10,41,25,74
Cardiac arrest,CLOZARIL,79,54,25,76,0,0,5,7,8,4,59,16,79
Cardiac arrest,COUMADIN,36,17,19,22,1,0,8,10,4,1,9,26,36
Cardiac arrest,DIGOXIN,73,36,34,34,2,0,8,21,5,7,11,55,73
Cardiac arrest,DOPAMINE,37,23,14,24,0,0,9,4,0,6,16,15,37
