reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Deafness,ACETYLSALICYLIC ACID,11,3,8,0,1,0,0,4,2,0,5,6,11
Deafness,ACLASTA,14,0,14,3,1,0,0,1,13,5,2,7,14
Deafness,ATIVAN,12,4,8,2,2,0,1,1,5,1,6,5,10
Deafness,CALCIUM,11,3,7,0,2,0,0,1,8,0,7,4,10
Deafness,DESFERAL,11,6,4,0,1,0,0,1,5,9,1,1,11
Deafness,EDECRIN,11,6,5,2,0,0,0,0,0,1,6,4,8
Deafness,ERYTHROMYCIN,16,7,9,0,1,0,0,1,0,1,10,5,11
Deafness,FUROSEMIDE,12,8,4,1,1,0,0,1,1,1,7,4,8
Deafness,GENTAMICIN,15,7,7,1,6,0,0,1,2,7,6,2,15
Deafness,LASIX,18,6,12,3,0,0,0,0,3,1,7,10,14
Deafness,PREDNISONE,20,5,15,1,3,0,0,1,7,1,15,4,16
Deafness,REMICADE,16,3,12,0,4,0,0,2,14,3,12,1,16
Deafness,ZYPREXA,11,3,8,1,0,0,0,1,10,0,11,0,11
Deafness bilateral,FUROSEMIDE,16,16,0,0,0,0,0,4,14,0,0,16,16
Ear congestion,XOLAIR,23,7,16,0,0,0,0,2,21,2,20,1,23
Ear discomfort,REMICADE,11,2,9,0,0,0,0,0,11,1,9,1,11
Ear discomfort,XOLAIR,31,10,21,0,0,0,0,1,31,1,28,2,31
Ear pain,ACETAMINOPHEN,16,4,12,0,2,0,1,0,7,0,10,6,13
Ear pain,ACLASTA,18,0,18,0,0,0,0,2,16,3,4,11,18
Ear pain,ACTEMRA,11,4,7,0,0,0,1,0,5,0,11,0,7
Ear pain,CALCIUM,11,1,10,0,4,0,0,1,5,0,6,5,10
Ear pain,CELEBREX,11,3,8,0,1,0,0,1,5,2,6,3,6
Ear pain,FOLIC ACID,11,0,11,0,0,0,0,3,5,1,8,2,10
Ear pain,HUMIRA,14,4,10,0,0,0,0,5,11,4,6,4,14
Ear pain,HYDROCHLOROTHIAZIDE,13,3,10,1,0,0,1,1,6,0,3,10,8
Ear pain,LYRICA,11,0,11,0,6,0,0,1,4,0,5,6,11
Ear pain,METHOTREXATE,18,1,17,0,0,0,0,6,7,1,13,4,15
Ear pain,PREDNISONE,20,2,18,0,0,0,1,5,10,1,16,3,17
Ear pain,REMICADE,43,16,27,1,1,0,0,22,28,0,38,5,40
Ear pain,SYNTHROID,11,0,11,0,3,0,0,2,5,0,8,3,8
Ear pain,TYLENOL,15,4,11,0,1,0,1,2,7,2,7,6,10
Ear pain,VENTOLIN,11,4,7,0,1,0,1,2,4,1,7,3,8
Ear pain,XOLAIR,50,11,38,0,3,0,0,8,48,6,44,0,50
Ear pruritus,ACETAMINOPHEN,19,1,18,0,0,0,0,0,12,0,19,0,12
Ear pruritus,RITUXAN,18,1,17,0,0,0,0,0,13,0,18,0,13
Hearing impaired,ACETAMINOPHEN,19,7,12,0,6,0,0,4,3,8,4,7,16
Hearing impaired,ASA,13,6,7,0,1,0,0,5,4,1,7,5,9
Hearing impaired,CISPLATIN INJECTION,11,10,1,0,11,0,0,0,0,11,0,0,11
Hearing impaired,DESFERAL,16,9,7,0,0,0,0,0,2,16,0,0,13
Hearing impaired,DIMENHYDRINATE,11,6,5,0,7,0,0,0,0,7,1,3,8
Hearing impaired,DIPHENHYDRAMINE,11,6,5,0,6,0,0,1,1,7,4,0,11
Hearing impaired,ERYTHROMYCIN,13,4,9,0,1,0,0,1,0,3,3,7,9
Hearing impaired,EXJADE,11,4,7,0,0,0,0,4,6,2,0,9,6
Hearing impaired,FUROSEMIDE,12,8,4,0,4,0,0,2,2,4,5,3,11
Hearing impaired,GENTAMICIN,16,10,6,0,1,0,0,3,0,5,8,3,16
Hearing impaired,PREDNISONE,15,4,11,0,3,0,0,4,3,3,8,4,12
Hearing impaired,REMICADE,12,6,6,0,0,0,0,2,10,0,12,0,12
Hearing impaired,XOLAIR,13,11,2,0,0,0,0,11,12,1,2,10,12
Hypoacusis,ACLASTA,12,0,12,0,0,0,0,0,8,9,0,3,8
Hypoacusis,ALTACE,11,6,4,0,3,0,0,0,6,3,4,4,8
Hypoacusis,ASA,19,14,5,0,5,0,0,5,11,4,7,8,18
Hypoacusis,CISPLATIN INJECTION,15,5,5,0,9,0,0,0,7,11,4,0,15
Hypoacusis,DEXAMETHASONE,16,9,7,1,13,0,0,1,4,10,3,3,16
Hypoacusis,DIMENHYDRINATE,14,6,8,0,12,0,0,2,2,12,2,0,14
Hypoacusis,DIPHENHYDRAMINE,11,5,6,0,10,0,0,0,2,7,4,0,11
Hypoacusis,FUROSEMIDE,17,9,8,0,8,0,0,2,6,5,7,5,14
Hypoacusis,GENTAMICIN,12,4,8,1,5,0,0,1,4,2,8,2,11
Hypoacusis,LIPITOR,23,14,9,0,8,0,0,3,10,5,9,9,20
Hypoacusis,LORAZEPAM,14,6,8,0,8,0,0,3,1,8,4,2,12
Hypoacusis,METOCLOPRAMIDE,11,6,5,0,10,0,0,0,1,9,2,0,10
Hypoacusis,MORPHINE,12,4,8,0,7,0,0,2,4,7,3,2,10
Hypoacusis,NORVASC,12,8,4,0,7,0,0,0,4,2,2,8,11
