reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Adrenal disorder,ACTEMRA,11,0,11,0,0,0,0,0,11,0,0,11,11
Adrenal disorder,REMICADE,6,3,3,0,0,0,0,3,4,0,5,1,6
Adrenal haemorrhage,HEPARIN SODIUM INJECTION, USP,14,4,0,1,1,0,10,0,2,10,2,2,14
Adrenal insufficiency,ADVAIR,12,5,6,0,0,0,1,3,10,11,1,0,12
Adrenal insufficiency,CAPRELSA,21,0,21,0,0,0,0,21,21,0,21,0,21
Adrenal insufficiency,CORTEF,6,1,5,0,3,0,0,1,5,0,6,0,5
Adrenal insufficiency,FENTANYL,9,3,6,0,1,0,1,6,7,1,6,2,9
Adrenal insufficiency,FLOVENT,8,2,2,0,0,0,0,1,5,6,1,1,6
Adrenal insufficiency,HUMIRA,6,1,5,0,1,0,0,4,3,0,3,3,6
Adrenal insufficiency,METHOTREXATE,6,2,4,2,0,0,0,1,4,2,2,2,6
Adrenal insufficiency,ORGARAN INJ.-750ANTI-XAUNIT/AMP1250UNIT/ML,6,2,4,1,0,0,0,0,5,0,5,1,6
Adrenal insufficiency,PREDNISONE,20,11,8,2,0,0,0,9,15,7,7,6,20
Adrenal insufficiency,XOLAIR,9,1,8,0,0,0,0,9,8,5,4,0,9
Adrenal mass,CYCLOSPORINE,6,0,6,6,0,0,0,6,0,0,6,0,6
Adrenal mass,SANDOSTATIN LAR,7,0,7,0,0,0,0,7,7,0,7,0,7
Adrenal suppression,FLOVENT,12,1,7,0,0,0,0,4,8,9,3,0,12
Adrenal suppression,FLUTICASONE,11,1,10,0,0,0,0,1,11,10,0,1,11
Adrenal suppression,SALBUTAMOL,9,3,6,0,0,0,0,2,7,5,4,0,9
Adrenocortical insufficiency acute,CAPRELSA,21,0,21,0,0,0,0,21,21,0,21,0,21
Adrenocortical insufficiency acute,LEVOTHYROXINE,6,5,1,0,0,0,0,6,1,5,0,1,6
Adrenocortical insufficiency acute,PREDNISONE,6,2,4,0,0,0,0,4,2,0,3,3,6
Antidiuretic hormone abnormality,DILANTIN,6,3,2,0,0,0,0,6,0,2,2,2,6
Antidiuretic hormone abnormality,HYDROCHLOROTHIAZIDE,7,0,7,0,0,0,0,1,0,2,2,3,5
Antidiuretic hormone abnormality,PROZAC,8,3,4,1,0,0,0,0,0,1,0,7,2
Carcinoid crisis,SANDOSTATIN LAR 30MG,8,1,7,0,0,0,0,2,8,0,2,6,8
Cushing's syndrome,BUPROPION,6,0,6,0,0,0,0,3,0,0,6,0,6
Cushing's syndrome,FLUTICASONE,6,5,1,0,0,0,0,0,6,1,5,0,6
Cushing's syndrome,KALETRA,6,2,4,0,0,0,0,0,6,0,6,0,6
Cushing's syndrome,PREDNISONE,17,5,12,0,1,0,0,3,10,4,10,3,15
Cushing's syndrome,RITONAVIR,6,3,3,0,0,0,0,0,6,0,6,0,6
Cushingoid,APO-PREDNISONE,6,0,6,0,0,0,0,0,6,6,0,0,6
Cushingoid,DEXAMETHASONE,7,6,1,0,0,0,0,3,6,2,1,4,7
Cushingoid,DOCETAXEL,6,6,0,0,0,0,0,5,5,0,0,6,6
Cushingoid,PREDNISONE,17,11,6,0,0,0,0,6,14,6,5,6,16
Cushingoid,RITUXAN,7,5,2,0,0,0,1,7,6,5,2,0,7
Cushingoid,TYLENOL,10,0,10,0,0,0,9,9,10,0,9,1,10
Diabetes insipidus,ATIVAN,6,3,3,0,0,0,1,4,3,0,5,1,5
Diabetes insipidus,LITHIUM,17,4,12,0,0,0,0,3,8,2,13,2,13
Diabetes insipidus,LITHIUM CARBONATE,6,3,2,0,0,0,0,2,2,1,3,2,4
Diabetes insipidus,QUETIAPINE,8,1,7,0,0,0,1,2,7,0,8,0,8
