reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Abdominal discomfort,EXJADE,149,87,62,26,0,0,2,83,130,23,58,68,144
Abdominal discomfort,INH,171,72,97,0,0,0,0,1,0,89,72,10,3
Abdominal discomfort,LIPITOR,113,52,60,1,7,0,4,15,38,15,37,61,55
Abdominal discomfort,METFORMIN,102,42,60,2,6,0,3,10,21,9,33,60,40
Abdominal discomfort,PREDNISONE,121,46,74,3,5,0,2,44,41,9,79,33,87
Abdominal discomfort,REMICADE,108,50,58,1,2,0,7,50,64,8,92,8,102
Abdominal distension,PREDNISONE,110,36,73,9,4,0,7,51,41,14,72,24,98
Abdominal distension,REMICADE,183,53,129,2,1,0,7,88,101,9,158,16,172
Abdominal distension,SANDOSTATIN LAR,118,39,74,25,1,0,7,65,97,32,64,22,117
Abdominal distension,SANDOSTATIN LAR 20MG,115,54,61,22,0,0,11,48,108,13,83,19,115
Abdominal distension,SANDOSTATIN LAR 30MG,175,58,117,45,2,0,10,71,161,33,92,50,175
Abdominal pain,ACETAMINOPHEN,265,94,164,12,3,0,13,139,80,47,145,73,221
Abdominal pain,ACETYLSALICYLIC ACID,103,44,56,5,0,0,4,46,29,22,41,40,82
Abdominal pain,ACTEMRA,144,31,112,3,0,0,0,30,85,2,111,31,114
Abdominal pain,ACTONEL,106,21,83,3,6,0,6,29,28,7,46,53,63
Abdominal pain,ALTACE,134,52,81,11,6,0,7,41,41,9,63,62,94
Abdominal pain,AMITRIPTYLINE,107,30,75,3,3,0,8,54,31,11,71,25,86
Abdominal pain,ANTIINFECTIVES FOR SYSTEMIC USE,140,42,96,9,3,1,6,89,23,22,84,34,132
Abdominal pain,ASA,197,86,110,11,3,0,12,81,58,15,76,106,136
Abdominal pain,ASPIRIN,105,48,57,11,8,0,5,36,37,8,50,47,81
Abdominal pain,ATENOLOL TABLETS, BP,110,38,71,8,5,0,3,40,33,6,42,62,75
Abdominal pain,ATIVAN,180,67,110,14,8,0,8,63,54,9,123,48,133
Abdominal pain,BENADRYL,282,85,197,5,4,0,17,84,92,43,200,39,205
Abdominal pain,CALCIUM,205,55,148,9,5,0,6,115,71,19,110,76,175
Abdominal pain,CELEBREX,146,42,102,7,5,0,5,60,39,5,99,42,107
Abdominal pain,CLONAZEPAM,105,31,70,7,4,0,3,34,37,7,70,28,77
Abdominal pain,COUMADIN,116,38,73,16,5,0,3,45,24,11,51,54,86
Abdominal pain,CRESTOR,149,67,77,3,9,0,4,51,63,11,73,65,108
Abdominal pain,DEXAMETHASONE,112,42,70,9,2,0,10,51,40,22,68,22,94
Abdominal pain,DIGOXIN,140,52,86,11,1,0,3,53,9,7,33,100,91
Abdominal pain,ERYTHROMYCIN,103,29,71,1,0,0,1,16,2,51,42,10,30
Abdominal pain,FLAGYL,108,38,70,7,2,0,5,55,17,16,70,22,88
Abdominal pain,FOLIC ACID,207,69,138,8,2,0,7,103,89,24,122,61,176
Abdominal pain,FUROSEMIDE,179,83,95,21,4,0,6,83,44,28,60,91,142
Abdominal pain,GRAVOL,211,58,151,7,2,0,6,76,41,28,146,37,136
Abdominal pain,HUMIRA,530,176,345,8,3,0,2,357,255,94,390,46,451
Abdominal pain,HYDROCHLOROTHIAZIDE,168,31,134,12,5,0,8,52,46,6,81,81,109
Abdominal pain,IMURAN,167,66,101,3,5,0,1,79,78,12,147,8,154
Abdominal pain,LASIX,151,50,98,14,1,0,3,61,21,13,47,91,100
Abdominal pain,LIPITOR,253,103,146,21,9,0,9,86,79,20,123,110,182
Abdominal pain,LORAZEPAM,174,58,114,12,2,0,8,75,50,23,85,66,125
Abdominal pain,LOSEC,219,72,143,9,2,0,5,83,46,19,120,80,137
Abdominal pain,METFORMIN,197,79,116,12,9,0,12,68,53,15,98,84,128
Abdominal pain,METHOTREXATE,287,84,202,8,0,0,7,146,132,52,186,49,254
Abdominal pain,METOPROLOL,179,91,85,21,7,0,13,63,49,14,52,113,127
Abdominal pain,MIRENA,205,0,203,0,4,0,2,13,186,55,149,1,199
Abdominal pain,MORPHINE,201,90,107,20,1,0,8,97,42,34,133,34,164
Abdominal pain,MULTIVITAMINE(S),151,45,106,7,2,0,6,71,67,14,91,46,124
Abdominal pain,NEXIUM,152,35,117,3,5,0,7,59,57,15,98,39,110
Abdominal pain,NITROGLYCERIN,103,43,59,7,2,0,2,46,16,7,31,65,72
Abdominal pain,NORVASC,124,42,81,4,3,0,4,48,36,8,38,78,78
Abdominal pain,OMEPRAZOLE,158,48,103,7,3,0,2,41,27,41,44,73,68
Abdominal pain,PANTOLOC,196,86,108,10,8,0,9,88,62,16,112,68,151
Abdominal pain,PANTOPRAZOLE,122,43,76,10,4,0,5,64,50,16,65,41,101
Abdominal pain,PREDNISONE,622,198,416,32,7,0,20,296,195,71,407,144,511
Abdominal pain,PREVACID,109,34,73,6,4,0,9,41,32,21,57,31,82
Abdominal pain,RAMIPRIL,110,45,63,8,2,0,6,46,36,5,59,46,81
Abdominal pain,RANITIDINE,230,89,139,7,5,0,12,110,51,41,109,80,176
Abdominal pain,REMICADE,1442,539,893,11,7,0,26,795,671,124,1212,106,1392
Abdominal pain,SANDOSTATIN LAR,230,84,144,63,2,0,13,119,199,44,114,72,228
Abdominal pain,SANDOSTATIN LAR 20MG,175,62,112,25,1,0,8,85,157,52,87,36,175
Abdominal pain,SANDOSTATIN LAR 30MG,299,124,175,49,1,0,7,136,282,64,136,99,297
Abdominal pain,SOLU-CORTEF,120,36,83,3,1,0,6,49,43,17,91,12,102
Abdominal pain,SYNTHROID,250,31,217,12,8,0,13,84,80,16,129,105,171
Abdominal pain,TYLENOL,318,105,211,12,6,0,18,126,105,62,179,77,240
Abdominal pain,TYLENOL WITH CODEINE NO. 3 - TAB,134,48,86,7,4,0,3,38,24,14,84,36,89
Abdominal pain,VENTOLIN,148,40,108,3,4,0,4,46,44,11,90,47,93
Abdominal pain,VITAMIN D,197,51,143,8,5,0,9,97,65,19,105,73,154
Abdominal pain,ZANTAC,124,51,71,9,1,0,5,33,24,16,58,50,79
Abdominal pain upper,CALCIUM,115,23,92,3,2,0,3,46,52,6,67,42,90
Abdominal pain upper,EXJADE,146,53,93,29,0,0,1,80,102,34,69,43,142
Abdominal pain upper,HUMIRA,156,49,107,1,4,0,0,88,66,31,107,18,123
Abdominal pain upper,METHOTREXATE,101,31,70,3,0,0,0,55,56,25,52,24,93
Abdominal pain upper,PREDNISONE,154,47,107,9,1,0,8,61,64,18,97,39,135
Abdominal pain upper,REMICADE,283,119,163,5,1,0,0,128,152,28,225,30,268
Abdominal pain upper,SANDOSTATIN LAR 30MG,176,77,99,23,1,0,8,93,160,34,62,80,176
Colitis,REMICADE,132,56,73,1,0,0,0,80,53,12,109,11,128
Colitis ulcerative,PREDNISONE,128,73,55,2,2,0,1,72,48,31,82,15,116
Colitis ulcerative,REMICADE,632,310,320,3,1,0,1,361,281,115,476,41,590
Constipation,LIPITOR,119,54,62,2,16,0,7,29,51,13,40,66,86
Constipation,REMICADE,124,44,77,0,0,0,3,68,67,6,100,18,123
Constipation,SANDOSTATIN LAR 30MG,114,33,81,11,1,0,3,56,109,35,41,38,114
Constipation,SYNTHROID,120,15,105,5,8,0,2,32,48,6,50,64,77
Constipation,ZELNORM,108,3,102,0,0,0,0,4,24,38,49,21,28
Crohn's disease,HUMIRA,974,327,642,4,2,0,2,662,452,286,632,56,825
Crohn's disease,IMURAN,202,86,115,1,5,0,2,117,93,20,177,5,190
Crohn's disease,METHOTREXATE,115,49,65,0,2,0,0,80,40,22,87,6,103
