reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Abasia,REMICADE,113,46,67,0,8,0,1,53,58,9,94,10,113
Adverse drug reaction,REMICADE,101,27,67,1,3,0,8,40,56,14,86,1,92
Alcohol interaction,ETHANOL,256,141,107,125,3,0,7,26,27,48,194,14,201
Application site reaction,ESTRADERM,1010,0,995,0,0,0,0,4,5,548,427,35,12
Application site reaction,HABITROL,233,82,145,0,1,0,0,1,3,107,122,4,6
Application site reaction,PROVERA,129,0,128,0,0,0,0,0,1,48,78,3,1
Asthenia,ACETAMINOPHEN,224,65,153,20,12,0,10,92,78,21,101,102,191
Asthenia,ACETYLSALICYLIC ACID,143,62,77,4,2,0,7,70,39,10,45,88,115
Asthenia,ACLASTA,226,14,210,11,13,0,16,68,149,78,45,103,219
Asthenia,ACTONEL,102,16,86,10,11,0,9,40,50,8,33,61,88
Asthenia,ALTACE,145,78,66,12,13,0,13,67,39,8,55,82,124
Asthenia,ASA,247,110,137,23,25,0,23,109,85,15,67,165,204
Asthenia,ASPIRIN,164,76,84,7,19,0,15,73,62,15,59,90,143
Asthenia,ATENOLOL TABLETS, BP,182,77,104,14,15,0,10,77,58,14,60,108,147
Asthenia,ATIVAN,183,62,121,11,17,0,12,80,57,15,87,81,160
Asthenia,AVASTIN,121,44,75,6,5,0,1,37,75,2,80,39,92
Asthenia,BENADRYL,175,69,104,2,1,0,9,61,48,22,116,37,141
Asthenia,BETASERON,124,37,86,2,4,0,2,68,64,1,117,6,117
Asthenia,CALCIUM,247,49,196,23,20,0,16,108,111,9,94,144,221
Asthenia,CELEBREX,150,45,104,11,8,0,16,74,48,5,78,67,132
Asthenia,CHAMPIX,107,41,65,1,20,0,10,11,48,13,72,22,71
Asthenia,CLONAZEPAM,160,42,116,8,13,0,10,54,74,18,100,42,137
Asthenia,CLOZARIL,104,54,48,29,0,0,6,42,46,23,63,18,101
Asthenia,COLACE,101,25,76,11,3,0,12,50,29,5,43,53,87
Asthenia,COUMADIN,139,68,71,13,10,0,11,79,27,9,48,82,120
Asthenia,CRESTOR,251,113,133,13,28,0,19,83,105,26,107,118,198
Asthenia,DEXAMETHASONE,175,87,86,25,12,0,7,78,86,8,89,78,161
Asthenia,DIGOXIN,230,106,122,14,5,0,10,123,21,5,38,187,182
Asthenia,DIOVAN,101,40,61,3,9,0,2,23,51,16,34,51,83
Asthenia,FOLIC ACID,211,67,144,21,8,0,11,116,79,6,98,107,193
Asthenia,FUROSEMIDE,245,103,141,25,11,0,18,137,66,8,60,177,221
Asthenia,GABAPENTIN,102,29,73,7,4,0,4,48,49,11,54,37,92
Asthenia,GLYBURIDE,113,65,48,9,6,0,11,63,28,3,32,78,98
Asthenia,GRAVOL,113,30,83,5,4,0,3,37,18,10,71,32,78
Asthenia,HUMIRA,223,62,157,10,3,0,4,145,115,28,122,73,192
Asthenia,HYDROCHLOROTHIAZIDE,219,64,155,12,7,0,14,86,74,12,75,132,177
Asthenia,LASIX,275,121,152,33,12,0,18,126,50,11,71,193,228
Asthenia,LEVOTHYROXINE,126,25,101,11,4,0,10,64,42,6,36,84,107
Asthenia,LIPITOR,372,202,165,26,37,0,38,142,154,19,145,208,318
Asthenia,LORAZEPAM,178,55,121,19,7,0,5,86,46,17,67,94,140
Asthenia,LOSEC,133,41,90,9,7,0,8,61,39,4,58,71,106
Asthenia,LYRICA,103,30,73,6,10,0,5,37,52,7,49,47,90
Asthenia,METFORMIN,280,140,135,22,20,0,24,137,94,18,113,149,241
Asthenia,METHOTREXATE,227,54,160,11,5,0,10,91,122,26,98,103,208
Asthenia,METOPROLOL,234,127,104,20,20,0,26,112,83,11,72,151,206
Asthenia,MULTIVITAMINE(S),150,42,107,10,14,0,6,59,66,7,77,66,116
Asthenia,NITROGLYCERIN,171,91,80,13,7,0,16,82,25,12,48,111,136
Asthenia,NORVASC,150,69,81,15,13,0,13,66,58,4,48,98,123
Asthenia,PANTOLOC,182,67,114,17,9,0,12,82,74,9,87,86,161
Asthenia,PANTOPRAZOLE,113,50,62,11,11,0,5,71,41,9,35,69,108
Asthenia,PLAVIX,174,88,84,16,16,0,22,89,64,8,53,113,159
Asthenia,PREDNISONE,550,201,344,43,15,0,25,290,194,43,239,268,483
Asthenia,RAMIPRIL,183,93,87,11,11,0,15,92,62,8,61,114,154
Asthenia,RANITIDINE,163,56,104,17,5,0,9,89,43,8,70,85,141
Asthenia,REMICADE,470,198,272,17,7,0,14,214,263,34,328,108,447
Asthenia,REVLIMID,122,58,64,20,25,0,8,69,75,2,25,95,121
Asthenia,SANDOSTATIN LAR,252,118,129,99,4,0,13,143,223,47,90,115,251
Asthenia,SANDOSTATIN LAR 20MG,168,71,97,44,1,0,10,107,143,29,90,49,165
Asthenia,SANDOSTATIN LAR 30MG,301,135,166,83,3,0,11,165,279,57,103,141,301
Asthenia,SYNTHROID,338,56,277,21,29,0,24,132,126,15,137,186,273
Asthenia,TYLENOL,272,92,180,18,16,0,22,130,103,26,121,125,229
Asthenia,VASOTEC,109,36,73,6,3,0,6,60,21,3,37,69,89
Asthenia,VENTOLIN,158,48,108,10,5,0,7,69,59,10,88,60,130
Asthenia,VITAMIN B12,122,36,83,14,4,0,8,49,54,7,40,75,104
Asthenia,VITAMIN D,245,46,197,14,19,0,17,104,100,8,98,139,211
Asthenia,WARFARIN,155,83,71,12,5,0,12,98,44,5,39,111,140
Asthenia,XOLAIR,225,70,155,10,5,0,0,103,172,5,143,77,223
Asthenia,ZOPICLONE,108,33,74,10,9,0,11,43,48,3,57,48,94
Chest discomfort,ACETAMINOPHEN,108,39,68,0,3,0,5,19,50,20,69,19,80
Chest discomfort,BENADRYL,586,169,406,0,3,0,28,76,298,87,434,65,423
Chest discomfort,DEXAMETHASONE,132,23,108,1,2,0,9,13,51,17,99,16,74
Chest discomfort,DIPHENHYDRAMINE,111,24,84,0,2,0,10,27,39,27,80,4,82
Chest discomfort,METHOTREXATE,131,36,93,0,2,0,9,34,75,14,99,18,116
Chest discomfort,OXYGEN,154,47,104,1,2,0,15,30,68,19,104,31,122
Chest discomfort,PREDNISONE,244,94,148,6,4,0,14,68,127,28,183,33,201
Chest discomfort,REMICADE,1277,439,815,0,5,0,50,183,1039,163,1035,79,1234
Chest discomfort,SOLU-CORTEF,221,82,136,0,1,0,12,26,140,33,178,10,192
Chest discomfort,TYLENOL,196,66,129,4,2,0,5,33,123,25,143,28,170
Chest discomfort,VENTOLIN,180,55,122,1,2,0,11,26,88,15,135,30,129
Chest discomfort,XOLAIR,569,206,360,4,4,0,3,157,410,26,464,79,471
Chest pain,ACETAMINOPHEN,149,46,100,6,5,0,12,63,51,18,82,49,129
Chest pain,ACETYLSALICYLIC ACID,126,62,63,8,0,0,15,68,42,7,59,60,116
Chest pain,ACTONEL,106,12,92,3,6,0,4,26,36,13,52,41,66
Chest pain,ALTACE,156,90,66,6,16,0,12,75,37,4,84,68,127
Chest pain,ASA,226,123,103,12,7,0,43,109,53,9,105,112,192
Chest pain,ASPIRIN,221,125,92,14,19,0,19,113,66,18,121,82,201
Chest pain,ATENOLOL TABLETS, BP,158,75,83,3,4,0,22,71,43,4,68,86,133
Chest pain,ATIVAN,165,56,106,5,5,0,10,63,68,15,97,53,139
Chest pain,BENADRYL,310,105,202,3,0,0,28,72,132,31,221,58,241
Chest pain,CALCIUM,148,31,117,3,6,0,6,66,63,11,80,57,122
Chest pain,CELEBREX,141,57,84,8,5,0,17,63,50,4,96,41,128
Chest pain,COUMADIN,117,53,64,8,4,0,12,68,22,7,48,62,110
Chest pain,CRESTOR,149,82,67,6,3,0,10,77,72,8,89,52,131
Chest pain,DEXAMETHASONE,114,27,84,6,0,0,9,34,47,12,83,19,86
Chest pain,DIGOXIN,116,52,63,9,0,0,7,56,13,4,32,80,102
Chest pain,DIOVAN,102,43,57,3,3,0,4,42,50,7,52,43,92
Chest pain,FOLIC ACID,137,44,93,8,2,0,5,69,53,7,94,36,125
Chest pain,FUROSEMIDE,144,63,80,15,2,0,15,65,28,6,48,90,120
Chest pain,HEPARIN SODIUM INJECTION, USP,152,76,75,4,3,0,40,81,8,5,89,58,142
Chest pain,HUMIRA,130,39,91,2,1,0,3,82,78,10,78,42,126
Chest pain,HYDROCHLOROTHIAZIDE,136,49,86,4,2,0,10,61,41,16,59,61,114
Chest pain,LASIX,131,69,61,14,2,0,16,68,28,8,38,85,119
Chest pain,LIPITOR,306,165,140,13,16,0,32,155,86,12,163,131,261
Chest pain,LORAZEPAM,131,57,73,10,3,0,10,45,48,6,85,40,105
Chest pain,LOSEC,144,57,84,5,4,0,11,59,43,9,72,63,112
Chest pain,METFORMIN,173,94,79,10,3,0,19,87,53,8,93,72,151
Chest pain,METHOTREXATE,190,59,131,9,1,0,11,85,88,7,137,46,174
Chest pain,METOPROLOL,268,165,102,14,13,0,39,135,69,9,144,115,236
Chest pain,MORPHINE,129,61,65,11,0,0,16,46,37,8,75,46,108
Chest pain,NITROGLYCERIN,433,222,208,23,13,0,58,210,64,24,196,213,370
Chest pain,NORVASC,154,77,77,4,5,0,19,74,42,4,61,89,127
Chest pain,OXYGEN,175,67,104,11,1,0,15,75,39,16,113,46,147
Chest pain,PANTOLOC,141,51,90,2,4,0,10,74,47,5,84,52,127
Chest pain,PLAVIX,216,142,73,15,14,0,27,135,59,5,106,105,201
Chest pain,PREDNISONE,398,154,240,24,8,0,24,197,138,45,229,124,365
Chest pain,RAMIPRIL,145,74,71,8,5,0,20,75,46,4,72,69,131
Chest pain,RANITIDINE,166,67,94,8,4,0,15,59,46,13,96,57,125
Chest pain,REMICADE,755,311,429,10,2,0,33,303,461,38,635,82,743
Chest pain,SYNTHROID,181,31,149,10,8,0,11,71,64,11,89,81,140
Chest pain,TYLENOL,204,78,124,10,7,0,23,81,83,14,145,45,172
Chest pain,VENTOLIN,159,66,92,1,3,0,17,59,64,14,102,43,133
Chest pain,VIOXX,140,77,61,10,23,0,8,65,30,21,90,29,135
Chest pain,VITAMIN D,135,28,107,3,2,0,9,64,50,7,63,65,107
Chest pain,XOLAIR,257,101,156,0,0,0,4,133,214,19,208,30,253
Chest pain,ZYPREXA,128,69,57,5,2,0,2,38,98,7,108,13,124
Chills,ACETAMINOPHEN,225,106,115,9,4,0,14,70,73,26,142,57,176
Chills,ACLASTA,172,22,149,3,11,0,5,29,130,19,73,80,163
Chills,ATIVAN,112,50,62,4,2,0,7,35,36,5,75,32,87
Chills,BENADRYL,474,207,258,2,0,0,21,104,143,69,307,98,292
Chills,BETASERON,103,34,69,0,12,0,3,36,74,1,102,0,95
Chills,CALCIUM,117,17,100,3,3,0,5,53,47,4,75,38,98
Chills,DIPHENHYDRAMINE,124,64,55,6,2,0,10,42,38,16,92,16,100
Chills,FOLIC ACID,121,42,79,9,0,0,5,53,45,6,78,37,105
Chills,GAMMAGARD LIQUID,101,48,53,5,0,0,1,16,65,15,51,35,73
Chills,GRAVOL,104,44,58,0,3,0,0,21,23,15,61,28,62
Chills,HUMIRA,101,36,63,2,0,0,3,79,30,10,64,27,94
Chills,LIPITOR,118,63,53,4,3,0,6,38,53,7,61,50,95
Chills,METHOTREXATE,124,38,82,6,1,0,2,57,56,11,84,29,108
Chills,OXYGEN,117,58,58,12,1,0,14,34,32,7,71,39,101
Chills,PREDNISONE,400,168,232,18,5,0,27,167,119,24,263,113,335
Chills,PRIVIGEN,101,57,44,0,4,0,8,41,54,9,52,40,85
Chills,REMICADE,675,359,307,2,3,0,27,193,472,32,538,105,653
Chills,SOLU-CORTEF,142,72,66,3,0,0,12,44,36,22,91,29,107
Chills,SYNTHROID,107,20,87,3,6,0,7,27,48,5,63,39,80
Chills,TYLENOL,361,159,197,8,4,0,25,115,116,60,224,77,267
Chills,VENTOLIN,105,40,61,2,0,0,11,31,27,11,55,39,78
Chills,VITAMIN D,108,17,91,1,3,0,6,43,38,8,69,31,85
Condition aggravated,ACETAMINOPHEN,165,60,103,14,7,0,3,75,67,16,98,51,142
Condition aggravated,ACLASTA,103,8,95,11,3,0,0,13,74,39,16,48,88
Condition aggravated,ACTEMRA,165,53,110,3,1,0,4,50,140,9,114,42,164
Condition aggravated,ACTONEL,125,19,105,1,10,0,1,37,53,14,54,57,89
Condition aggravated,ADVAIR,125,39,84,7,6,0,6,49,72,21,67,37,101
Condition aggravated,AMITRIPTYLINE,117,24,93,4,3,0,1,47,47,8,87,22,90
Condition aggravated,ASA,158,72,85,9,3,0,9,51,62,11,57,90,109
Condition aggravated,ATIVAN,142,48,93,9,11,0,9,47,60,17,83,42,119
Condition aggravated,BENADRYL,107,42,62,2,5,0,0,53,40,14,81,12,90
Condition aggravated,CALCIUM,281,61,219,12,14,0,11,136,118,27,150,104,234
Condition aggravated,CELEBREX,166,48,115,10,3,0,5,54,78,19,106,41,127
Condition aggravated,CITALOPRAM,128,42,84,6,3,0,3,54,62,6,86,36,103
Condition aggravated,CLONAZEPAM,203,59,142,6,10,0,14,65,103,19,149,35,165
Condition aggravated,CLOZARIL,139,73,66,31,5,0,13,44,83,33,73,33,138
Condition aggravated,CRESTOR,213,100,112,8,13,0,13,56,115,20,112,81,166
Condition aggravated,CYMBALTA,128,37,89,3,10,0,17,27,60,9,102,17,89
Condition aggravated,EFFEXOR XR,102,20,81,3,2,0,5,32,59,14,74,14,81
Condition aggravated,ENBREL,139,50,88,4,0,0,1,42,64,16,93,30,106
Condition aggravated,ERGOCALCIFEROL,135,32,103,6,2,0,2,71,74,20,84,31,118
Condition aggravated,FOLIC ACID,270,73,194,12,5,0,5,116,142,23,178,69,229
Condition aggravated,FUROSEMIDE,142,61,79,24,5,0,5,62,45,9,52,81,122
Condition aggravated,HUMIRA,1124,319,792,10,11,0,2,607,515,256,743,125,852
Condition aggravated,HYDROCHLOROTHIAZIDE,157,44,106,12,7,0,7,47,67,13,80,64,116
Condition aggravated,IMURAN,193,77,115,2,3,0,2,96,98,20,160,13,177
Condition aggravated,LASIX,125,59,65,22,3,0,8,59,37,9,46,70,105
Condition aggravated,LEVOTHYROXINE,114,22,90,7,5,0,3,47,51,19,62,33,87
Condition aggravated,LIPITOR,237,130,105,16,16,0,13,66,98,14,123,100,174
Condition aggravated,LORAZEPAM,186,78,105,14,12,0,15,69,68,17,114,55,138
Condition aggravated,LOSEC,136,47,87,16,10,0,1,42,51,14,82,40,100
Condition aggravated,LYRICA,131,32,97,1,7,0,13,27,77,10,89,32,105
Condition aggravated,METFORMIN,208,91,115,11,9,0,11,75,91,13,113,82,155
Condition aggravated,METHOTREXATE,405,111,291,12,8,0,6,159,229,48,264,93,345
Condition aggravated,METOPROLOL,159,74,85,16,5,0,6,67,61,14,66,79,124
Condition aggravated,MULTIVITAMINE(S),154,37,117,6,13,0,8,62,76,18,97,39,129
Condition aggravated,NEXIUM,157,44,110,2,6,0,5,44,63,22,100,35,100
Condition aggravated,NORVASC,109,41,66,4,9,0,3,33,41,8,33,68,77
Condition aggravated,OMEPRAZOLE,163,49,111,8,6,0,3,24,56,36,65,62,77
Condition aggravated,PANTOLOC,141,49,92,8,8,0,5,59,64,9,83,49,118
Condition aggravated,PANTOPRAZOLE,145,46,98,2,13,0,6,61,57,17,79,49,103
Condition aggravated,PREDNISONE,764,257,501,42,23,0,17,409,326,99,495,170,681
Condition aggravated,RAMIPRIL,153,75,75,14,7,0,8,62,58,9,69,75,115
Condition aggravated,REMICADE,2451,1025,1392,19,24,0,22,1195,1125,303,1912,236,2133
Condition aggravated,SALBUTAMOL,134,45,88,9,5,0,6,67,51,16,72,46,110
Condition aggravated,SEROQUEL,111,38,73,7,5,0,7,35,55,11,82,18,89
Condition aggravated,SPIRIVA,122,46,72,14,7,0,5,56,39,25,42,55,84
Condition aggravated,STELARA,188,79,108,2,2,0,0,22,36,7,145,36,56
Condition aggravated,SYMBICORT TURBUHALER,153,60,92,4,7,0,3,31,71,31,83,39,97
Condition aggravated,SYNTHROID,213,34,177,9,10,0,5,48,107,20,104,89,156
Condition aggravated,TRAZODONE,107,35,70,8,6,0,11,33,59,8,76,23,88
Condition aggravated,TYLENOL,188,59,127,11,8,0,6,78,90,22,108,58,163
Condition aggravated,VENTOLIN,247,83,162,8,10,0,11,86,106,37,136,74,187
Condition aggravated,VITAMIN D,248,60,187,6,18,0,14,92,119,24,139,85,202
Condition aggravated,WARFARIN,106,44,61,14,8,0,5,57,34,5,44,57,92
Condition aggravated,XOLAIR,420,130,289,8,11,0,3,172,353,37,343,40,377
Condition aggravated,ZOPICLONE,105,36,67,4,7,0,5,36,57,10,70,25,84
Condition aggravated,ZYPREXA,187,82,103,27,14,0,16,102,118,18,137,32,180
Crying,CHAMPIX,163,39,121,2,17,0,18,8,110,24,134,5,136
Crying,DIPHTHERIA AND TETANUS TOXOIDS WITH PERTUSSIS VACCINE ADSORBED,1541,824,685,2,0,0,0,112,6,1535,6,0,352
Crying,SABIN,880,481,389,0,0,0,0,75,5,878,2,0,219
Crying,TEMPRA,449,242,200,0,0,0,0,37,3,448,1,0,126
Crying,TYLENOL,267,150,113,2,1,0,0,34,7,257,7,3,84
Death,ACLASTA,786,126,660,785,0,0,0,7,2,427,31,328,786
Death,AFINITOR,189,125,63,189,0,0,0,2,1,97,52,40,189
Death,AVASTIN,145,68,35,88,0,0,0,0,2,26,87,32,139
Death,CLOZARIL,583,341,234,583,0,0,0,4,4,123,294,166,583
Death,DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,118,73,38,118,0,0,0,3,0,110,2,6,118
Death,ENBREL,195,71,120,63,0,0,0,2,1,44,41,110,172
Death,ETHANOL,140,99,37,137,0,0,0,3,0,11,116,13,140
Death,EXTRANEAL,123,70,46,123,0,0,0,4,1,113,4,6,123
Death,GEN-CLOZAPINE,102,69,33,101,0,0,0,0,3,8,68,26,102
Death,HUMIRA,121,47,74,120,0,0,2,2,2,40,35,46,121
Death,PREDNISONE,122,54,62,91,0,0,0,16,1,22,41,59,116
Death,REMICADE,143,60,73,143,0,0,0,6,1,19,61,63,143
Death,REVLIMID,320,184,134,252,0,0,0,1,0,25,83,212,318
Death,TRACLEER,130,40,90,130,0,0,0,1,0,4,44,82,130
Death,ZOMETA CONCENTRATE,138,85,51,137,0,0,0,3,2,25,51,62,138
Device dislocation,MIRENA,538,0,529,0,3,0,0,12,534,199,339,0,536
Device expulsion,MIRENA,327,0,322,0,0,0,1,5,317,66,261,0,321
Disease progression,AVASTIN,1043,176,173,76,0,0,9,40,877,90,592,361,997
Disease progression,DEXAMETHASONE,179,94,85,55,6,0,8,43,97,10,135,34,169
Disease progression,FLUOROURACIL,451,16,6,13,0,0,2,2,431,62,205,184,450
Disease progression,IRINOTECAN HYDROCHLORIDE,334,8,4,6,0,0,1,1,332,44,141,149,334
Disease progression,LEUCOVORIN,420,8,2,9,1,0,2,1,416,63,183,174,420
Disease progression,REVLIMID,210,97,111,135,23,0,8,60,93,5,93,112,210
Disease progression,XELODA,120,24,68,16,0,0,3,17,82,21,56,43,114
Disease recurrence,REMICADE,179,71,103,0,1,0,2,73,114,5,152,22,172
Drug effect decreased,ACTEMRA,109,39,70,0,0,0,0,0,69,4,73,32,95
Drug effect decreased,HUMIRA,191,86,74,0,0,0,0,12,18,91,89,11,20
Drug effect decreased,REMICADE,487,232,254,1,1,0,0,60,152,93,362,32,203
Drug effect incomplete,HUMIRA,220,111,103,0,0,0,0,13,11,123,84,13,19
Drug ineffective,ABREVA,140,26,114,0,0,0,0,0,0,27,91,22,1
Drug ineffective,ACETAMINOPHEN,322,99,222,8,7,0,5,40,155,63,157,102,227
Drug ineffective,ACETYLSALICYLIC ACID,200,84,114,3,0,0,2,16,50,30,89,81,71
Drug ineffective,ACLASTA,319,26,290,9,5,0,4,39,107,176,44,99,134
Drug ineffective,ACTEMRA,460,113,342,1,0,0,6,19,340,84,275,101,410
Drug ineffective,ACTONEL,258,35,217,0,11,0,0,16,65,54,93,111,86
Drug ineffective,ADALAT XL,116,57,55,2,2,0,2,11,47,15,42,59,63
Drug ineffective,ADVAIR,276,106,165,4,7,0,5,32,95,81,126,69,114
Drug ineffective,ADVAIR DISKUS,295,130,152,1,1,0,9,6,71,108,111,76,88
Drug ineffective,ADVIL,148,46,93,1,2,0,0,9,34,53,80,15,43
Drug ineffective,ALENDRONATE,120,27,90,0,3,0,0,14,19,22,55,43,32
Drug ineffective,ALLEGRA,306,107,196,0,0,0,0,0,1,143,149,14,1
Drug ineffective,ALLOPURINOL,130,87,43,5,3,0,4,13,32,17,29,84,51
Drug ineffective,ALTACE,274,143,127,2,9,0,9,19,74,42,114,118,104
Drug ineffective,AMITRIPTYLINE,238,59,178,4,2,0,1,19,53,32,150,56,78
Drug ineffective,AMLODIPINE,189,84,103,2,5,0,4,17,44,31,51,107,64
Drug ineffective,APO-CLOZAPINE,108,68,37,0,1,0,0,16,12,26,70,12,29
Drug ineffective,APO-OMEPRAZOLE,191,74,110,0,1,0,0,4,17,68,36,87,21
Drug ineffective,ARAVA,122,21,87,0,1,0,0,5,39,14,85,23,48
Drug ineffective,ARTHROTEC,118,41,76,1,2,0,2,5,38,20,56,42,46
Drug ineffective,ASA,366,163,195,5,9,0,5,29,87,59,102,205,123
Drug ineffective,ASPIRIN,216,117,94,1,2,0,2,34,67,27,84,105,94
