reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Acute hepatic failure,ACETAMINOPHEN,59,19,38,19,0,0,6,50,12,13,45,1,59
Autoimmune hepatitis,MINOCYCLINE,13,8,5,0,0,0,0,3,10,12,1,0,13
Autoimmune hepatitis,REMICADE,21,4,16,0,0,0,0,15,18,2,19,0,21
Bile duct obstruction,REMICADE,11,7,4,0,2,0,0,10,4,0,10,1,11
Bile duct obstruction,SANDOSTATIN LAR,14,8,6,4,2,0,0,14,10,4,5,5,14
Bile duct obstruction,SANDOSTATIN LAR 30MG,12,9,3,6,0,0,0,12,10,5,4,3,12
Bile duct stenosis,SANDOSTATIN LAR 20MG,11,11,0,0,0,0,11,11,11,0,11,0,11
Bile duct stone,SANDOSTATIN LAR,13,9,4,6,0,0,0,12,13,1,0,12,13
Cholangitis,SANDOSTATIN LAR 20MG,11,11,0,0,0,0,11,11,11,0,11,0,11
Cholecystitis,CLOZARIL,11,2,9,2,2,0,3,10,8,4,5,2,11
Cholecystitis,LIPITOR,11,6,5,0,0,0,0,11,5,0,10,1,11
Cholecystitis,OXYCONTIN,28,27,1,0,0,0,0,28,27,0,28,0,28
Cholecystitis,PREDNISONE,11,2,9,2,0,0,2,5,3,0,10,1,11
Cholecystitis,REMICADE,34,6,27,3,0,0,1,31,15,1,28,5,34
Cholecystitis,YASMIN 28,15,0,15,0,0,0,0,5,14,2,13,0,15
Cholecystitis acute,DOXORUBICIN HYDROCHLORIDE INJECTION,12,9,3,0,0,0,0,0,12,0,4,8,12
Cholecystitis acute,LIPIODOL ULTRA FLUIDE 38%,12,9,3,0,0,0,0,0,12,0,4,8,12
Cholecystitis acute,OMNIPAQUE,12,9,3,0,0,0,0,0,12,0,4,8,12
Cholecystitis acute,YASMIN 21,15,0,15,0,0,0,0,14,1,2,13,0,15
Cholecystitis chronic,YASMIN 21,18,0,18,0,0,0,0,4,16,1,17,0,18
Cholecystitis chronic,YASMIN 28,44,0,44,0,0,0,0,13,36,13,31,0,44
Cholecystitis chronic,YAZ,30,0,30,0,0,0,0,7,27,11,19,0,30
Cholelithiasis,ACETAMINOPHEN,13,3,10,0,0,0,0,6,2,0,7,6,13
Cholelithiasis,ACTEMRA,35,2,33,0,0,0,0,1,29,0,28,7,35
Cholelithiasis,ANTIINFECTIVES FOR SYSTEMIC USE,12,5,7,0,0,0,1,9,4,0,11,1,12
Cholelithiasis,ASA,15,6,9,2,1,0,0,10,6,0,5,10,15
Cholelithiasis,ASPIRIN,12,10,2,1,1,0,1,9,5,0,7,5,12
Cholelithiasis,BETASERON,23,10,13,0,0,0,0,17,7,1,21,1,23
Cholelithiasis,CALCIUM,29,8,21,4,0,0,2,18,9,2,15,12,27
Cholelithiasis,CALCIUM CARBONATE,28,1,27,1,0,0,0,19,8,0,2,26,27
Cholelithiasis,CELEBREX,21,6,15,1,0,0,0,11,15,1,16,4,20
Cholelithiasis,CLONAZEPAM,11,1,10,2,1,0,1,7,3,0,10,1,10
Cholelithiasis,CLOZARIL,17,6,11,3,2,0,3,9,6,2,13,2,16
Cholelithiasis,COLACE,11,5,6,2,0,0,0,6,7,0,8,3,11
Cholelithiasis,CRESTOR,14,10,4,2,0,0,1,11,4,0,9,5,14
Cholelithiasis,ENBREL,11,7,4,0,0,0,0,8,5,0,6,5,9
Cholelithiasis,ERGOCALCIFEROL,13,2,11,0,0,0,0,9,7,1,8,4,13
Cholelithiasis,FOLIC ACID,21,3,18,3,0,0,1,11,8,0,11,10,19
Cholelithiasis,FORTEO,14,0,14,1,0,0,0,14,3,0,3,11,14
Cholelithiasis,HUMIRA,61,21,37,0,0,0,1,38,36,4,41,16,61
Cholelithiasis,HYDROCHLOROTHIAZIDE,13,1,11,0,0,0,0,9,5,2,7,4,12
Cholelithiasis,IMURAN,13,4,9,0,1,0,0,8,9,1,12,0,13
Cholelithiasis,LIPITOR,31,9,22,0,3,0,0,23,8,0,17,14,31
Cholelithiasis,LORAZEPAM,13,5,8,1,0,0,0,6,6,1,6,6,13
Cholelithiasis,METFORMIN,23,8,15,1,0,0,0,13,12,3,12,8,23
Cholelithiasis,METHOTREXATE,38,7,31,2,0,0,2,21,23,0,26,12,38
Cholelithiasis,METOPROLOL,12,8,3,0,0,0,0,9,5,0,6,6,12
Cholelithiasis,MORPHINE,13,6,7,3,0,0,2,9,2,1,10,2,13
Cholelithiasis,MULTIVITAMINE(S),14,3,11,0,0,0,1,10,5,1,10,3,14
Cholelithiasis,NORVASC,15,4,11,1,0,0,0,10,8,0,6,9,15
Cholelithiasis,ORENCIA,11,0,11,0,0,0,3,8,5,0,2,9,11
Cholelithiasis,PANTOLOC,17,7,10,2,0,0,1,11,8,0,14,3,17
Cholelithiasis,PANTOPRAZOLE,11,5,5,0,0,0,1,7,4,1,5,5,11
Cholelithiasis,PLAVIX,13,6,6,4,2,0,1,9,5,0,6,7,13
Cholelithiasis,PREDNISONE,31,11,20,3,0,0,4,13,13,0,22,9,30
Cholelithiasis,RAMIPRIL,20,11,8,2,0,0,2,17,7,0,13,7,20
Cholelithiasis,RANITIDINE,12,7,4,0,0,0,0,9,3,1,9,2,12
Cholelithiasis,REBIF,16,5,11,0,0,0,1,9,10,3,13,0,16
Cholelithiasis,REMICADE,109,32,75,4,2,0,4,62,62,4,91,14,109
Cholelithiasis,SANDOSTATIN LAR,35,19,16,5,0,0,5,17,29,10,15,10,35
Cholelithiasis,SANDOSTATIN LAR 10MG,11,5,6,3,0,0,2,5,8,2,7,2,11
Cholelithiasis,SANDOSTATIN LAR 20MG,34,12,22,3,0,0,0,19,34,5,23,6,34
Cholelithiasis,SANDOSTATIN LAR 30MG,38,16,22,6,0,0,0,19,36,7,20,11,38
Cholelithiasis,SYNTHROID,21,6,15,1,0,0,0,14,12,0,9,12,21
Cholelithiasis,TRAZODONE,12,5,7,1,0,0,1,9,3,2,9,1,12
Cholelithiasis,TYLENOL,15,7,8,3,0,0,2,9,3,0,10,5,15
Cholelithiasis,VITAMIN D,18,5,13,2,0,0,2,13,6,1,10,7,18
Cholelithiasis,XENICAL 120MG CAPSULE,12,2,10,0,0,0,0,6,6,1,11,0,12
Cholelithiasis,YASMIN 21,27,0,26,0,0,0,0,7,21,2,25,0,27
Cholelithiasis,YASMIN 28,73,0,72,0,0,0,2,23,57,24,49,0,73
Cholelithiasis,YAZ,44,0,43,0,0,0,1,15,35,15,29,0,44
Cholelithiasis,ZYPREXA,19,4,15,2,1,0,3,9,10,0,18,1,19
Cholestasis,INSULIN,11,10,1,2,0,0,0,8,3,2,8,1,11
Cholestasis,PREDNISONE,18,6,12,2,0,0,0,14,3,2,11,5,18
Cholestasis,QUETIAPINE,11,9,1,0,0,0,0,9,5,1,10,0,11
Cholestasis,ZOPICLONE,11,9,1,0,0,0,0,9,4,1,10,0,11
Drug-induced liver injury,CLOZAPINE,17,3,14,3,0,0,0,16,8,0,17,0,17
Drug-induced liver injury,LAMIVUDINE,11,11,0,0,0,0,0,0,9,0,11,0,9
Gallbladder disorder,CLOZARIL,11,9,2,4,0,0,0,6,1,1,8,2,11
Gallbladder disorder,FOLIC ACID,17,3,13,0,0,0,0,8,10,2,11,4,17
Gallbladder disorder,HUMIRA,20,8,11,0,0,0,0,12,11,4,10,6,19
Gallbladder disorder,LIPITOR,14,10,3,0,1,0,0,10,8,2,10,2,14
Gallbladder disorder,METHOTREXATE,15,3,11,0,0,0,0,6,10,1,11,3,15
Gallbladder disorder,PREDNISONE,12,3,9,1,1,0,1,5,4,0,11,1,12
Gallbladder disorder,REMICADE,54,15,37,3,1,0,0,29,23,3,46,5,54
Gallbladder disorder,SANDOSTATIN LAR,12,10,2,1,0,0,0,11,10,3,6,3,12
Hepatic cirrhosis,CLOZARIL,11,9,2,1,0,0,2,4,9,3,8,0,11
Hepatic cirrhosis,FUROSEMIDE,20,13,7,6,0,0,1,10,6,2,9,9,20
Hepatic cirrhosis,HUMIRA,14,6,8,4,0,0,0,9,8,0,11,3,14
Hepatic cirrhosis,METHOTREXATE,13,5,8,1,0,0,1,5,5,1,12,0,12
Hepatic cirrhosis,PEGASYS RBV,11,3,8,1,2,0,4,4,6,2,9,0,11
Hepatic cirrhosis,REMICADE,16,9,7,5,0,0,1,9,9,0,14,2,16
Hepatic cirrhosis,RIBAVIRIN,18,17,1,2,0,0,0,3,1,15,2,1,18
Hepatic cirrhosis,ZYPREXA,13,12,1,1,0,0,0,5,7,0,12,1,13
Hepatic congestion,XOLAIR,11,0,11,0,0,0,0,11,0,0,0,11,11
Hepatic failure,ACETAMINOPHEN,45,16,27,21,0,0,5,20,8,10,29,6,45
Hepatic failure,ALBUMIN (HUMAN),15,8,6,9,0,0,9,1,5,4,8,3,15
Hepatic failure,ASA,12,4,8,8,1,0,6,3,5,1,7,4,12
Hepatic failure,CLOZARIL,13,9,4,7,0,0,0,6,3,3,10,0,13
Hepatic failure,CYCLOPHOSPHAMIDE,13,6,6,9,0,0,2,1,4,3,5,5,13
Hepatic failure,CYCLOSPORINE,13,9,4,10,0,0,0,5,3,3,10,0,13
Hepatic failure,DIURETIC(S),11,6,5,9,0,0,6,0,8,0,6,5,11
Hepatic failure,FRESH FROZEN PLASMA,14,6,8,13,0,0,3,1,8,1,7,6,14
Hepatic failure,FUROSEMIDE,11,8,2,10,0,0,0,2,0,2,8,1,11
Hepatic failure,HALOTHANE,11,3,7,4,0,0,0,4,0,1,9,1,11
Hepatic failure,HUMIRA,13,7,6,6,0,0,1,6,6,4,7,2,13
Hepatic failure,HYDROCHLOROTHIAZIDE,11,6,4,4,2,0,4,7,5,1,8,2,11
Hepatic failure,LACTULOSE SYRUP,18,13,5,11,0,0,2,5,0,3,10,5,18
Hepatic failure,LASIX,16,10,6,8,0,0,2,5,4,1,9,6,16
Hepatic failure,LIPITOR,11,7,4,3,3,0,5,5,0,1,5,5,11
Hepatic failure,METFORMIN,11,7,4,7,0,0,4,4,0,1,7,3,11
Hepatic failure,METHOTREXATE,13,5,8,6,0,0,0,4,4,2,10,1,13
Hepatic failure,MORPHINE,13,2,11,9,0,0,2,4,2,1,9,3,13
Hepatic failure,PEGETRON,12,9,3,5,0,0,3,3,1,1,11,0,12
Hepatic failure,PREDNISONE,42,18,24,25,0,0,4,14,7,10,22,10,42
Hepatic failure,RANITIDINE,13,4,9,7,0,0,1,6,1,5,5,3,13
Hepatic failure,REMICADE,17,10,6,8,0,0,4,14,6,2,12,3,17
Hepatic failure,SANDOSTATIN LAR 20MG,11,11,0,0,0,0,11,11,11,0,11,0,11
Hepatic failure,SANDOSTATIN LAR 30MG,13,13,0,5,0,0,7,8,12,4,9,0,13
Hepatic failure,TRASYLOL,11,5,6,11,0,0,4,0,11,0,6,5,11
Hepatic failure,TYLENOL,22,11,11,9,0,0,4,11,2,4,14,4,22
Hepatic failure,VITAMIN K,16,8,7,7,0,0,4,6,0,6,8,2,16
Hepatic function abnormal,ACETAMINOPHEN,17,5,11,3,1,0,0,7,4,3,6,8,16
Hepatic function abnormal,AFINITOR,11,10,1,0,0,0,0,1,11,3,1,7,11
Hepatic function abnormal,ALDOMET,12,6,6,0,0,0,0,4,0,1,8,3,11
Hepatic function abnormal,CLOZARIL,12,10,2,4,0,0,0,7,5,1,10,1,12
Hepatic function abnormal,COLACE,11,4,5,1,0,0,1,4,1,2,4,5,10
Hepatic function abnormal,DIGOXIN,23,8,15,1,0,0,0,7,1,0,6,17,19
Hepatic function abnormal,FUROSEMIDE,11,5,6,2,0,0,0,5,1,0,5,6,9
Hepatic function abnormal,INH,85,42,43,1,0,0,0,3,0,52,27,6,29
Hepatic function abnormal,LASIX,23,13,10,5,0,0,1,9,2,1,9,13,20
Hepatic function abnormal,LIPITOR,11,5,5,1,0,0,0,4,6,2,1,8,11
Hepatic function abnormal,METFORMIN,11,8,3,5,0,0,0,5,6,2,7,2,10
Hepatic function abnormal,PREDNISONE,36,17,19,11,1,0,2,13,7,5,18,13,30
Hepatic function abnormal,PYRIDOXINE,13,7,6,1,0,0,0,1,0,6,6,1,4
Hepatic function abnormal,RANITIDINE,11,2,9,2,0,0,0,3,3,0,6,5,8
Hepatic function abnormal,SLOW K 600MG,14,6,8,1,0,0,0,4,0,0,4,10,9
Hepatic function abnormal,ZOMETA CONCENTRATE,12,0,12,0,0,0,0,0,12,0,7,5,12
Hepatic lesion,SANDOSTATIN LAR,22,9,13,7,0,0,5,20,18,3,10,9,22
Hepatic lesion,SANDOSTATIN LAR 30MG,43,18,25,7,5,0,0,24,38,7,23,13,43
Hepatic necrosis,ACETAMINOPHEN,33,3,7,12,0,0,3,6,14,26,6,1,33
Hepatic necrosis,CLOZAPINE,11,4,7,10,0,0,0,4,2,6,5,0,11
Hepatic necrosis,ETHANOL,15,0,4,10,0,0,0,0,5,11,3,1,15
Hepatic necrosis,HALOTHANE,14,4,10,9,0,0,0,2,0,1,8,5,14
Hepatic necrosis,PREDNISONE,17,4,13,4,0,0,3,6,4,3,12,2,17
Hepatic pain,SANDOSTATIN LAR,16,5,11,4,0,0,0,7,13,4,6,6,16
Hepatic pain,SANDOSTATIN LAR 30MG,17,9,8,2,0,0,0,8,16,5,10,2,17
Hepatic steatosis,ACETAMINOPHEN,11,4,7,0,0,0,0,7,6,1,8,2,11
Hepatic steatosis,ASA,11,5,6,1,1,0,1,7,6,1,5,5,11
Hepatic steatosis,ASPIRIN,13,11,2,1,1,0,2,5,8,0,11,2,13
Hepatic steatosis,ATIVAN,21,13,8,1,0,0,0,12,13,0,17,4,20
Hepatic steatosis,CELEXA,20,9,10,2,0,0,0,9,11,2,18,0,20
Hepatic steatosis,CLONAZEPAM,21,11,10,4,2,0,0,7,10,0,19,2,21
Hepatic steatosis,CLOZARIL,22,7,15,2,0,0,0,10,16,9,13,0,21
Hepatic steatosis,CRESTOR,14,7,7,0,0,0,2,6,9,2,9,3,14
Hepatic steatosis,DEXAMETHASONE,31,30,1,0,0,0,0,3,30,1,30,0,31
Hepatic steatosis,EFFEXOR XR,14,9,5,1,0,0,0,4,11,1,13,0,14
Hepatic steatosis,EPIVAL,13,9,4,0,0,0,0,6,9,0,11,2,13
Hepatic steatosis,FOLIC ACID,18,14,4,0,0,0,0,5,13,0,15,3,17
Hepatic steatosis,LAMIVUDINE,14,14,0,0,0,0,0,0,12,0,14,0,12
Hepatic steatosis,LIPITOR,23,10,13,0,2,0,0,9,12,2,13,8,22
Hepatic steatosis,LORAZEPAM,29,20,9,2,1,0,1,16,16,0,28,1,29
Hepatic steatosis,METFORMIN,23,8,15,0,1,0,0,11,12,0,17,6,22
Hepatic steatosis,METHOTREXATE,23,12,11,0,0,0,0,10,18,0,22,1,23
Hepatic steatosis,MOXIFLOXACIN,14,14,0,0,14,0,0,0,14,0,14,0,14
Hepatic steatosis,OXYCONTIN,28,27,1,0,0,0,0,27,28,0,27,1,28
Hepatic steatosis,PREDNISONE,17,7,10,2,0,0,1,7,11,0,16,1,17
Hepatic steatosis,REMICADE,27,11,15,0,0,0,0,11,24,2,25,0,27
Hepatic steatosis,RISPERDAL,26,19,7,4,0,0,0,11,18,1,24,1,26
Hepatic steatosis,SEROQUEL,27,18,9,1,0,0,0,12,17,1,26,0,27
Hepatic steatosis,SYNTHROID,15,2,13,0,1,0,1,8,9,1,12,2,15
