reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Anaphylactic reaction,ACETAMINOPHEN,39,12,27,1,0,0,16,5,9,10,21,8,35
Anaphylactic reaction,ACETYLSALICYLIC ACID,16,9,7,0,0,0,2,6,1,4,10,2,12
Anaphylactic reaction,ADALAT,12,6,6,0,0,0,2,1,1,0,6,6,12
Anaphylactic reaction,ADRENALIN CHLORIDE SOL 1:1000,133,42,84,5,0,0,23,39,21,26,85,22,126
Anaphylactic reaction,ADVAIR,16,5,11,1,0,0,8,7,8,4,7,5,16
Anaphylactic reaction,ALLOPURINOL,13,7,6,0,0,0,7,1,3,1,4,8,12
Anaphylactic reaction,AMINOPHYLLINE,23,10,13,0,0,0,1,7,0,3,14,6,22
Anaphylactic reaction,AMPICILLIN,23,11,12,3,0,0,1,4,1,5,13,5,20
Anaphylactic reaction,ANCEF,14,8,4,0,0,0,2,1,2,1,6,7,12
Anaphylactic reaction,ANTIHISTAMINIC DRUGS,19,4,15,1,0,0,5,4,4,3,14,2,19
Anaphylactic reaction,ASA,25,12,12,1,0,0,12,8,7,0,13,12,24
Anaphylactic reaction,ASPIRIN,21,9,11,2,0,0,8,5,8,4,14,3,21
Anaphylactic reaction,ATARAX,19,3,15,0,0,0,4,7,4,2,16,1,18
Anaphylactic reaction,ATIVAN,20,11,9,2,0,0,4,4,7,0,12,8,19
Anaphylactic reaction,ATROPINE,35,18,16,1,0,0,6,7,0,7,21,7,33
Anaphylactic reaction,ATROVENT,16,6,10,1,0,0,4,7,2,3,10,3,15
Anaphylactic reaction,AVELOX,56,15,34,1,0,0,11,13,36,24,27,5,56
Anaphylactic reaction,BENADRYL,307,100,200,5,1,0,81,80,75,63,195,49,286
Anaphylactic reaction,BENADRYL INJ. 50MG/ML,15,5,10,0,0,0,8,1,3,2,11,2,14
Anaphylactic reaction,CALCIUM,20,4,16,0,0,0,6,11,8,0,13,7,20
Anaphylactic reaction,CEFAZOLIN FOR INJECTION, USP,23,12,11,1,0,0,5,3,7,5,12,6,21
Anaphylactic reaction,CELEBREX,29,5,22,0,0,0,10,9,11,6,17,6,27
Anaphylactic reaction,CHLOR-TRIPOLON,14,7,7,0,0,0,2,2,2,2,10,2,13
Anaphylactic reaction,CLONAZEPAM,12,2,10,1,0,0,5,4,6,2,9,1,11
Anaphylactic reaction,CORTICOSTEROID(S),11,0,10,0,0,0,4,3,5,0,10,1,11
Anaphylactic reaction,CYCLOPHOSPHAMIDE,11,0,11,0,1,0,2,2,5,2,8,1,11
Anaphylactic reaction,DECADRON,21,8,13,0,0,0,6,7,8,1,18,2,20
Anaphylactic reaction,DEMEROL,32,13,15,1,0,0,0,5,1,7,22,3,30
Anaphylactic reaction,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML,11,0,11,0,0,0,1,3,6,7,4,0,10
Anaphylactic reaction,DEXAMETHASONE,24,9,15,1,0,0,8,7,8,4,16,4,22
Anaphylactic reaction,DEXTROSE 5% IN WATER,17,11,6,0,0,0,2,1,3,6,4,7,14
Anaphylactic reaction,DIAZEPAM,14,7,7,1,0,0,4,2,0,2,6,6,13
Anaphylactic reaction,DIGOXIN,29,14,15,2,0,0,1,4,1,1,2,26,28
Anaphylactic reaction,DIMENHYDRINATE,17,5,12,0,0,0,3,2,1,1,13,3,15
Anaphylactic reaction,DIPHENHYDRAMINE,93,41,52,2,0,0,36,21,26,14,63,16,89
Anaphylactic reaction,DOCUSATE SODIUM,13,7,6,0,0,0,1,2,2,0,4,9,11
Anaphylactic reaction,ENTROPHEN,11,3,7,1,0,0,0,1,0,1,5,5,10
Anaphylactic reaction,EPINEPHRINE,205,74,126,3,0,0,88,51,41,45,127,33,193
Anaphylactic reaction,EPIPEN,21,6,14,0,0,0,8,3,10,8,13,0,21
Anaphylactic reaction,EPREX STERILE SOLUTION,15,9,6,1,0,0,7,4,3,1,8,6,15
Anaphylactic reaction,ERYTHROMYCIN,11,3,8,1,0,0,1,2,1,1,9,1,10
Anaphylactic reaction,FENTANYL,26,9,17,2,0,0,10,3,7,4,18,4,23
Anaphylactic reaction,FLOVENT,14,4,9,0,0,0,4,7,7,3,10,1,14
Anaphylactic reaction,FOLIC ACID,20,5,14,1,0,0,9,4,4,5,14,1,19
Anaphylactic reaction,FUROSEMIDE,32,18,14,1,0,0,10,5,6,6,12,14,30
Anaphylactic reaction,GAMUNEX,16,4,12,0,0,0,7,5,13,1,10,5,16
Anaphylactic reaction,GENTAMICIN,16,5,11,0,0,0,5,2,2,3,11,2,15
Anaphylactic reaction,GRAVOL,26,7,19,1,0,0,3,4,4,3,13,10,25
Anaphylactic reaction,HALCION,13,6,7,1,0,0,0,0,0,1,6,6,11
Anaphylactic reaction,HEPARIN SODIUM INJECTION, USP,14,7,7,2,0,0,2,4,0,0,10,4,11
Anaphylactic reaction,HIZENTRA,11,0,11,0,0,0,0,2,10,0,11,0,11
Anaphylactic reaction,HUMIRA,13,7,6,0,0,0,2,3,11,5,7,1,13
Anaphylactic reaction,HYDROCHLOROTHIAZIDE,18,3,15,1,0,0,8,6,4,0,10,8,18
Anaphylactic reaction,HYDROCORTISONE,52,21,30,2,0,0,21,14,9,14,25,13,49
Anaphylactic reaction,HYPAQUE SODIUM,11,6,5,1,0,0,0,2,0,2,8,1,11
Anaphylactic reaction,HYPAQUE-M,15,10,5,2,0,0,0,3,0,4,8,3,15
Anaphylactic reaction,IBUPROFEN,19,12,7,0,0,0,8,5,12,12,6,1,19
Anaphylactic reaction,INFUFER,11,7,2,0,0,0,6,2,5,3,5,3,11
Anaphylactic reaction,INTUBATION,11,4,7,0,0,0,7,4,0,0,8,3,10
Anaphylactic reaction,LANOXIN,22,12,10,1,0,0,0,4,0,1,3,18,21
Anaphylactic reaction,LASIX,13,5,8,1,0,0,0,3,2,0,2,11,12
Anaphylactic reaction,LEVAQUIN,13,1,10,0,0,0,6,2,2,4,8,1,10
Anaphylactic reaction,LIDOCAINE,15,8,7,0,0,0,4,3,2,1,7,7,14
Anaphylactic reaction,LIPITOR,24,9,15,4,0,0,5,9,11,1,16,7,24
Anaphylactic reaction,LORAZEPAM,24,6,18,0,0,0,11,7,4,0,17,7,23
Anaphylactic reaction,LOSEC,14,6,7,0,0,0,4,4,5,2,5,7,12
Anaphylactic reaction,LYRICA,11,1,9,0,0,0,2,1,8,3,6,2,11
Anaphylactic reaction,METFORMIN,16,6,10,0,0,0,5,4,9,0,12,4,16
Anaphylactic reaction,METHOTREXATE,25,5,20,0,0,0,4,8,13,5,20,0,24
Anaphylactic reaction,METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,37,14,23,1,0,0,18,10,7,9,22,6,37
Anaphylactic reaction,METOPROLOL,22,11,10,2,0,0,5,6,7,0,15,7,21
Anaphylactic reaction,MORPHINE,32,8,24,1,0,0,5,6,7,3,18,11,30
Anaphylactic reaction,MORPHINE SULFATE,22,8,14,1,0,0,0,2,0,1,14,7,21
Anaphylactic reaction,MULTIVITAMINE(S),18,4,14,0,0,0,6,6,11,2,14,2,18
Anaphylactic reaction,NAPROSYN,14,4,10,0,0,0,3,6,1,0,12,2,13
Anaphylactic reaction,NARCAN INJ,11,6,5,1,0,0,0,0,0,0,8,3,11
Anaphylactic reaction,NITROGLYCERIN,32,17,15,2,0,0,5,3,4,2,16,14,30
Anaphylactic reaction,NORMAL SALINE,36,19,17,0,0,0,9,10,4,3,20,13,33
Anaphylactic reaction,NORVASC,12,8,4,1,0,0,3,5,9,3,4,5,12
Anaphylactic reaction,OMNIPAQUE,12,4,7,1,0,0,0,2,4,0,10,2,11
Anaphylactic reaction,ONDANSETRON,12,4,8,0,0,0,7,5,2,6,3,3,12
Anaphylactic reaction,OXYGEN,89,33,54,2,0,0,30,18,12,15,51,23,89
Anaphylactic reaction,PANTOLOC,19,5,14,0,0,0,7,5,8,0,13,6,18
Anaphylactic reaction,PANTOPRAZOLE,12,4,8,1,0,0,4,8,4,0,9,3,12
Anaphylactic reaction,PENBRITIN,17,9,8,1,0,0,0,0,0,3,11,3,12
Anaphylactic reaction,PENICILLIN G,12,8,4,2,0,0,0,0,0,1,8,3,9
Anaphylactic reaction,PENICILLIN NOS,26,13,11,5,0,0,0,3,0,5,20,1,16
Anaphylactic reaction,POTASSIUM CHLORIDE,14,8,6,1,0,0,1,1,2,0,4,10,12
Anaphylactic reaction,PREDNISONE,133,40,93,3,0,0,39,53,38,31,88,14,129
Anaphylactic reaction,PREMARIN,16,0,16,0,0,0,3,3,6,0,14,2,13
Anaphylactic reaction,PREVACID,12,3,9,0,0,0,0,5,6,3,8,1,12
Anaphylactic reaction,PROPOFOL INJECTION,13,6,7,1,0,0,6,5,4,4,7,2,13
Anaphylactic reaction,PROTAMINE SULFATE INJECTION, USP,13,8,5,3,0,0,0,1,2,2,9,2,13
Anaphylactic reaction,RAMIPRIL,16,6,10,1,0,0,6,5,7,0,10,6,16
Anaphylactic reaction,RANITIDINE,44,17,27,3,0,0,23,13,10,11,20,13,42
Anaphylactic reaction,REMICADE,89,27,57,0,0,0,29,14,58,19,68,2,89
Anaphylactic reaction,RITUXAN,11,4,7,0,0,0,5,1,4,1,9,1,11
Anaphylactic reaction,SALBUTAMOL,31,10,21,0,0,0,15,8,6,6,21,4,30
Anaphylactic reaction,SINGULAIR,19,5,14,0,0,0,5,7,15,6,12,1,19
Anaphylactic reaction,SOLU-CORTEF,121,49,69,4,0,0,24,35,17,18,81,22,114
Anaphylactic reaction,SOLU-MEDROL,72,32,40,2,0,0,24,27,8,7,50,15,65
Anaphylactic reaction,STEMETIL,17,8,9,0,0,0,1,4,1,3,9,5,17
Anaphylactic reaction,STEROID(S),29,8,20,1,0,0,12,1,6,3,18,8,26
Anaphylactic reaction,SYNTHROID,17,2,15,0,0,0,4,6,7,3,8,6,17
Anaphylactic reaction,TAXOTERE,11,0,10,0,0,0,3,3,6,2,9,0,9
Anaphylactic reaction,TUBERSOL,15,3,12,0,0,0,4,1,10,4,7,4,15
Anaphylactic reaction,TYLENOL,32,10,22,2,0,0,9,7,10,2,22,8,31
Anaphylactic reaction,TYLENOL WITH CODEINE NO. 3 - TAB,16,6,10,2,0,0,1,3,2,3,11,2,15
Anaphylactic reaction,VASOTEC,12,6,6,2,0,0,5,4,4,1,4,7,12
Anaphylactic reaction,VENTOLIN,105,38,64,5,0,0,26,33,22,25,61,19,97
Anaphylactic reaction,VITAMIN B12,18,4,13,0,0,0,6,5,4,0,12,6,17
Anaphylactic reaction,VITAMIN D,15,2,13,0,0,0,5,7,10,4,9,2,15
Anaphylactic reaction,XOLAIR,39,1,36,0,0,0,1,25,38,8,30,1,39
Anaphylactic reaction,XYLOCAINE HCL,11,9,2,0,0,0,1,2,0,2,6,3,10
Anaphylactic reaction,ZANTAC,34,19,15,2,0,0,12,5,8,5,18,11,33
Anaphylactic reaction,ZYBAN,20,11,9,1,0,0,6,3,10,1,19,0,20
Anaphylactic shock,ADRENALIN CHLORIDE SOL 1:1000,55,17,36,6,0,0,16,21,6,10,39,6,54
Anaphylactic shock,AVELOX,19,3,13,0,3,0,12,5,14,8,6,5,19
Anaphylactic shock,BENADRYL,69,28,40,2,1,0,28,22,11,13,46,10,68
Anaphylactic shock,CELEBREX,11,4,6,0,1,0,4,1,8,4,5,2,11
Anaphylactic shock,DIPHENHYDRAMINE,20,9,11,1,1,0,11,10,0,7,9,4,20
Anaphylactic shock,EPINEPHRINE,52,18,34,2,0,0,23,20,7,11,27,14,51
Anaphylactic shock,EPIPEN,11,5,6,2,0,0,6,2,1,3,8,0,11
Anaphylactic shock,HYDROCORTISONE,11,7,4,1,0,0,5,4,2,5,6,0,11
Anaphylactic shock,METHOTREXATE,11,7,4,0,0,0,5,7,3,4,7,0,11
