reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Abdominal abscess,HUMIRA,57,25,32,0,2,0,2,51,47,9,46,2,57
Abdominal abscess,REMICADE,58,26,31,4,0,0,0,40,24,8,47,3,58
Abscess,ANTIINFECTIVES FOR SYSTEMIC USE,66,20,46,3,3,0,3,42,13,7,53,6,63
Abscess,HUMIRA,157,54,103,2,0,0,0,109,96,47,99,11,153
Abscess,METHOTREXATE,71,21,50,1,2,0,5,46,29,4,60,7,71
Abscess,PREDNISONE,95,35,59,6,1,0,4,55,36,9,70,16,93
Abscess,REMICADE,557,242,307,4,9,0,11,235,350,64,466,27,555
Abscess intestinal,HUMIRA,57,23,34,0,0,0,0,46,42,16,37,4,56
Abscess intestinal,REMICADE,57,29,27,1,0,0,1,34,32,8,44,5,57
Anal abscess,HUMIRA,83,42,41,2,1,0,1,60,52,21,61,1,83
Anal abscess,REMICADE,186,102,83,1,0,0,1,70,129,10,172,4,186
Arthritis infective,ACTEMRA,52,6,46,0,0,0,0,12,9,1,19,32,48
Bacterial infection,ANTIINFECTIVES FOR SYSTEMIC USE,62,20,39,6,1,0,3,35,11,19,27,16,60
Bacterial infection,PREDNISONE,56,20,36,6,1,0,5,35,13,1,39,16,54
Bacterial infection,REMICADE,65,26,38,3,0,0,2,42,25,7,42,16,65
Bronchitis,ACETAMINOPHEN,56,10,46,0,0,0,0,11,16,2,39,15,45
Bronchitis,ACLASTA,59,0,58,1,0,0,0,15,50,27,10,22,58
Bronchitis,ACTEMRA,156,24,132,0,0,0,0,24,80,0,94,62,139
Bronchitis,CALCIUM,60,11,48,2,3,0,1,28,36,4,36,20,57
Bronchitis,FOLIC ACID,90,18,72,3,0,0,0,33,45,0,65,25,81
Bronchitis,HUMIRA,62,18,44,0,0,0,0,34,30,7,43,12,47
Bronchitis,METHOTREXATE,134,21,113,2,0,0,3,45,67,2,91,41,118
Bronchitis,ORENCIA,97,16,81,3,0,0,1,45,58,0,54,43,88
Bronchitis,PREDNISONE,148,37,111,5,2,0,2,52,67,8,93,47,130
Bronchitis,REMICADE,176,43,132,5,0,0,2,60,125,10,123,43,168
Bronchitis,VENTOLIN,83,16,67,3,3,0,2,44,43,9,51,23,80
Bronchitis,XOLAIR,406,93,312,1,3,0,4,182,336,45,298,63,374
