reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Accident,ACLASTA,31,2,29,4,0,0,0,5,28,12,13,6,31
Accidental overdose,ACETAMINOPHEN,41,7,34,24,0,0,0,27,5,10,27,4,41
Accidental overdose,AMOBARBITAL TAB 50MG,37,18,19,37,0,0,0,0,0,2,35,0,37
Accidental overdose,BARBITURATES,36,18,18,36,0,0,0,0,0,1,34,1,36
Accidental overdose,ETHANOL,203,112,89,200,0,0,1,2,4,13,183,7,203
Accidental overdose,OXYCONTIN,42,38,2,11,0,0,1,30,32,8,34,0,42
Accidental overdose,SALICYLATE,40,22,18,40,0,0,0,0,0,3,33,4,40
Accidental overdose,SECOBARBITAL,68,36,31,68,0,0,0,0,0,3,61,4,68
Accidental overdose,TUINAL,46,20,26,46,0,0,0,0,0,1,41,4,46
Alcohol poisoning,ETHANOL,41,30,11,24,0,0,0,1,20,7,30,4,41
Ankle fracture,ACLASTA,68,0,66,4,0,0,0,8,59,18,32,18,68
Ankle fracture,REMICADE,36,11,25,0,2,0,0,19,17,3,29,4,36
Atypical femur fracture,FOSAMAX,35,0,35,0,7,0,0,10,28,23,1,11,32
Contusion,ACETAMINOPHEN,39,12,27,1,2,0,2,9,11,7,16,16,29
Contusion,ACLASTA,54,0,54,10,0,0,2,13,47,14,12,28,54
Contusion,ACTEMRA,106,4,102,0,0,0,0,7,34,1,83,22,64
Contusion,ASA,37,22,15,2,3,0,1,10,18,0,14,23,28
Contusion,BETASERON,44,5,39,0,1,0,3,12,37,1,43,0,42
Contusion,CALCIUM,55,9,46,2,3,0,2,20,25,0,24,31,47
Contusion,CELEBREX,31,2,29,2,1,0,3,4,16,1,19,11,25
Contusion,CLONAZEPAM,33,7,26,0,3,0,4,9,15,1,26,6,25
Contusion,COUMADIN,47,21,24,6,2,0,4,22,15,3,21,23,42
Contusion,DIPHTHERIA AND TETANUS TOXOIDS WITH PERTUSSIS VACCINE ADSORBED,96,43,50,0,0,0,0,7,0,96,0,0,23
Contusion,FOLIC ACID,64,11,53,3,2,0,1,25,22,4,40,20,53
Contusion,FUROSEMIDE,37,11,25,4,2,0,2,15,16,1,12,24,31
Contusion,HUMIRA,41,5,36,0,4,0,0,20,22,5,25,11,35
Contusion,HYDROCHLOROTHIAZIDE,34,5,29,3,0,0,2,10,14,4,14,16,25
Contusion,LIPITOR,47,26,21,3,0,0,2,26,17,1,13,33,39
Contusion,METHOTREXATE,63,7,56,0,3,0,1,18,25,2,39,22,51
Contusion,METOPROLOL,48,22,26,4,4,0,5,26,20,1,16,31,43
Contusion,PLAVIX,43,18,25,1,2,0,6,14,19,2,12,29,37
Contusion,PREDNISONE,169,46,123,6,5,0,8,60,63,17,96,56,132
Contusion,RAMIPRIL,35,7,28,0,1,0,1,15,17,1,19,15,30
Contusion,REMICADE,107,44,62,0,1,0,0,20,90,1,88,18,104
Contusion,SABIN,50,23,27,0,0,0,0,4,0,50,0,0,13
Contusion,SANDOSTATIN LAR,36,18,18,14,0,0,0,18,35,3,8,25,36
