reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Alanine aminotransferase increased,ACETAMINOPHEN,204,87,111,19,0,0,26,101,82,49,117,38,200
Alanine aminotransferase increased,LIPITOR,194,102,87,5,11,0,16,77,90,14,90,90,181
Alanine aminotransferase increased,LORAZEPAM,109,54,53,11,5,0,11,43,43,14,59,36,104
Alanine aminotransferase increased,PREDNISONE,226,89,134,25,4,0,13,115,71,37,133,56,219
Alanine aminotransferase increased,RANITIDINE,101,46,53,10,2,0,6,42,42,25,56,20,98
Alanine aminotransferase increased,ZYPREXA,250,159,87,8,3,0,7,79,178,8,223,19,244
Anti-erythrocyte antibody positive,PRIVIGEN,124,60,64,5,0,0,14,38,104,16,65,43,122
Antipsychotic drug level increased,CLOZARIL,121,85,36,23,3,0,5,42,83,34,83,4,120
Aspartate aminotransferase increased,ACETAMINOPHEN,212,91,114,21,2,0,25,103,85,50,118,44,208
Aspartate aminotransferase increased,FUROSEMIDE,105,39,65,24,1,0,11,51,23,12,40,53,99
Aspartate aminotransferase increased,LIPITOR,186,95,87,7,10,0,18,75,82,14,83,89,173
Aspartate aminotransferase increased,LORAZEPAM,122,59,61,12,5,0,13,49,48,13,71,38,117
Aspartate aminotransferase increased,PREDNISONE,231,87,139,28,5,0,14,119,66,37,136,58,222
Aspartate aminotransferase increased,ZYPREXA,209,129,77,11,3,0,10,79,147,5,189,15,206
Blood alkaline phosphatase increased,LIPITOR,101,42,59,4,6,0,9,37,48,3,36,62,94
Blood alkaline phosphatase increased,PREDNISONE,124,39,84,16,4,0,6,63,43,14,82,28,122
Blood bilirubin increased,PREDNISONE,143,69,74,24,3,0,13,72,49,15,89,39,143
Blood cholesterol increased,ZYPREXA,309,229,73,20,0,0,3,94,237,17,286,6,308
Blood creatine phosphokinase increased,ASA,116,67,48,5,10,0,18,65,39,9,56,51,108
Blood creatine phosphokinase increased,CLOZARIL,142,111,31,2,1,0,40,67,59,22,113,7,140
Blood creatine phosphokinase increased,CRESTOR,149,83,61,3,18,0,16,53,70,19,84,46,142
Blood creatine phosphokinase increased,LIPITOR,275,165,89,20,20,0,23,115,105,54,125,96,254
Blood creatine phosphokinase increased,NITROGLYCERIN,103,71,32,11,10,0,18,57,17,6,55,42,99
Blood creatine phosphokinase increased,PLAVIX,103,59,43,11,10,0,11,60,25,6,44,53,100
Blood creatinine increased,ACETAMINOPHEN,167,91,74,22,5,0,18,80,48,15,83,69,158
Blood creatinine increased,ALLOPURINOL,154,98,54,21,6,0,13,75,39,4,51,99,147
Blood creatinine increased,ASA,170,111,54,11,8,0,23,102,58,9,55,106,164
Blood creatinine increased,ATENOLOL TABLETS, BP,115,62,51,15,1,0,17,56,28,5,51,59,109
Blood creatinine increased,CRESTOR,102,49,50,10,2,0,19,58,40,5,38,59,102
Blood creatinine increased,CYCLOSPORINE,110,65,41,14,3,0,8,48,23,16,76,18,98
Blood creatinine increased,DIGOXIN,245,133,107,28,3,0,11,145,33,4,51,190,224
Blood creatinine increased,EXJADE,101,69,31,15,0,0,1,41,93,20,34,47,101
Blood creatinine increased,FUROSEMIDE,351,191,156,64,4,0,29,169,76,14,134,203,321
Blood creatinine increased,HYDROCHLOROTHIAZIDE,143,66,76,12,4,0,13,69,45,6,52,85,136
Blood creatinine increased,INSULIN,115,67,47,11,1,0,13,68,24,3,50,62,114
Blood creatinine increased,LASIX,271,148,120,33,6,0,35,127,55,14,74,183,252
Blood creatinine increased,LIPITOR,232,143,87,24,8,0,29,137,76,9,97,126,229
Blood creatinine increased,LORAZEPAM,125,80,44,17,3,0,14,66,37,7,64,54,117
Blood creatinine increased,METFORMIN,170,103,67,21,7,0,20,99,54,6,68,96,167
Blood creatinine increased,METOPROLOL,190,116,73,23,12,0,25,107,51,9,62,119,180
Blood creatinine increased,MORPHINE,110,70,40,26,3,0,15,46,18,7,59,44,101
Blood creatinine increased,NITROGLYCERIN,114,61,51,18,4,0,20,56,27,6,29,79,106
Blood creatinine increased,NORVASC,120,61,57,2,0,0,12,71,39,5,45,70,113
Blood creatinine increased,PANTOLOC,101,54,46,10,2,0,21,61,20,2,47,52,99
Blood creatinine increased,PREDNISONE,426,224,191,49,9,0,30,229,88,47,239,140,403
Blood creatinine increased,RAMIPRIL,133,76,57,10,2,0,20,73,44,6,44,83,128
Blood creatinine increased,RANITIDINE,151,85,63,18,4,0,18,65,42,16,81,54,132
Blood creatinine increased,TYLENOL,104,50,49,17,3,0,8,46,37,11,36,57,100
