reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Decreased appetite,ACETAMINOPHEN,106,41,63,14,4,0,8,39,30,21,42,43,88
Decreased appetite,ACETYLSALICYLIC ACID,79,35,43,4,1,0,1,25,18,16,32,31,57
Decreased appetite,ACETYLSALICYLIC ACID ENT CTD,32,12,20,2,0,0,4,13,1,1,7,24,22
Decreased appetite,ACLASTA,36,0,35,7,2,0,4,9,23,14,6,16,32
Decreased appetite,ACTEMRA,33,0,33,0,0,0,0,2,31,0,27,6,33
Decreased appetite,ACTONEL,44,11,33,4,2,0,6,20,16,2,15,27,35
Decreased appetite,ADVAIR,44,15,28,4,1,0,3,28,13,3,13,28,37
Decreased appetite,ALLOPURINOL,46,31,15,8,2,0,6,20,10,0,11,35,39
Decreased appetite,ALTACE,67,35,30,9,5,0,7,20,22,3,29,35,56
Decreased appetite,AMITRIPTYLINE,42,13,29,0,1,0,2,21,16,5,29,8,37
Decreased appetite,AMLODIPINE,38,13,25,2,1,0,1,19,21,4,12,22,34
Decreased appetite,ANTIINFECTIVES FOR SYSTEMIC USE,60,25,34,11,1,0,1,35,8,12,26,22,56
Decreased appetite,ANTINEOPLASTIC(S),36,18,18,7,2,0,0,20,25,5,19,12,36
Decreased appetite,ARICEPT,58,24,34,2,13,0,0,22,25,1,1,56,48
Decreased appetite,ASA,97,49,48,10,6,0,14,37,33,8,34,55,77
Decreased appetite,ASPIRIN,85,38,47,6,14,0,4,42,29,14,23,48,70
Decreased appetite,ATENOLOL TABLETS, BP,76,24,52,6,2,0,6,27,33,3,31,42,64
Decreased appetite,ATIVAN,113,32,81,14,14,0,9,41,35,10,65,38,94
Decreased appetite,AVAPRO,35,12,23,4,3,0,3,17,6,2,9,24,27
Decreased appetite,AVASTIN,59,18,41,3,1,0,1,10,20,0,41,18,34
Decreased appetite,BENADRYL,39,14,25,1,0,0,0,15,7,7,20,12,29
Decreased appetite,BETASERON,43,5,37,2,3,0,0,20,14,1,41,1,37
Decreased appetite,BISOPROLOL,35,16,19,2,2,0,4,19,13,1,15,19,31
Decreased appetite,CALCIUM,148,32,116,18,7,0,14,70,58,11,60,77,127
Decreased appetite,CELEBREX,70,18,51,9,8,0,3,34,22,4,35,31,60
Decreased appetite,CELEXA,47,17,29,11,1,0,1,21,15,5,24,18,40
Decreased appetite,CHAMPIX,93,41,52,2,15,0,16,6,53,8,70,15,80
Decreased appetite,CIPRALEX,37,4,32,4,1,0,3,9,24,16,18,3,32
Decreased appetite,CIPRO,35,13,21,4,0,0,2,17,11,0,24,11,28
Decreased appetite,CITALOPRAM,34,18,16,3,1,0,1,17,12,3,16,15,29
Decreased appetite,CLONAZEPAM,85,27,58,7,7,0,9,30,32,8,55,22,68
Decreased appetite,CLOZARIL,43,27,16,12,2,0,2,10,19,4,33,6,42
Decreased appetite,COLACE,54,20,33,10,3,0,6,27,16,7,26,21,47
Decreased appetite,CONCERTA,32,25,5,0,5,0,6,12,16,30,2,0,22
Decreased appetite,COUMADIN,65,24,41,15,5,0,3,29,25,8,13,44,57
Decreased appetite,CRESTOR,91,39,52,12,6,0,7,35,39,6,37,48,81
