reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Ankylosing spondylitis,REMICADE,57,25,30,0,0,0,0,9,44,11,41,5,53
Arthralgia,ACETAMINOPHEN,362,93,265,2,22,0,6,54,162,34,209,119,298
Arthralgia,ACETYLSALICYLIC ACID,118,40,78,2,3,0,1,29,38,13,61,44,80
Arthralgia,ACLASTA,448,21,426,9,54,0,7,60,355,106,127,215,420
Arthralgia,ACTEMRA,844,228,616,2,0,0,12,43,438,30,583,231,633
Arthralgia,ACTONEL,258,27,226,4,41,0,7,32,106,24,107,127,172
Arthralgia,ADVAIR,51,9,41,0,5,0,1,11,34,3,33,15,41
Arthralgia,ADVIL,72,13,59,0,15,0,5,12,39,12,51,9,57
Arthralgia,ALENDRONATE,53,6,47,1,3,0,1,21,21,3,23,27,38
Arthralgia,ALLOPURINOL,55,30,25,4,9,0,1,12,23,12,20,23,47
Arthralgia,ALTACE,69,20,49,2,10,0,2,17,30,4,30,35,53
Arthralgia,AMITRIPTYLINE,79,11,67,0,8,0,2,23,38,4,51,24,62
Arthralgia,AMLODIPINE,55,19,36,1,8,0,1,18,29,9,19,27,48
Arthralgia,ANTIINFECTIVES FOR SYSTEMIC USE,57,20,37,2,2,0,5,29,21,8,31,18,55
Arthralgia,ARAVA,58,10,48,1,1,0,0,6,30,4,40,14,50
Arthralgia,ARIMIDEX TAB 1MG,92,0,92,0,30,0,1,8,41,13,48,31,72
Arthralgia,ARTHROTEC,72,22,50,0,5,0,0,22,39,6,46,20,62
Arthralgia,ASA,128,51,76,6,12,0,3,29,48,10,52,66,83
Arthralgia,ASPIRIN,97,39,58,1,9,0,7,26,49,6,44,47,78
Arthralgia,ATACAND,56,15,41,1,9,0,0,11,31,3,32,21,46
Arthralgia,ATARAX,58,12,44,0,1,0,0,24,7,18,37,3,36
Arthralgia,ATENOLOL TABLETS, BP,66,22,44,0,6,0,2,21,27,2,31,33,48
Arthralgia,ATIVAN,98,24,73,3,14,0,3,27,44,6,61,31,82
Arthralgia,AVAPRO,53,7,46,0,4,0,2,10,23,5,26,22,39
Arthralgia,AVASTIN,74,7,67,1,0,0,1,23,44,0,38,36,49
