reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Acute lymphocytic leukaemia recurrent,THYMOGLOBULIN,12,0,0,12,0,0,0,0,0,12,0,0,12
Acute myeloid leukaemia,EXJADE,12,4,8,8,0,0,2,4,5,0,0,12,12
Acute myeloid leukaemia,REVLIMID,15,3,7,4,0,0,2,2,10,2,4,9,15
Adenocarcinoma,LIPITOR,12,10,2,1,0,0,1,7,3,0,8,4,11
Adenocarcinoma,METHOTREXATE,12,3,8,5,0,0,3,3,5,1,7,4,12
Adenocarcinoma,REMICADE,25,7,18,3,0,0,7,4,14,0,14,11,25
Basal cell carcinoma,ACETAMINOPHEN,13,5,8,0,0,0,0,0,9,0,5,8,11
Basal cell carcinoma,CALCIUM,16,4,12,0,0,0,0,3,12,0,7,9,15
Basal cell carcinoma,ENBREL,28,25,3,0,0,0,0,0,21,19,4,5,26
Basal cell carcinoma,FOLIC ACID,19,11,8,0,0,0,0,1,16,1,8,10,17
Basal cell carcinoma,HUMIRA,38,21,15,0,0,0,0,3,37,10,25,3,37
Basal cell carcinoma,HYDROXYCHLOROQUINE,21,18,2,0,0,0,0,0,20,16,4,1,21
Basal cell carcinoma,IMURAN,11,2,8,0,0,0,0,2,9,0,9,2,11
Basal cell carcinoma,LIPITOR,15,8,7,0,1,0,1,2,10,0,5,10,14
Basal cell carcinoma,METHOTREXATE,54,33,19,0,0,0,0,0,48,21,19,14,51
Basal cell carcinoma,MYCOPHENOLATE MOFETIL,15,15,0,0,0,0,0,0,12,14,1,0,15
Basal cell carcinoma,ORENCIA,34,13,21,0,0,0,0,3,31,0,12,22,34
Basal cell carcinoma,PREDNISONE,41,16,25,0,0,0,1,5,34,2,22,17,40
Basal cell carcinoma,REMICADE,63,27,34,0,0,0,0,4,59,5,50,8,63
Basal cell carcinoma,VITAMIN D,14,4,10,0,0,0,0,2,11,0,8,6,13
Benign ovarian tumour,RAPAMUNE,26,0,26,0,0,0,0,0,26,26,0,0,26
Benign ovarian tumour,TACROLIMUS,27,0,27,0,0,0,0,0,27,27,0,0,27
Bladder cancer,ACLASTA,11,2,9,0,0,0,0,2,11,4,0,7,11
Bladder cancer,ACTOS,17,11,4,3,0,0,0,3,13,12,0,5,17
Bladder cancer,HUMIRA,16,12,3,0,0,0,1,6,16,4,5,7,16
Bowen's disease,PREDNISONE,12,0,12,0,0,0,0,2,6,0,11,1,12
Brain neoplasm,AVASTIN,41,8,33,1,0,0,0,16,22,1,9,31,25
Brain neoplasm,REMICADE,11,4,6,2,0,0,0,6,5,3,8,0,11
Breast cancer,ACETAMINOPHEN,17,0,17,1,0,0,0,4,7,1,11,5,16
Breast cancer,ACLASTA,103,0,103,1,1,0,9,10,102,40,20,43,103
Breast cancer,ACTEMRA,17,0,17,0,0,0,0,0,16,3,11,3,17
Breast cancer,ACTONEL,14,0,14,0,0,0,0,2,12,1,7,6,14
Breast cancer,AFINITOR,18,0,18,4,0,0,0,2,12,12,4,2,17
Breast cancer,ANASTROZOLE,13,0,13,0,0,0,0,0,6,10,2,1,13
Breast cancer,ANTINEOPLASTIC(S),12,0,12,3,0,0,0,2,9,1,6,5,11
Breast cancer,ARIMIDEX TAB 1MG,36,0,36,0,0,0,0,2,34,18,10,8,36
Breast cancer,AROMASIN,42,0,42,0,0,0,0,1,35,37,2,3,42
Breast cancer,ASPIRIN,11,0,11,0,0,0,1,2,9,0,6,5,11
Breast cancer,ATIVAN,16,0,16,1,0,0,1,3,12,0,9,7,16
Breast cancer,BETASERON,30,0,30,0,1,0,3,13,16,2,26,2,30
Breast cancer,CALCIUM,34,0,34,1,0,0,3,3,30,2,15,17,34
Breast cancer,CELEBREX,27,0,27,0,0,0,1,3,22,5,15,7,24
Breast cancer,CHEMOTHERAPY,17,0,17,2,0,0,5,3,8,3,13,1,17
Breast cancer,CLONAZEPAM,12,0,12,1,1,0,1,4,9,0,9,3,12
Breast cancer,CLOZARIL,54,0,53,12,1,0,14,8,34,11,40,3,53
Breast cancer,CRESTOR,14,0,14,1,0,0,0,2,12,0,8,6,14
Breast cancer,CYCLOPHOSPHAMIDE,24,0,24,1,0,0,2,1,19,15,8,1,23
Breast cancer,DENOSUMAB,12,0,11,0,0,0,0,0,5,7,1,4,12
Breast cancer,DOCETAXEL,25,0,25,0,0,0,0,0,22,25,0,0,25
Breast cancer,DOXORUBICIN HYDROCHLORIDE INJECTION,11,0,11,0,0,0,0,0,11,10,1,0,11
Breast cancer,EFFEXOR XR,11,0,11,2,1,0,0,2,11,0,9,2,11
Breast cancer,ENBREL,44,0,40,1,0,0,1,4,23,8,24,12,36
Breast cancer,ERGOCALCIFEROL,13,0,13,0,0,0,0,1,13,0,7,6,13
Breast cancer,EVISTA (60MG),11,0,11,3,0,0,0,1,9,4,2,5,11
Breast cancer,EXEMESTANE,36,0,36,2,0,0,0,0,29,31,3,2,35
Breast cancer,FASLODEX,37,0,37,3,0,0,0,0,30,31,0,6,37
Breast cancer,FEMARA 2.5MG,157,0,157,0,1,0,1,1,154,138,9,10,154
Breast cancer,FOLIC ACID,34,0,34,3,0,0,2,8,25,2,25,7,34
Breast cancer,FORTEO,27,0,27,1,0,0,0,3,24,0,3,24,27
Breast cancer,GABAPENTIN,11,0,11,2,0,0,0,3,8,2,6,3,11
Breast cancer,HUMIRA,62,0,62,2,0,0,0,12,56,26,26,10,61
Breast cancer,HYDROCHLOROTHIAZIDE,13,0,13,0,0,0,1,2,9,2,7,4,13
Breast cancer,LETROZOLE,186,0,186,1,0,0,0,0,147,151,18,17,184
Breast cancer,LIPITOR,28,0,28,2,0,0,2,9,15,2,16,10,25
Breast cancer,LORAZEPAM,11,0,11,2,0,0,1,4,7,1,8,2,11
