reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Ataxia,DILANTIN,103,43,59,1,0,0,2,36,1,15,65,23,77
Balance disorder,BETASERON,139,47,92,4,12,0,4,42,93,3,130,6,132
Burning sensation,BENADRYL,117,22,94,0,1,0,10,17,39,13,82,22,67
Cerebrovascular accident,ACLASTA,141,15,126,24,18,0,4,64,70,42,11,88,140
Cerebrovascular accident,ASA,111,50,57,13,15,0,17,58,38,12,37,62,111
Cerebrovascular accident,LIPITOR,157,86,69,19,24,0,18,74,43,19,59,79,136
Cerebrovascular accident,PLAVIX,130,59,65,22,11,0,11,66,53,16,33,81,129
Cerebrovascular accident,PRADAX,121,65,39,14,6,0,2,46,69,57,10,54,121
Cerebrovascular accident,REMICADE,164,85,76,20,13,0,9,120,56,6,96,62,164
Cerebrovascular accident,VIOXX,161,75,76,19,21,0,8,48,69,74,45,42,161
Cerebrovascular accident,ZYPREXA,169,105,59,20,1,0,6,59,123,1,140,28,169
Convulsion,ATIVAN,155,61,92,15,7,0,17,55,58,22,107,26,147
Convulsion,CARBAMAZEPINE,172,82,84,7,8,1,5,45,90,68,90,14,150
Convulsion,CLONAZEPAM,133,60,72,7,3,0,8,39,84,31,87,15,127
Convulsion,CLOZARIL,290,160,117,23,4,1,21,95,185,59,216,15,289
Convulsion,DIAZEPAM,108,45,59,8,0,0,10,53,15,23,63,22,100
Convulsion,DILANTIN,428,196,223,28,6,0,18,146,178,84,249,95,387
Convulsion,DIPHTHERIA AND TETANUS TOXOIDS WITH PERTUSSIS VACCINE ADSORBED,224,112,108,1,0,0,0,98,3,218,6,0,199
Convulsion,EPIVAL,118,60,56,6,5,0,6,40,66,41,74,3,112
Convulsion,LORAZEPAM,134,58,75,12,3,0,15,50,55,21,82,31,121
Convulsion,PHENOBARBITAL,143,61,77,8,2,1,6,51,39,78,47,18,127
Convulsion,PHENYTOIN,218,99,115,13,3,0,19,88,73,30,107,81,207
Convulsion,PREDNISONE,132,50,81,6,6,0,9,50,46,33,60,39,124
Convulsion,REMICADE,130,50,77,7,2,1,0,54,92,18,104,8,130
