reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Abortion,ACCUTANE ROCHE,6,0,6,0,0,3,0,0,2,4,2,0,5
Abortion,COPPER-7,9,0,9,0,0,0,0,4,0,0,9,0,6
Abortion,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML,14,0,13,0,0,1,0,0,6,7,7,0,7
Abortion,FEMARA 2.5MG,6,0,5,1,0,2,0,0,4,3,3,0,6
Abortion,FOLIC ACID,11,0,11,0,0,4,0,2,6,5,6,0,11
Abortion,MIRENA,18,0,18,0,0,0,0,1,17,5,13,0,18
Abortion,REMICADE,21,0,21,0,0,2,0,5,19,3,18,0,21
Abortion spontaneous,ACTEMRA,14,0,14,0,0,0,0,0,8,3,11,0,8
Abortion spontaneous,ASPIRIN,8,0,8,0,0,0,0,0,7,0,8,0,7
Abortion spontaneous,AZATHIOPRINE,7,0,7,0,0,0,0,1,6,1,6,0,7
Abortion spontaneous,BENADRYL,9,0,9,0,0,0,0,3,8,1,8,0,9
Abortion spontaneous,BENLYSTA FOR I.V. INFUSION ONLY. 80MG/ML (RECONST.),7,0,7,0,0,0,0,0,7,0,7,0,7
Abortion spontaneous,BETASERON,24,0,24,0,0,0,0,3,23,1,23,0,24
Abortion spontaneous,CALCIUM,8,0,8,0,0,0,0,3,7,0,8,0,8
Abortion spontaneous,CIMZIA,7,0,7,0,0,0,0,2,5,0,7,0,7
Abortion spontaneous,CONTRACEPTIVES,7,0,7,0,0,0,0,1,6,2,5,0,7
Abortion spontaneous,CYMBALTA,7,0,7,0,0,0,0,0,7,0,7,0,7
Abortion spontaneous,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML,19,0,17,0,0,0,1,1,14,8,11,0,16
Abortion spontaneous,EFFEXOR XR,8,0,8,0,0,0,1,3,7,0,8,0,8
Abortion spontaneous,ENBREL,8,0,8,0,0,0,0,0,5,0,8,0,7
Abortion spontaneous,FINASTERIDE,13,0,13,0,0,0,0,0,13,1,12,0,13
Abortion spontaneous,FOLIC ACID,23,0,23,0,0,0,0,6,17,2,21,0,22
Abortion spontaneous,HUMIRA,55,0,55,0,0,0,0,4,54,19,36,0,55
Abortion spontaneous,IMURAN,19,0,19,0,0,0,0,6,17,1,18,0,19
Abortion spontaneous,INNOHEP,6,0,6,0,0,3,0,0,6,0,6,0,6
Abortion spontaneous,LIPITOR,38,0,38,0,0,0,0,0,38,38,0,0,38
Abortion spontaneous,MATERNA,10,0,10,1,0,0,0,2,7,2,8,0,10
Abortion spontaneous,METHOTREXATE,23,0,23,0,0,0,0,4,20,4,19,0,23
Abortion spontaneous,MIRENA,30,0,30,0,0,0,0,2,28,11,19,0,30
Abortion spontaneous,MULTIVITAMINE(S),17,0,17,0,0,0,0,1,14,0,17,0,15
Abortion spontaneous,NAPROSYN E,6,0,6,0,0,0,0,0,6,0,6,0,6
Abortion spontaneous,NAPROXEN,6,0,6,0,0,0,0,0,5,2,4,0,5
Abortion spontaneous,ORENCIA,6,0,6,0,0,0,0,0,6,0,6,0,6
Abortion spontaneous,PAXIL,11,0,11,0,0,0,1,4,8,3,8,0,11
Abortion spontaneous,PEGASYS RBV,6,0,6,0,0,0,0,0,6,4,2,0,6
Abortion spontaneous,PLAN B,8,0,8,0,0,0,0,1,7,0,8,0,8
Abortion spontaneous,PREDNISONE,24,0,24,0,0,0,0,4,18,6,18,0,22
Abortion spontaneous,PREGVIT,8,0,8,0,0,0,0,0,7,2,6,0,7
Abortion spontaneous,PREGVIT FOLIC 5,6,0,6,0,0,0,0,0,4,2,4,0,4
Abortion spontaneous,PRENATAL MULTIPLE VITAMIN,6,0,6,0,0,0,0,1,6,0,6,0,6
Abortion spontaneous,PROMETRIUM  - CAP 100MG,7,0,7,0,0,0,0,0,7,1,6,0,7
Abortion spontaneous,REBIF,27,0,27,0,0,0,0,8,27,6,21,0,27
Abortion spontaneous,REMICADE,190,0,190,0,0,0,0,30,171,26,164,0,189
Abortion spontaneous,SUBUTEX,7,0,7,0,0,0,0,0,7,1,6,0,7
Abortion spontaneous,SYNTHROID,7,0,7,0,0,0,0,0,3,1,6,0,3
Abortion spontaneous,TYLENOL,8,0,8,0,0,0,0,1,8,4,4,0,8
Abortion spontaneous,TYSABRI,9,0,9,0,0,0,0,1,8,0,9,0,9
Abortion spontaneous,VENTOLIN,10,0,10,0,0,0,0,0,10,1,9,0,10
Abortion spontaneous,VITAMIN D,7,0,7,0,0,0,0,2,6,0,7,0,7
Abortion spontaneous,XYREM,8,0,8,0,0,0,0,0,8,0,8,0,8
Abortion spontaneous,ZOPICLONE,6,0,6,0,0,0,0,0,6,0,6,0,6
Breech presentation,REMICADE,7,0,7,0,0,1,0,1,6,5,2,0,7
Ectopic pregnancy,COPPER-7,7,0,7,0,0,0,0,3,0,0,7,0,7
Ectopic pregnancy,MIRENA,18,0,18,0,0,0,0,7,13,8,10,0,18
Ectopic pregnancy,REMICADE,11,0,11,0,0,0,0,4,8,1,10,0,11
Ectopic pregnancy with intrauterine device,MIRENA,25,0,25,0,0,0,1,4,24,12,13,0,25
Foetal death,DICLECTIN,6,0,5,1,0,2,0,0,2,3,3,0,5
Foetal death,FOLIC ACID,7,0,5,3,0,3,0,1,3,4,3,0,6
Foetal death,INNOHEP,6,0,6,0,0,6,0,0,3,0,6,0,6
Foetal death,REMICADE,43,0,43,1,0,0,0,4,42,4,39,0,43
Foetal distress syndrome,CERVIDIL,6,0,2,0,0,0,0,3,3,4,2,0,6
Foetal distress syndrome,REMICADE,8,0,8,0,0,0,0,0,8,0,8,0,8
Foetal growth restriction,DIPHENHYDRAMINE,8,0,0,0,0,4,0,0,7,8,0,0,8
Foetal growth restriction,HYDROXYZINE,8,0,0,0,0,4,0,0,7,8,0,0,8
Foetal growth restriction,METOCLOPRAMIDE,8,0,0,0,0,4,0,0,7,8,0,0,8
Foetal growth restriction,ONDANSETRON,11,0,0,0,0,4,0,0,10,11,0,0,11
Foetal growth restriction,OXAZEPAM,6,0,0,0,0,3,0,1,5,6,0,0,6
Foetal growth restriction,PANTOPRAZOLE,8,0,0,0,0,4,0,0,7,8,0,0,8
Foetal growth restriction,REMICADE,7,1,5,0,0,0,1,6,5,3,4,0,7
Gestational diabetes,REMICADE,11,0,11,0,0,0,0,5,7,1,10,0,11
Gestational diabetes,XOLAIR,7,0,7,0,0,0,0,2,5,4,3,0,7
Jaundice neonatal,ASTEMIZOLE TAB 10MG,6,3,3,0,0,0,0,0,0,6,0,0,0
Low birth weight baby,REMICADE,8,2,6,0,0,0,0,1,7,8,0,0,8
Normal newborn,BACLOFEN,7,0,7,0,0,0,0,0,6,6,1,0,6
Normal newborn,REBIF,7,0,7,0,0,0,0,0,3,4,3,0,3
Postpartum haemorrhage,OXYTOCIN INJECTION, USP,10,0,10,0,1,0,1,1,9,0,10,0,10
Pre-eclampsia,REMICADE,11,0,11,0,0,0,0,5,6,2,9,0,11
Pregnancy,ACTEMRA,9,0,9,0,0,0,0,0,3,0,9,0,6
Pregnancy,CHAMPIX,6,0,6,0,0,0,0,0,5,2,4,0,5
Pregnancy,CIMZIA,9,0,9,0,0,0,0,2,7,0,9,0,9
Pregnancy,MIRENA,9,0,9,0,0,0,0,0,9,3,6,0,9
Pregnancy,PLAN B,8,0,8,0,0,0,0,0,5,3,5,0,5
Pregnancy,PREDNISONE,6,0,6,0,0,0,0,0,4,0,6,0,5
Pregnancy,REMICADE,6,0,6,0,0,0,0,4,1,1,5,0,5
Pregnancy after post coital contraception,PLAN B,21,0,21,0,0,0,0,0,21,3,18,0,21
Pregnancy on oral contraceptive,ALESSE 28 TABLETS,33,0,30,0,0,0,0,0,8,22,11,0,8
Pregnancy on oral contraceptive,ALYSENA 28,31,0,31,0,0,0,0,0,31,21,10,0,31
Pregnancy on oral contraceptive,NORETHINDRONE,7,0,7,0,0,0,0,0,7,4,3,0,7
Pregnancy on oral contraceptive,TRI-CYCLEN LO        (28 DAY),15,0,15,0,0,0,0,0,15,10,5,0,15
Pregnancy on oral contraceptive,TRIPHASIL 28,7,0,7,0,0,0,0,0,6,3,4,0,6
Pregnancy with contraceptive device,MIRENA,107,0,107,0,0,0,0,2,100,40,67,0,102
Pregnancy with contraceptive device,NUVARING,7,0,7,0,0,0,0,0,2,3,4,0,2
Pregnancy with contraceptive patch,EVRA   -(6/0.60),7,0,7,0,0,0,0,0,6,4,3,0,6
Premature baby,ACETAMINOPHEN,10,0,5,0,0,3,0,2,6,8,2,0,10
Premature baby,BETASERON,8,1,7,0,0,0,0,6,5,3,5,0,8
Premature baby,DICLECTIN,7,3,1,0,0,3,0,2,4,7,0,0,7
Premature baby,EFFEXOR XR,6,3,2,0,0,0,0,4,3,6,0,0,6
Premature baby,FOLIC ACID,12,3,6,0,0,3,0,3,7,11,1,0,12
Premature baby,HYDROMORPHONE,6,3,1,2,0,0,0,0,5,5,1,0,6
Premature baby,INNOHEP,7,4,2,2,0,1,0,5,5,7,0,0,7
Premature baby,MATERNA,11,3,7,1,0,0,0,5,6,8,3,0,11
Premature baby,ONDANSETRON,7,0,0,3,0,2,0,0,4,7,0,0,7
Premature baby,PAXIL,10,1,6,2,3,3,0,5,2,9,1,0,10
Premature baby,PREDNISONE,16,6,5,1,0,1,1,6,12,15,1,0,16
Premature baby,RANITIDINE,7,3,1,0,0,2,0,1,5,7,0,0,7
Premature baby,REMICADE,70,24,27,1,0,1,1,27,49,65,5,0,69
Premature baby,STELARA,6,3,0,0,0,0,0,0,6,6,0,0,6
Premature delivery,PREDNISONE,6,0,6,0,0,0,0,3,4,1,5,0,6
Premature delivery,REMICADE,20,0,20,0,0,0,0,6,14,5,15,0,20
Premature labour,PREDNISONE,7,0,7,0,0,0,0,3,4,0,7,0,7
Premature labour,REMICADE,32,0,32,0,0,0,0,17,18,3,29,0,32
Premature separation of placenta,SUBUTEX,6,0,6,0,0,0,0,2,6,0,6,0,6
Prolonged labour,REMICADE,11,0,11,0,0,0,0,2,11,1,10,0,11
Stillbirth,HUMIRA,6,0,4,1,0,1,0,1,6,3,3,0,6
Unintended pregnancy,ALESSE 21,7,0,7,0,0,0,0,0,7,7,0,0,7
Unintended pregnancy,ALESSE 28,6,0,6,0,0,0,0,0,6,6,0,0,6
Unintended pregnancy,ALESSE 28 TABLETS,32,0,30,0,0,0,0,0,21,20,12,0,21
Unintended pregnancy,CONTRACEPTIVES,7,0,7,0,0,0,0,0,4,1,6,0,4
Unintended pregnancy,COPPER-7,39,0,38,0,0,0,0,8,0,8,31,0,20
Unintended pregnancy,COPPER-T,6,0,6,0,0,0,0,0,0,0,6,0,3
Unintended pregnancy,CU-7,45,0,44,0,0,0,0,2,0,41,4,0,3
Unintended pregnancy,DEMULEN 30 (28 DAY PACK),8,0,8,0,0,0,0,0,0,3,5,0,3
Unintended pregnancy,DEPO-PROVERA STERILE AQUEOUS SUSPENSION,8,0,8,0,0,0,0,0,8,6,2,0,8
Unintended pregnancy,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML,220,0,208,0,4,1,1,2,168,103,117,0,173
Unintended pregnancy,EVRA   -(6/0.75),37,0,36,0,0,1,0,1,31,15,22,0,33
Unintended pregnancy,LIPPES LOOP,11,0,11,0,0,0,0,1,0,1,10,0,6
Unintended pregnancy,MIN-OVRAL 28 TAB,11,0,9,0,0,0,0,0,0,6,5,0,9
Unintended pregnancy,NUVARING,53,0,53,0,0,1,1,1,14,31,22,0,17
Unintended pregnancy,ORTHO 7/7/7 TABLETS (28 DAY),13,0,12,0,0,0,0,0,0,8,5,0,7
Unintended pregnancy,PLAN B,25,0,25,0,0,0,0,0,13,7,18,0,13
Unintended pregnancy,TEGRETOL,8,0,8,0,0,0,0,0,4,6,2,0,8
Unintended pregnancy,TRIPHASIL 28,57,0,54,0,0,0,1,0,4,27,30,0,50
Uterine contractions during pregnancy,CERVIDIL,6,0,6,0,0,0,0,1,2,1,5,0,4
Uterine contractions during pregnancy,REMICADE,7,0,7,0,0,0,0,5,6,0,7,0,7
Uterine hypertonus,CERVIDIL,13,0,13,0,0,0,0,4,10,7,6,0,13
Uterine hypertonus,OXYTOCIN INJECTION, USP,6,0,6,0,0,0,0,0,6,6,0,0,6
