reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Chromaturia,CRESTOR,35,20,15,1,3,0,2,11,14,4,16,15,25
Chromaturia,LIPITOR,42,25,17,6,1,0,8,16,16,4,16,22,37
Chromaturia,PREDNISONE,54,28,26,6,2,0,5,26,16,3,33,18,52
Chromaturia,TYLENOL,31,15,16,3,3,0,5,10,14,2,19,10,27
Dysuria,HUMIRA,43,22,21,0,0,0,0,30,30,4,29,10,41
Dysuria,LIPITOR,34,22,12,2,5,0,0,14,13,0,12,22,25
Dysuria,PREDNISONE,51,25,25,8,0,0,1,31,15,6,36,9,45
Dysuria,REMICADE,62,18,44,1,0,0,2,34,26,0,56,6,62
Dysuria,TYLENOL,31,9,22,1,4,0,9,20,16,0,16,15,27
Haematuria,COUMADIN,70,41,29,5,0,0,3,27,7,5,28,37,62
Haematuria,DICOUMAROL,42,24,17,0,0,0,0,11,0,2,26,14,30
Haematuria,DIGOXIN,49,24,24,6,0,0,0,16,5,3,13,33,43
Haematuria,FUROSEMIDE,47,24,23,6,0,0,2,24,6,10,9,28,38
Haematuria,HEPARIN SODIUM INJECTION, USP,48,27,19,4,0,0,2,10,10,2,12,34,39
Haematuria,LASIX,33,21,12,8,1,0,2,13,2,1,13,19,30
Haematuria,LIPITOR,34,24,9,2,0,0,5,21,10,1,10,23,32
Haematuria,METOPROLOL,32,27,5,1,1,0,4,16,15,1,10,21,30
Haematuria,PREDNISONE,78,44,33,19,0,0,3,31,20,10,42,26,73
Haematuria,RANITIDINE,31,19,11,3,0,0,1,17,6,5,13,13,26
Haematuria,REMICADE,43,25,16,0,0,0,2,17,25,4,32,7,39
Haematuria,TYLENOL,36,10,25,4,0,0,11,22,15,5,18,13,36
Haematuria,VITAMIN K,43,19,24,6,1,0,2,22,7,3,18,22,38
Haematuria,WARFARIN,59,35,23,1,1,0,1,29,12,3,19,37,51
Haematuria,ZYPREXA,46,36,10,4,0,0,0,29,22,0,45,1,46
Hydronephrosis,CYCLOSPORINE,51,50,1,0,0,0,1,35,0,0,51,0,51
Hydronephrosis,MYCOPHENOLATE MOFETIL,62,62,0,0,0,0,0,39,0,0,62,0,62
Hydronephrosis,PREDNISONE,37,33,4,0,0,0,1,26,1,0,36,1,37
Microalbuminuria,ZYPREXA,36,22,14,0,0,0,0,17,31,0,32,4,36
Nephrolithiasis,ACLASTA,40,1,39,0,1,0,1,5,32,14,13,13,35
Nephrolithiasis,ACTEMRA,40,25,15,0,0,0,0,7,15,4,30,6,28
Nephrolithiasis,CALCIUM,36,13,23,0,0,0,0,16,20,3,25,8,34
Nephrolithiasis,FOLIC ACID,39,14,25,0,0,0,0,16,22,0,26,13,38
Nephrolithiasis,HUMIRA,103,38,62,0,0,0,0,58,69,22,72,9,98
Nephrolithiasis,IMURAN,44,29,15,0,0,0,1,16,31,1,40,3,44
Nephrolithiasis,METHOTREXATE,66,24,42,0,0,0,0,30,34,1,47,18,64
Nephrolithiasis,PREDNISONE,79,38,41,4,0,0,2,40,39,7,62,10,73
Nephrolithiasis,REMICADE,536,328,203,0,0,0,4,253,330,34,453,49,535
Nephrolithiasis,SANDOSTATIN LAR 30MG,40,19,21,0,0,0,1,19,39,3,20,17,40
Nephrolithiasis,TYLENOL,34,14,20,1,1,0,1,18,18,1,27,6,33
Nephrolithiasis,VITAMIN D,35,9,26,0,1,0,0,21,18,1,22,12,34
Nephrolithiasis,ZYPREXA,35,15,20,4,0,0,0,23,16,0,35,0,35
Nephropathy toxic,FUROSEMIDE,37,8,6,0,0,0,1,4,29,24,12,1,35
Nephropathy toxic,HEXABRIX,36,0,0,0,0,0,0,0,36,36,0,0,36
Nephropathy toxic,NORMAL SALINE,114,0,1,0,0,0,0,0,113,113,1,0,114
Nephropathy toxic,POTASSIUM CHLORIDE,64,1,4,0,0,0,0,0,63,59,5,0,63
Nephropathy toxic,PREDNISONE,35,11,20,2,0,0,1,9,13,5,27,3,29
Oliguria,FUROSEMIDE,35,21,14,13,1,0,1,16,2,3,18,14,34
Pollakiuria,LIPITOR,33,22,11,1,1,0,0,6,14,5,11,17,21
Proteinuria,AVASTIN,66,28,20,3,0,0,1,0,54,4,50,12,60
Proteinuria,PREDNISONE,58,26,31,0,3,0,4,32,20,10,33,15,56
Renal colic,REMICADE,32,25,7,0,0,0,0,17,17,1,31,0,32
Renal disorder,EXJADE,41,19,22,9,0,0,0,12,34,12,1,28,41
Renal disorder,REMICADE,40,11,28,1,1,0,0,28,22,5,21,14,40
Renal failure,ACETAMINOPHEN,57,32,24,14,0,0,11,39,19,6,22,29,57
Renal failure,ACLASTA,148,8,139,9,0,0,7,31,124,89,10,49,148
Renal failure,ALLOPURINOL,45,27,17,13,1,0,1,24,12,1,16,28,44
Renal failure,ALTACE,52,35,16,17,5,0,7,33,9,3,15,34,51
