reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Asthma,ADVAIR,154,42,109,2,5,0,3,55,101,42,84,28,127
Asthma,FLOVENT,108,24,83,2,6,0,4,30,57,30,63,15,87
Asthma,PREDNISONE,256,74,181,5,14,0,4,108,126,41,164,51,209
Asthma,REMICADE,131,24,106,1,0,0,2,26,116,12,109,10,129
Asthma,SALBUTAMOL,125,42,78,2,5,1,7,48,57,27,74,24,104
Asthma,SINGULAIR,197,54,142,3,7,0,6,71,110,41,127,29,150
Asthma,SYMBICORT TURBUHALER,239,83,153,1,9,0,6,60,119,54,152,33,160
Asthma,VENTOLIN,362,90,267,6,11,0,12,99,187,75,238,49,284
Asthma,XOLAIR,1296,463,821,9,15,0,4,474,929,187,984,125,1088
Bronchospasm,ADRENALIN CHLORIDE SOL 1:1000,116,49,63,4,0,0,14,33,7,39,58,19,101
Bronchospasm,BENADRYL,219,67,147,2,0,0,24,50,34,51,133,35,161
Bronchospasm,PREDNISONE,111,39,70,1,0,0,21,35,29,20,67,24,98
Bronchospasm,SOLU-CORTEF,104,40,63,2,0,0,7,37,12,27,64,13,86
Bronchospasm,VENTOLIN,177,71,103,5,1,0,23,50,28,32,113,32,141
Cough,ACETAMINOPHEN,165,48,113,9,0,0,8,47,65,21,87,57,130
Cough,ACTEMRA,240,58,182,2,15,0,0,29,133,20,151,69,180
Cough,ADVAIR,162,50,107,5,5,0,3,65,110,26,102,34,144
Cough,ANTIINFECTIVES FOR SYSTEMIC USE,150,52,95,16,4,0,11,72,38,26,79,45,135
Cough,ASA,116,46,68,5,7,0,7,34,34,6,36,74,74
Cough,BENADRYL,337,115,211,1,0,0,21,55,124,83,206,48,215
Cough,CALCIUM,193,35,157,8,6,0,4,88,99,8,107,78,169
Cough,CELEBREX,113,33,80,4,0,0,5,35,45,9,71,33,85
Cough,CRESTOR,105,40,63,2,4,0,5,36,39,11,50,44,72
Cough,DEXAMETHASONE,115,45,69,11,0,0,10,51,49,15,76,24,96
Cough,DIPHTHERIA AND TETANUS TOXOIDS WITH PERTUSSIS VACCINE ADSORBED,133,69,61,0,0,0,0,33,0,132,1,0,72
Cough,ENBREL,110,31,79,9,2,0,3,43,33,7,69,34,80
Cough,FOLIC ACID,189,49,140,15,5,0,10,86,85,12,109,68,170
Cough,FUROSEMIDE,136,61,75,11,1,0,9,63,25,7,42,87,102
Cough,HUMIRA,169,50,118,10,1,0,4,98,76,21,103,45,144
Cough,HYDROCHLOROTHIAZIDE,124,37,86,3,4,0,7,36,43,6,57,61,86
Cough,LASIX,108,43,64,9,3,0,7,46,27,8,37,63,78
