reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Angioedema,BENADRYL,340,122,210,1,4,0,48,109,46,56,183,101,231
Angioedema,EPINEPHRINE,113,42,71,1,0,0,24,49,17,13,58,42,97
Angioedema,PREDNISONE,197,75,119,0,3,0,36,70,47,33,110,54,159
Erythema,ACETAMINOPHEN,224,76,142,1,2,0,8,43,64,58,95,71,125
Erythema,AMPICILLIN,157,54,99,1,0,0,1,4,1,44,63,50,21
Erythema,ATARAX,165,60,103,2,2,0,2,29,7,31,78,56,55
Erythema,ATIVAN,144,38,105,2,7,0,4,23,36,7,84,53,73
Erythema,BENADRYL,1228,393,801,3,5,0,53,146,271,220,725,283,530
Erythema,CALCIUM,137,17,120,1,9,0,6,33,59,2,77,58,96
Erythema,DEMEROL,162,40,117,0,0,0,1,6,10,21,123,18,24
Erythema,DEXAMETHASONE,185,59,124,1,7,0,10,23,57,28,106,51,97
Erythema,DIGOXIN,141,53,84,3,0,0,1,9,9,10,34,97,31
Erythema,DILANTIN,103,45,54,0,0,0,2,12,11,16,54,33,36
Erythema,DIPHENHYDRAMINE,224,75,146,2,4,0,13,53,50,42,124,58,127
Erythema,DIPHTHERIA AND TETANUS TOXOIDS ADSORBED,110,35,71,0,0,0,0,6,0,98,12,0,14
Erythema,DIPHTHERIA AND TETANUS TOXOIDS WITH PERTUSSIS VACCINE ADSORBED,1092,583,487,1,0,0,0,69,2,1085,7,0,235
Erythema,ESTRADERM,695,0,689,0,0,0,0,1,2,376,302,17,5
Erythema,FOLIC ACID,131,39,91,2,4,0,0,38,54,5,98,28,92
Erythema,FUROSEMIDE,113,38,73,0,1,0,5,23,15,8,29,76,48
Erythema,GRAVOL,158,36,119,1,0,0,3,11,19,31,101,26,38
Erythema,HUMIRA,111,36,75,0,1,0,1,50,50,10,76,25,85
Erythema,HYDROCHLOROTHIAZIDE,112,22,88,0,3,0,8,17,35,6,49,57,62
Erythema,HYDROCORTISONE,186,80,106,1,1,0,10,28,55,35,104,47,104
Erythema,LASIX,169,62,107,3,3,0,7,32,7,11,42,116,55
Erythema,LIPITOR,126,61,63,1,3,0,10,24,51,8,59,59,83
Erythema,LORAZEPAM,110,29,81,0,1,0,5,21,31,20,53,37,58
Erythema,METHOTREXATE,160,56,101,2,5,0,4,47,71,17,108,35,124
Erythema,MORPHINE,168,58,107,3,2,0,8,19,20,34,109,25,49
Erythema,ONDANSETRON,103,35,67,1,2,0,3,11,30,32,48,23,45
Erythema,PREDNISONE,477,171,302,3,11,0,27,144,148,61,275,141,329
Erythema,PROVERA,107,0,106,0,0,0,0,2,3,38,66,3,5
Erythema,RANITIDINE,144,44,99,3,1,0,7,35,40,19,85,40,84
Erythema,REMICADE,809,351,449,0,13,0,23,121,678,88,629,92,790
Erythema,SABIN,664,357,294,0,0,0,0,48,1,659,5,0,163
Erythema,SOLU-CORTEF,216,77,133,3,1,0,14,42,78,40,139,37,148
Erythema,SOLU-MEDROL,101,34,66,0,2,0,13,32,23,15,61,25,70
Erythema,SYNTHROID,168,24,143,1,4,0,7,26,59,12,97,59,87
Erythema,TEMPRA,217,112,96,0,1,0,1,14,2,214,2,1,54
Erythema,TYLENOL,454,163,283,1,5,0,9,44,85,228,145,81,172
Erythema,VENTOLIN,159,53,104,1,2,0,12,17,38,28,83,48,76
Erythema,VITAMIN D,131,24,107,1,8,0,7,27,62,9,65,57,89
Erythema,XOLAIR,150,44,105,0,0,0,1,22,118,24,115,11,132
Erythema,ZANTAC,101,33,68,0,0,0,15,8,17,11,52,38,43
Erythema multiforme,PREDNISONE,110,40,67,1,1,0,1,51,17,15,65,30,80
Hyperhidrosis,ACETAMINOPHEN,144,68,74,5,3,0,15,39,47,19,85,40,106
Hyperhidrosis,ASA,108,61,47,8,3,0,14,41,27,4,50,54,78
Hyperhidrosis,ATIVAN,139,47,89,7,7,0,10,39,42,11,93,35,97
Hyperhidrosis,BENADRYL,301,140,159,4,4,0,29,51,99,30,214,57,212
Hyperhidrosis,CLONAZEPAM,129,41,86,3,7,0,12,46,46,9,98,22,98
Hyperhidrosis,CYMBALTA,124,25,93,4,10,0,2,22,79,23,87,14,100
Hyperhidrosis,DEMEROL,228,116,102,2,0,0,1,10,7,34,165,29,86
Hyperhidrosis,DIGOXIN,105,56,48,5,1,0,1,26,7,3,38,64,59
Hyperhidrosis,DIPHTHERIA AND TETANUS TOXOIDS WITH PERTUSSIS VACCINE ADSORBED,101,57,43,0,0,0,0,15,2,101,0,0,45
Hyperhidrosis,FUROSEMIDE,105,58,47,6,2,0,10,39,28,7,45,53,75
Hyperhidrosis,GRAVOL,147,58,85,3,3,0,3,20,22,12,105,30,65
Hyperhidrosis,LASIX,114,48,65,5,1,0,7,23,27,6,44,64,82
Hyperhidrosis,LIPITOR,151,79,71,2,10,0,10,47,59,5,77,69,118
Hyperhidrosis,LORAZEPAM,131,58,73,7,4,0,14,38,37,15,74,42,95
Hyperhidrosis,METFORMIN,119,67,51,2,5,0,13,36,46,9,67,43,90
Hyperhidrosis,METHOTREXATE,101,43,58,4,1,0,8,33,48,9,68,24,86
Hyperhidrosis,METOPROLOL,102,63,38,4,4,0,18,46,32,6,48,48,89
Hyperhidrosis,MORPHINE,140,71,65,9,2,0,14,26,22,17,86,37,90
Hyperhidrosis,NITROGLYCERIN,137,81,56,5,3,0,13,57,20,3,58,76,109
Hyperhidrosis,OXYGEN,148,71,74,12,1,0,18,42,35,13,86,49,118
Hyperhidrosis,PAXIL,107,26,78,2,7,0,3,19,39,20,73,14,66
Hyperhidrosis,PREDNISONE,271,102,169,8,9,0,25,98,81,21,170,80,212
Hyperhidrosis,RANITIDINE,121,43,78,4,2,0,17,35,29,15,70,36,80
Hyperhidrosis,REMICADE,445,238,205,0,3,0,18,92,336,31,380,34,431
Hyperhidrosis,SOLU-CORTEF,107,55,49,2,1,0,5,30,35,12,88,7,92
Hyperhidrosis,SYNTHROID,150,22,125,2,13,0,11,27,59,7,88,55,104
Hyperhidrosis,TYLENOL,195,81,113,10,8,0,11,54,65,36,114,45,145
Hyperhidrosis,VENTOLIN,112,41,68,1,4,0,9,22,31,11,66,35,77
Hyperhidrosis,XOLAIR,107,70,37,0,1,0,0,25,101,1,97,9,103
Palmar-plantar erythrodysaesthesia syndrome,XELODA,146,18,99,3,3,0,3,26,103,12,81,53,137
Petechiae,PREDNISONE,101,40,61,2,1,0,11,54,24,14,47,40,85
Pruritus,292 TAB,143,24,114,0,0,0,0,6,0,18,98,27,9
