reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Activities of daily living impaired,ACETAMINOPHEN,8,4,4,0,1,0,1,4,7,1,3,4,8
Activities of daily living impaired,ACETYLSALICYLIC ACID,6,4,2,1,1,0,0,2,3,1,1,4,5
Activities of daily living impaired,ACLASTA,9,0,9,0,3,0,0,0,6,0,2,7,8
Activities of daily living impaired,ACTONEL,14,7,7,0,6,0,1,4,7,1,4,9,11
Activities of daily living impaired,ALTACE,6,1,5,0,3,0,0,1,2,0,5,1,4
Activities of daily living impaired,AMITRIPTYLINE,11,3,8,0,2,0,0,1,7,1,9,1,9
Activities of daily living impaired,ARICEPT,7,3,4,1,4,0,0,1,3,1,0,6,7
Activities of daily living impaired,ASA,15,6,9,2,5,0,0,1,7,0,4,11,12
Activities of daily living impaired,ASAPHEN,7,3,4,0,1,0,0,1,4,0,2,5,4
Activities of daily living impaired,ASPIRIN,7,3,4,0,2,0,0,3,5,1,1,5,7
Activities of daily living impaired,ATENOLOL TABLETS, BP,7,1,6,0,0,0,0,0,4,0,4,3,4
Activities of daily living impaired,ATIVAN,10,3,7,0,3,0,0,3,6,0,6,4,9
Activities of daily living impaired,BENLYSTA FOR I.V. INFUSION ONLY. 80MG/ML (RECONST.),7,0,7,0,0,0,0,4,7,0,7,0,7
Activities of daily living impaired,BOTOX PWS INJ 100UNIT/VIAL,14,0,14,0,4,0,0,0,10,1,13,0,14
Activities of daily living impaired,CALCIUM,15,1,14,0,6,0,1,1,7,0,7,8,13
Activities of daily living impaired,CELEBREX,8,3,5,0,4,0,0,2,3,1,2,5,7
Activities of daily living impaired,CHAMPIX,71,30,40,0,23,0,12,4,34,5,54,12,60
Activities of daily living impaired,CITALOPRAM,6,1,5,0,0,0,1,1,2,2,2,2,4
Activities of daily living impaired,CLONAZEPAM,6,3,3,0,3,0,1,3,2,0,5,1,5
Activities of daily living impaired,CONCERTA,6,4,2,0,0,0,1,4,5,5,1,0,6
Activities of daily living impaired,CRESTOR,25,10,14,0,7,0,0,2,10,4,11,10,17
Activities of daily living impaired,CRESTOR - 10MG,13,12,1,0,4,0,1,1,4,2,2,9,9
Activities of daily living impaired,CYMBALTA,13,3,10,2,5,0,0,3,5,0,11,2,10
Activities of daily living impaired,DICLOFENAC,6,6,0,0,0,0,0,0,2,0,4,2,2
Activities of daily living impaired,DIOVAN,8,2,5,1,0,0,0,0,5,1,2,5,7
Activities of daily living impaired,DOMPERIDONE,6,1,5,0,3,0,0,0,2,0,2,4,5
Activities of daily living impaired,ENBREL,15,3,12,0,0,0,0,2,8,1,6,8,10
Activities of daily living impaired,EXELON,9,1,8,6,1,0,0,0,4,4,0,5,9
Activities of daily living impaired,EXJADE,18,8,10,1,0,0,0,17,7,1,10,7,18
Activities of daily living impaired,EZETROL,9,4,5,0,4,0,0,2,1,0,3,6,6
Activities of daily living impaired,FOLIC ACID,16,2,14,0,5,0,0,5,6,2,6,8,13
Activities of daily living impaired,FOSAMAX,6,0,6,0,2,0,0,0,1,0,3,3,3
Activities of daily living impaired,FUROSEMIDE,7,3,4,0,2,0,0,2,2,0,1,6,5
Activities of daily living impaired,GABAPENTIN,9,2,7,0,2,0,0,0,8,5,3,1,9
Activities of daily living impaired,HUMIRA,20,6,14,0,1,0,0,7,8,3,11,6,12
Activities of daily living impaired,HYDROCHLOROTHIAZIDE,8,5,3,0,4,0,0,3,3,0,2,6,7
Activities of daily living impaired,JAKAVI,6,0,6,0,0,0,0,6,0,0,0,6,6
Activities of daily living impaired,LEVOTHYROXINE,7,1,6,0,3,0,0,2,3,0,3,4,6
Activities of daily living impaired,LIPITOR,32,11,21,3,8,0,1,10,18,3,7,22,25
Activities of daily living impaired,LORAZEPAM,8,3,5,0,0,0,0,2,4,1,4,3,5
Activities of daily living impaired,LOSEC,8,0,8,0,3,0,0,1,5,1,0,7,7
Activities of daily living impaired,LUPRON DEPOT,8,7,1,2,2,0,0,4,5,1,0,7,7
Activities of daily living impaired,LYRICA,16,2,14,0,4,0,0,1,8,1,12,3,11
Activities of daily living impaired,MAGNESIUM,6,1,5,0,3,0,0,0,3,0,3,3,5
Activities of daily living impaired,METFORMIN,18,7,11,2,2,0,1,6,8,2,9,7,13
Activities of daily living impaired,METHOTREXATE,14,2,12,0,3,0,0,4,8,1,4,9,11
Activities of daily living impaired,METOPROLOL,10,5,5,1,2,0,0,4,3,2,2,6,6
Activities of daily living impaired,MICARDIS,7,3,4,0,1,0,0,1,5,0,0,7,5
Activities of daily living impaired,MIRENA,6,0,6,0,2,0,2,0,6,5,1,0,6
Activities of daily living impaired,MULTIVITAMINE(S),16,2,14,0,5,0,0,1,9,1,5,10,12
Activities of daily living impaired,NEXIUM,7,1,6,0,3,0,0,0,4,0,6,1,6
Activities of daily living impaired,NITROGLYCERIN,6,2,4,1,3,0,0,2,2,0,0,6,6
Activities of daily living impaired,NORVASC,8,3,5,0,3,0,0,3,4,0,2,6,6
Activities of daily living impaired,OMEGA - 3,8,3,5,0,2,0,1,1,4,1,5,2,7
Activities of daily living impaired,OMEPRAZOLE,7,1,6,0,2,0,0,0,2,1,2,4,5
Activities of daily living impaired,PANTOLOC,10,1,9,1,2,0,0,1,3,0,4,6,7
Activities of daily living impaired,PLAVIX,6,2,4,1,2,0,0,2,3,0,1,5,5
Activities of daily living impaired,PREDNISONE,20,5,15,0,8,0,0,6,12,3,12,5,17
Activities of daily living impaired,PREVACID,7,4,3,0,2,0,1,1,4,0,3,4,6
Activities of daily living impaired,RAMIPRIL,10,5,5,0,1,0,0,7,5,1,1,8,10
Activities of daily living impaired,RATIO-MORPHINE SR,7,1,6,0,7,0,6,6,6,0,6,1,7
Activities of daily living impaired,REMICADE,16,4,12,0,4,0,1,5,10,2,13,1,16
Activities of daily living impaired,SANDOSTATIN LAR 30MG,13,3,10,0,0,0,0,2,13,3,2,8,13
Activities of daily living impaired,SPIRIVA,8,3,5,0,1,0,0,3,3,2,2,4,5
Activities of daily living impaired,SULFASALAZINE,6,2,4,0,1,0,0,1,3,1,1,4,4
Activities of daily living impaired,SYMBICORT TURBUHALER,9,5,4,0,3,0,1,1,2,2,6,1,3
Activities of daily living impaired,SYNTHROID,24,6,17,1,8,0,1,2,15,1,6,17,20
Activities of daily living impaired,TAMOXIFEN,8,0,8,0,0,0,0,0,8,0,8,0,8
Activities of daily living impaired,TYLENOL,11,2,9,1,5,0,3,3,4,0,6,5,10
Activities of daily living impaired,VENTOLIN,9,3,6,0,4,0,1,3,2,1,5,3,5
Activities of daily living impaired,VITAMIN D,20,3,17,0,8,0,2,2,8,1,11,8,14
Activities of daily living impaired,WARFARIN,7,1,6,0,2,0,0,3,1,3,0,4,5
Activities of daily living impaired,XOLAIR,8,3,5,0,4,0,3,7,8,1,4,3,8
Activities of daily living impaired,XYREM,10,0,10,0,0,0,0,0,10,0,10,0,10
Activities of daily living impaired,ZOPICLONE,6,4,2,0,1,0,0,1,2,0,2,4,4
Activities of daily living impaired,ZYPREXA,6,6,0,0,0,0,0,5,1,0,6,0,6
Alcohol use,PAXIL,10,4,6,0,0,0,1,2,8,10,0,0,10
Bedridden,ACLASTA,17,0,17,0,2,0,1,1,11,7,2,8,13
Bedridden,CALCIUM,7,2,5,1,1,0,0,3,1,1,2,4,5
Bedridden,CRESTOR,9,3,6,0,2,0,2,3,5,0,5,4,9
Bedridden,CYMBALTA,7,2,5,2,0,0,0,0,0,0,7,0,2
Bedridden,HUMIRA,8,0,8,0,3,0,0,3,7,0,6,2,8
