reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Abdominal cavity drainage,SANDOSTATIN LAR,11,4,7,9,0,0,0,8,5,4,3,4,11
Abdominal operation,REMICADE,19,7,11,0,0,0,1,8,12,1,18,0,18
Abortion induced,HUMIRA,17,0,17,4,0,4,0,3,15,8,9,0,16
Abortion induced,REMICADE,17,0,17,0,0,0,0,0,17,0,17,0,17
Abscess drainage,HUMIRA,24,11,13,1,1,0,0,22,19,1,22,1,24
Abscess drainage,REMICADE,43,18,25,4,0,0,0,23,25,2,40,1,43
Angioplasty,LIPITOR,16,12,4,0,0,0,2,6,6,0,7,9,12
Angioplasty,PLAVIX,11,8,3,0,0,0,0,6,5,0,6,5,11
Angioplasty,REMICADE,16,7,8,1,0,0,0,9,10,2,7,7,16
Ankle arthroplasty,ACTEMRA,18,3,15,0,0,0,0,10,0,0,18,0,18
Ankle operation,REMICADE,17,3,12,0,0,0,0,3,14,2,10,5,17
Appendicectomy,REMICADE,51,18,33,0,0,0,2,41,12,2,46,3,51
Arthrodesis,ACTEMRA,19,0,19,0,0,0,0,4,13,0,19,0,13
Arthroscopic surgery,REMICADE,20,4,16,0,0,0,0,14,16,0,20,0,20
Bladder operation,REMICADE,13,3,10,0,0,0,4,11,5,0,11,2,13
Caesarean section,REMICADE,145,0,145,0,0,1,3,69,88,16,129,0,145
Cardiac operation,REMICADE,17,9,6,0,0,0,0,9,9,2,11,4,17
Cardiac pacemaker insertion,FUROSEMIDE,13,6,7,0,0,0,2,11,5,0,12,1,13
Cardiac pacemaker insertion,REMICADE,11,8,3,0,0,0,0,10,3,0,4,7,11
Cataract operation,HUMIRA,15,1,14,0,0,0,0,0,15,0,1,14,15
Cataract operation,LIPITOR,11,4,7,0,0,0,0,4,10,1,0,10,11
Cataract operation,REMICADE,19,3,15,0,0,0,0,5,17,3,7,9,19
Cataract operation,XALATAN,37,16,21,0,0,0,0,1,37,0,6,31,37
Central venous catheterisation,REMICADE,13,1,12,0,0,0,0,6,7,0,8,5,13
Cholecystectomy,HUMIRA,16,6,9,1,0,0,0,8,14,4,6,6,14
Cholecystectomy,METHOTREXATE,12,3,9,0,0,0,1,10,6,0,8,4,12
Cholecystectomy,REMICADE,81,29,50,0,0,0,0,58,42,1,74,6,81
Cholecystectomy,SANDOSTATIN LAR,15,11,4,5,0,0,5,15,14,0,6,9,15
Colectomy,HUMIRA,57,23,34,0,0,0,1,32,48,12,42,3,57
Colectomy,IMURAN,17,11,6,0,0,0,0,12,9,0,12,5,17
Colectomy,PREDNISONE,38,15,23,0,0,0,1,25,22,1,32,5,38
Colectomy,REMICADE,205,97,103,2,0,0,0,131,88,31,160,14,205
Colectomy total,HUMIRA,15,8,7,0,0,0,0,12,13,5,10,0,15
Colectomy total,REMICADE,46,18,27,2,0,0,0,30,20,7,35,4,46
Colon operation,REMICADE,27,17,10,0,0,0,0,15,15,7,19,1,27
Colostomy,HUMIRA,29,7,20,0,1,0,1,21,23,4,20,5,29
Colostomy,REMICADE,61,30,31,0,1,0,4,45,26,2,59,0,61
Colostomy closure,REMICADE,17,6,11,0,0,0,1,10,8,2,11,4,17
Corneal transplant,REMICADE,18,2,16,0,0,0,0,1,17,0,18,0,18
Coronary arterial stent insertion,REMICADE,12,7,5,0,0,0,1,5,7,0,5,7,12
Coronary artery bypass,ASA,14,9,4,3,0,0,2,11,9,0,5,9,14
Coronary artery bypass,EPREX STERILE SOLUTION,11,11,0,0,0,0,0,0,11,0,0,11,11
Coronary artery bypass,HUMIRA,15,6,9,2,0,0,0,9,12,0,2,13,15
Coronary artery bypass,LIPITOR,53,43,9,2,0,0,3,11,9,3,25,25,13
Coronary artery bypass,REMICADE,13,11,1,1,0,0,0,8,4,0,6,7,13
Craniotomy,AVASTIN,31,0,31,0,0,0,0,15,15,0,0,31,15
Debridement,REMICADE,14,9,5,4,2,0,1,9,9,1,13,0,14
Dental operation,REMICADE,36,9,27,0,1,0,0,7,28,3,29,4,36
Endodontic procedure,REMICADE,40,17,22,0,2,0,0,2,35,0,40,0,39
Endotracheal intubation,CLOZAPINE,25,25,0,25,0,0,0,21,0,0,25,0,25
Endotracheal intubation,CLOZARIL,12,9,3,1,0,0,5,12,6,1,9,2,12
