reaction,drug,count,countmale,countfemale,countdeath,countdisab,countanomal,countthreat,counthosp,countother,countyoung,countadult,countelderly,countserious
Arteriovenous fistula,EPREX STERILE SOLUTION,57,0,57,0,0,0,0,0,57,0,57,0,57
Blood pressure inadequately controlled,DIOVAN,106,10,18,0,1,0,1,0,22,64,26,16,24
Blood pressure inadequately controlled,DIOVAN-HCT 160/25MG,54,1,10,0,0,0,0,1,13,32,13,9,14
Blood pressure inadequately controlled,RASILEZ,54,9,7,1,0,0,0,1,19,36,8,10,21
Deep vein thrombosis,COUMADIN,127,38,85,8,3,0,13,70,33,19,73,35,120
Deep vein thrombosis,DEXAMETHASONE,72,34,35,3,2,0,13,25,39,5,38,29,65
Deep vein thrombosis,FRAGMIN,81,14,53,5,3,0,9,37,45,19,39,23,80
Deep vein thrombosis,HEPARIN SODIUM,76,52,24,15,2,0,1,32,42,2,49,25,76
Deep vein thrombosis,HEPARIN SODIUM INJECTION, USP,151,56,92,17,3,0,24,85,28,13,78,60,144
Deep vein thrombosis,PREDNISONE,88,42,43,11,2,1,8,43,42,6,50,32,86
Deep vein thrombosis,REMICADE,72,33,39,1,1,0,6,35,38,3,52,17,72
Deep vein thrombosis,REVLIMID,78,43,31,3,3,0,12,29,51,4,24,50,76
Deep vein thrombosis,WARFARIN,157,46,108,16,6,0,18,63,61,17,74,66,153
Deep vein thrombosis,XARELTO,63,21,22,0,4,0,6,12,58,22,18,23,63
Deep vein thrombosis,YASMIN 28,99,0,97,0,2,0,10,42,64,27,72,0,99
Deep vein thrombosis,YAZ,68,0,67,0,4,0,14,27,46,18,50,0,68
Flushing,ACETAMINOPHEN,156,72,81,1,1,0,9,27,56,32,94,30,96
Flushing,ADRENALIN CHLORIDE SOL 1:1000,97,37,59,2,0,0,9,28,19,20,63,14,75
Flushing,AMPICILLIN,70,29,37,0,0,0,1,1,1,10,35,25,17
Flushing,ATIVAN,130,33,92,3,0,0,7,19,35,14,89,27,79
Flushing,ATROPINE,52,25,26,1,0,0,2,1,4,24,23,5,17
Flushing,BENADRYL,1274,364,884,3,4,0,72,132,474,189,881,204,755
Flushing,CALCIUM,63,9,54,1,0,0,4,7,43,4,36,23,52
Flushing,CARBOPLATIN,117,5,112,0,2,0,7,9,45,10,85,22,64
Flushing,CHLOR-TRIPOLON,54,19,35,0,0,0,2,3,3,13,30,11,21
Flushing,CISPLATIN INJECTION,98,34,61,0,0,0,5,4,27,8,79,11,43
Flushing,CODEINE,91,47,35,1,0,0,2,7,7,69,19,3,15
Flushing,CYCLOPHOSPHAMIDE,53,9,44,0,1,0,1,9,16,6,40,7,31
Flushing,DECADRON,154,34,118,0,0,0,11,9,46,22,102,30,70
Flushing,DEMEROL,134,43,89,0,0,0,3,2,6,23,100,11,38
Flushing,DEXAMETHASONE,363,65,288,0,2,0,19,33,143,42,258,63,197
Flushing,DEXTROSE 5% IN WATER,51,17,29,0,0,0,3,4,8,13,31,7,26
Flushing,DIGOXIN,63,21,39,1,1,0,0,8,2,3,13,47,22
Flushing,DIPHENHYDRAMINE,253,77,171,0,0,0,15,38,81,44,177,32,143
Flushing,DIPHTHERIA AND TETANUS TOXOIDS WITH PERTUSSIS VACCINE ADSORBED,67,42,25,0,0,0,0,11,3,67,0,0,47
Flushing,EPINEPHRINE,104,38,64,1,0,0,22,23,26,19,74,11,87
Flushing,ETOPOSIDE INJECTION, USP,55,20,34,0,1,0,2,3,21,14,33,8,28
Flushing,FUROSEMIDE,61,14,45,2,1,0,2,10,14,10,23,28,33
Flushing,GRAVOL,163,48,114,0,0,0,5,25,36,26,113,24,91
Flushing,HEPARIN SODIUM INJECTION, USP,52,20,29,0,0,0,2,6,7,6,33,13,24
Flushing,HYDROCHLOROTHIAZIDE,69,28,41,0,0,0,2,11,15,6,33,30,32
Flushing,HYDROCORTISONE,192,76,116,1,1,0,29,26,81,29,125,38,140
Flushing,IMURAN,60,22,38,0,0,0,8,8,44,9,50,1,54
Flushing,LASIX,82,28,53,4,0,0,6,9,16,7,25,50,42
Flushing,LIPITOR,64,30,33,2,1,0,2,10,22,2,30,32,34
Flushing,LORAZEPAM,94,24,69,1,2,0,6,14,24,16,57,21,50
Flushing,LOSEC,57,17,39,1,1,0,4,15,17,6,30,21,31
Flushing,METFORMIN,55,25,30,4,1,0,5,12,29,4,32,19,41
Flushing,METHOTREXATE,105,36,66,1,2,0,4,17,66,15,74,16,85
Flushing,MORPHINE,102,38,60,0,1,0,6,9,22,18,74,10,43
Flushing,NIACIN,171,61,101,0,0,0,1,5,4,47,97,27,15
Flushing,NITROGLYCERIN,65,32,32,2,0,0,5,6,9,4,29,32,32
Flushing,NORMAL SALINE,168,52,113,2,0,0,13,10,56,22,122,24,106
Flushing,ONDANSETRON,143,35,105,0,1,0,10,16,57,23,94,26,82
Flushing,OXYGEN,222,62,154,3,2,0,21,25,97,34,153,35,169
Flushing,PACLITAXEL INJECTION,107,3,103,0,1,0,6,3,44,16,75,16,54
Flushing,PREDNISONE,270,88,179,1,1,0,17,62,111,37,187,46,193
Flushing,RANITIDINE,205,40,156,0,3,0,9,24,75,35,133,37,108
Flushing,REMICADE,1464,597,859,0,1,0,110,187,1209,176,1206,82,1404
Flushing,RITUXAN,58,26,32,0,0,0,2,4,38,8,35,15,45
