drug,countreact
METOPROLOL,99
FUROSEMIDE,92
ASA,92
CALCIUM,91
PREDNISONE,89
LIPITOR,88
RAMIPRIL,87
LASIX,84
CLOZARIL,82
WARFARIN,81
ASPIRIN,80
ACETAMINOPHEN,80
VITAMIN D,77
METFORMIN,76
REMICADE,76
CRESTOR,76
COUMADIN,76
LORAZEPAM,75
TYLENOL,75
NITROGLYCERIN,75
NORVASC,74
HYDROCHLOROTHIAZIDE,73
DIGOXIN,73
PLAVIX,72
FOLIC ACID,72
METHOTREXATE,71
BISOPROLOL,70
ACETYLSALICYLIC ACID,70
PANTOLOC,70
CLONAZEPAM,70
VENTOLIN,69
ZYPREXA,69
ATIVAN,68
CELEBREX,65
RANITIDINE,65
ATENOLOL TABLETS, BP,64
ALTACE,63
AMIODARONE,63
SYNTHROID,63
HUMIRA,62
LOSEC,62
DILTIAZEM,62
ALLOPURINOL,61
ENBREL,60
MULTIVITAMINE(S),60
SALBUTAMOL,60
SPIRONOLACTONE,59
MORPHINE,58
SEROQUEL,58
RISPERDAL,58
HEPARIN SODIUM INJECTION, USP,58
AMLODIPINE,56
DIOVAN,56
PANTOPRAZOLE,56
PAXIL,56
EFFEXOR XR,55
LEVOTHYROXINE,55
DOMPERIDONE,55
ZOPICLONE,55
COLACE,55
INSULIN,54
VIOXX,54
CELEXA,54
ACLASTA,53
FLOVENT,53
FENTANYL,53
GRAVOL,53
DIPHENHYDRAMINE,53
GLYBURIDE,53
VASOTEC,52
DEXAMETHASONE,52
OXYGEN,52
ERGOCALCIFEROL,51
PREVACID,51
ATORVASTATIN CALCIUM,51
OMEPRAZOLE,51
ATROVENT,51
MICARDIS,51
EPINEPHRINE,50
BENADRYL,50
OXAZEPAM,50
EXELON,50
FERROUS GLUCONATE,50
VITAMIN B12,50
ACTONEL,50
AMITRIPTYLINE,49
COZAAR,49
IRON,49
MAVIK,48
ADVAIR,48
LITHIUM,48
GABAPENTIN,48
ATROPINE,47
TRAZODONE,47
FORTEO,47
SENOKOT,46
POTASSIUM CHLORIDE,46
IMOVANE,46
SPIRIVA,46
DOCUSATE SODIUM,46
SYMBICORT TURBUHALER,45
ATACAND,45
QUETIAPINE,45
HYDROCORTISONE,45
ANTIINFECTIVES FOR SYSTEMIC USE,45
DIURETIC(S),45
NEXIUM,45
MIDAZOLAM INJECTION,44
CALCIUM CARBONATE,44
ENTERIC COATED A.S.A,44
SIMVASTATIN,44
SLOW K 600MG,43
LISINOPRIL,43
HEPARIN SODIUM,43
CYCLOPHOSPHAMIDE,43
CARVEDILOL,43
ELTROXIN,43
PAROXETINE,43
INTUBATION,43
NITRO-DUR,43
IBUPROFEN,43
NIFEDIPINE,43
DOPAMINE,43
PARIET,43
CITALOPRAM,42
ADALAT XL,42
EPIVAL,42
HALDOL,42
COVERSYL,42
TYLENOL WITH CODEINE NO. 3 - TAB,42
AVANDIA,42
PLAQUENIL,42
BETA-BLOCKING AGENTS,41
DIMENHYDRINATE,41
ACETYLSALICYLIC ACID ENT CTD,41
AVAPRO,41
LIDOCAINE,41
ZANTAC,41
RIVOTRIL,41
VITAMIN E,41
VITAMIN C,40
ZOLOFT,40
PREMARIN,40
PROZAC,40
SERAX,40
LOPRESOR,40
ZOCOR,40
LANOXIN,40
RABEPRAZOLE,40
NORVASC TAB 5MG,39
LUPRON DEPOT,39
RITUXAN,39
SINGULAIR,39
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,38
LYRICA,38
RISPERIDONE,38
VERAPAMIL HCL,38
POTASSIUM (NOS),38
OLANZAPINE,38
ENTROPHEN,38
XOLAIR,38
TYLENOL W CODEINE NO3 TAB,38
NAPROXEN,38
VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP,38
HYDROMORPHONE,37
VENLAFAXINE XR,37
ALDACTONE,37
SOLU-MEDROL,37
ACE INHIBITOR,37
MIRTAZAPINE,36
HCTZ,36
FLUOXETINE,36
ERYTHROMYCIN,36
EFFEXOR NOS,36
STUDY DRUG,36
SOTALOL,36
GLUCOPHAGE,36
METOCLOPRAMIDE,36
CODEINE,36
CIPRO,36
REVLIMID,35
MAGNESIUM,35
DICLOFENAC,35
ZYPREXA ZYDIS,35
NASONEX,35
HALOPERIDOL,35
MONOCOR,35
MONOPRIL,35
VERAPAMIL HYDROCHLORIDE INJECTION USP,35
VITAMINS,35
FRAGMIN,35
PACKED RED BLOOD CELLS,35
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,35
FERROUS SULPHATE,35
CAPTOPRIL,34
XELODA,34
PERINDOPRIL,34
DILAUDID,34
EZETROL,34
BIAXIN,34
CALCIUM & VITAMIN D,34
SOLU-CORTEF,34
FLAGYL,34
FOSAMAX,34
EPREX STERILE SOLUTION,34
WELLBUTRIN SR,34
ONDANSETRON,34
LACTULOSE SYRUP,34
TIAZAC,34
INDOMETHACIN,34
BUPROPION,34
IPRATROPIUM,33
ACYCLOVIR,33
PROPOFOL INJECTION,33
SANDOSTATIN LAR,33
L-THYROXINE,33
FRESH FROZEN PLASMA,33
AMPICILLIN,33
