drug,countreact
FOLIC ACID,54
METHOTREXATE,50
PREDNISONE,46
PAXIL,39
MULTIVITAMINE(S),38
REMICADE,38
ACETAMINOPHEN,28
DICLECTIN,28
ALLOPURINOL,28
DILANTIN,27
MISOPROSTOL,27
FEMARA 2.5MG,26
PHENOBARBITAL,23
CALCIUM,23
EFFEXOR XR,23
REYATAZ,22
FLUCONAZOLE,21
HUMIRA,20
LIPITOR,20
SYNTHROID,20
ACCUTANE ROCHE,20
VITAMIN D,19
ZYPREXA,19
CLONAZEPAM,18
GRAVOL,18
THYROXINE,17
CENTRUM MATERNA,17
RANITIDINE,17
AMPICILLIN,16
METHYLDOPA,16
PRENATAL MULTIPLE VITAMIN,16
BENDECTIN,16
HYDROCHLOROTHIAZIDE,15
VALPROIC ACID,15
CLONIDINE,15
MATERNA,15
GENTAMICIN,14
SALICYLATE,14
CRESTOR,14
VITAMIN B12,14
INTUBATION,14
KIVEXA,14
PROZAC,14
DEPAKENE,14
ZOLOFT,14
METOCLOPRAMIDE,14
CYCLOPHOSPHAMIDE,13
NEVIRAPINE,13
ABACAVIR,13
LORAZEPAM,13
CITALOPRAM,13
CLOMID,13
SUSTIVA,13
METFORMIN,13
AMITRIPTYLINE,13
ATIVAN,13
DOCUSATE SODIUM,12
CELEXA,12
RITONAVIR,12
TEGRETOL,12
NORVIR,12
AMOXICILLIN,12
NORVIR SEC,12
HYDROMORPHONE,12
CODEINE,12
REBIF,12
TYLENOL,12
ETHANOL,12
HYDROXYZINE,12
VENTILATION,11
FOSINOPRIL,11
METHADONE,11
VINCRISTINE SULFATE INJECTION USP,11
MORPHINE,11
LYRICA,11
LAMOTRIGINE,11
BETASERON,11
LOSEC,10
DIALYSIS,10
ELAVIL,10
ONDANSETRON,10
KALETRA,10
DIPHENHYDRAMINE,10
ENBREL,10
PRINIVIL,10
CARBAMAZEPINE,10
PRENAVITE TABLETS,10
GABAPENTIN,10
FUROSEMIDE,10
ASPIRIN,10
CLOZARIL,10
VALSARTAN,9
VENTOLIN,9
TYLENOL WITH CODEINE NO. 3 - TAB,9
DIAZEPAM,9
LAMICTAL,9
DOXYLAMINE SUCCINATE,9
ERYTHROMYCIN,9
PENTAMIDINE ISETHIONATE,9
METOPROLOL,9
PANTOPRAZOLE,9
SEROQUEL,9
MYSOLINE,9
IMURAN,9
OMEPRAZOLE,9
PROGESTERONE,9
DIFLUCAN,8
CYANOCOBALAMIN,8
PYRIDOXINE,8
DIMENHYDRINATE,8
TRIMEDONE,8
LAMIVUDINE,8
SEPTRA INJECTION,8
IRON,8
COMBIVIR,8
ACLASTA,8
IMMUNE GLOBULIN INTRAVENOUS (HUMAN),8
PERCOCET,7
LASIX,7
PAROXETINE,7
PHENOBARBITONE,7
DEMEROL,7
ACTONEL,7
VITAMINS,7
ANTIINFECTIVES FOR SYSTEMIC USE,7
SEPTRA,7
WELLBUTRIN SR,7
ZIDOVUDINE,7
INDOMETHACIN,7
DEXAMETHASONE,7
ZANTAC,7
NAPROXEN,7
ALPRAZOLAM,7
FENTANYL,7
ASA,7
PROPYL-THYRACIL,7
RISPERDAL,7
SUPRANE 1ML/ML,7
CYCLOSPORINE,7
IBUPROFEN,7
TOBACCO,7
NEXIUM,7
CRESTOR - 10MG,7
ELTROXIN,7
LITHIUM,7
CONTRACEPTIVES,7
3TC,7
LEVOTHYROXINE,7
DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML,7
EFFEXOR NOS,6
MARIJUANA,6
MICARDIS,6
FLUOXETINE,6
INNOHEP,6
FOLLICLE STIMULATING HORMONE (RECOMBINANT),6
THIAMINE HCL,6
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,6
BUPIVACAINE,6
DAPSONE,6
SALBUTAMOL,6
TRAZODONE,6
XOLAIR,6
ZOFRAN,6
ATACAND,6
COPAXONE,6
LARGACTIL,6
COZAAR,6
MICARDIS 80MG TAB,6
OXYCONTIN,6
RETROVIR (AZT),6
SINGULAIR,6
VALIUM ORAL,6
LANTUS,5
CIPRALEX   -20MG,5
VIRACEPT,5
CYMBALTA,5
GLEEVEC,5
IMITREX,5
SORIATANE,5
TRUVADA,5
NOZINAN,5
KETOROLAC,5
CLOMIPHENE CITRATE,5
NAPROXEN SUPPOSITORIES,5
VIREAD,5
DOMPERIDONE,5
CABERGOLINE,5
EPREX STERILE SOLUTION,5
DIOVAN,5
IMODIUM,5
CALCIUM CARBONATE,5
SUBUTEX,5
METHYLPREDNISOLONE NOS,5
PRISTIQ,5
