drug,countreact
REMICADE,28
PREDNISONE,27
VENTOLIN,23
SYNTHROID,22
TYLENOL,20
VITAMIN D,20
HUMIRA,20
LIPITOR,20
METHOTREXATE,20
NORVASC,19
ADVAIR,19
ANTIINFECTIVES FOR SYSTEMIC USE,19
METOPROLOL,19
CALCIUM,19
CRESTOR,19
ACETAMINOPHEN,18
CLONAZEPAM,18
ENBREL,18
LORAZEPAM,18
ATIVAN,17
FOLIC ACID,17
CELEBREX,16
HYDROCHLOROTHIAZIDE,16
PANTOLOC,16
SALBUTAMOL,16
VITAMIN B12,16
XOLAIR,16
PANTOPRAZOLE,16
NAPROXEN,15
NEXIUM,15
ADVIL,15
BENADRYL,15
LASIX,15
AMITRIPTYLINE,15
AVELOX,15
AMOXICILLIN,15
GABAPENTIN,15
SYMBICORT TURBUHALER,15
RANITIDINE,15
ACLASTA,15
SANDOSTATIN LAR 30MG,15
PLAQUENIL,15
METFORMIN,14
BETASERON,14
HYDROCORTISONE,14
PREMARIN,14
LOSEC,14
LYRICA,14
TYLENOL WITH CODEINE NO. 3 - TAB,14
DIMENHYDRINATE,14
SPIRIVA,14
ZOPICLONE,14
DIPHENHYDRAMINE,14
GRAVOL,14
ASA,14
ACTONEL,14
PLAVIX,13
ASPIRIN,13
VINCRISTINE SULFATE INJECTION USP,13
CIPROFLOXACIN,13
IRON,13
FLUTICASONE,13
RAMIPRIL,13
ALLOPURINOL,13
FOSAMAX,13
FUROSEMIDE,13
CIPRO,13
WARFARIN,13
ONDANSETRON,13
OXAZEPAM,13
SERTRALINE,13
CELEXA,13
IBUPROFEN,13
MULTIVITAMINE(S),13
ORENCIA,12
DEXAMETHASONE,12
CHAMPIX,12
VITAMINS,12
CYCLOPHOSPHAMIDE,12
AMLODIPINE,12
ERGOCALCIFEROL,12
SINGULAIR,12
NITROGLYCERIN,12
COUMADIN,12
ACETYLSALICYLIC ACID,12
ELTROXIN,12
BIAXIN,12
GENTAMICIN,12
RITUXAN,12
DIOVAN,12
MORPHINE,12
CALCIUM & VITAMIN D,11
DOMPERIDONE,11
MORPHINE SULFATE,11
INSULIN,11
BISOPROLOL,11
PARIET,11
METOCLOPRAMIDE,11
SANDOSTATIN LAR 20MG,11
FENTANYL,11
PAXIL,11
VITAMIN C,11
EZETROL,11
CIALIS,11
DILTIAZEM,11
AMPICILLIN,11
ACCUTANE ROCHE,11
ACTEMRA,11
DOCUSATE SODIUM,11
EFFEXOR XR,11
CORTISONE,11
GARASONE OPH/OT SOL,11
REACTINE,11
PREVACID,11
PERCOCET,11
LEVOTHYROXINE,11
VITAMIN B COMPLEX,11
AVAPRO,11
AZATHIOPRINE,11
ATACAND,11
OMEPRAZOLE,11
DIGOXIN,10
SOLU-CORTEF,10
TRAZODONE,10
CALCIUM CARBONATE,10
ARTHROTEC,10
COVERSYL,10
WELLBUTRIN,10
CODEINE,10
ALTACE,10
VIOXX,10
TYLENOL W CODEINE NO3 TAB,10
CEPHALEXIN,10
CLARITHROMYCIN,10
ZANTAC,10
