drug,countreact
PREDNISONE,30
SYNTHROID,24
METHOTREXATE,21
CALCIUM,20
REMICADE,19
FOLIC ACID,18
FUROSEMIDE,17
LOSEC,17
VENTOLIN,17
SALBUTAMOL,17
HUMIRA,17
PREVACID,17
VITAMIN D,17
LEVOTHYROXINE,16
MORPHINE,16
NORVASC,15
ACETAMINOPHEN,15
ACLASTA,15
ALLOPURINOL,14
DIPHENHYDRAMINE,14
MULTIVITAMINE(S),14
CLONAZEPAM,14
ADVAIR,14
RANITIDINE,14
COUMADIN,14
SANDOSTATIN LAR 30MG,14
LORAZEPAM,14
HYDROCORTISONE,14
LIPITOR,13
NEXIUM,13
AMITRIPTYLINE,13
DIGOXIN,13
WARFARIN,13
METOPROLOL,13
PANTOLOC,12
DIOVAN,12
BETASERON,12
TYLENOL,12
VITAMIN B12,12
DOMPERIDONE,12
LASIX,12
DEXAMETHASONE,12
FLUTICASONE,12
HYDROCHLOROTHIAZIDE,12
ASA,12
FLOVENT,12
OMEPRAZOLE,12
METFORMIN,12
ATENOLOL TABLETS, BP,12
SEROQUEL,12
CRESTOR,11
ACETYLSALICYLIC ACID,11
SINGULAIR,11
SANDOSTATIN LAR,11
CELEXA,11
ASPIRIN,11
PAXIL,11
PANTOPRAZOLE,11
SANDOSTATIN LAR 20MG,11
ATROVENT,11
ACTONEL,11
L-THYROXINE,10
ERGOCALCIFEROL,10
POTASSIUM CHLORIDE,10
ZOLOFT,10
THYROXINE,10
CYCLOPHOSPHAMIDE,10
ZYPREXA,10
DOCUSATE SODIUM,10
FENTANYL,10
FLONASE - AEM-SUS NAS  50MCG/MD,10
ALTACE,10
COLACE,10
RAMIPRIL,10
CALCIUM CARBONATE,10
EPIVAL,9
LITHIUM,9
CELEBREX,9
EFFEXOR XR,9
BACLOFEN,9
GABAPENTIN,9
XOLAIR,9
AVAPRO,9
INSULIN,9
CLOZARIL,9
PROZAC,9
TYLENOL WITH CODEINE NO. 3 - TAB,9
HEPARIN SODIUM INJECTION, USP,9
ZOPICLONE,9
TRAZODONE,9
METOCLOPRAMIDE,9
ANTIINFECTIVES FOR SYSTEMIC USE,9
SENOKOT,8
HEPARIN SODIUM,8
PAROXETINE,8
PROVERA,8
MOMETASONE FUROATE,8
AMOXICILLIN,8
NORVASC TAB 5MG,8
METHYLPREDNISOLONE NOS,8
ELTROXIN,8
SPIRONOLACTONE,8
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,8
ZANTAC,8
ATIVAN,8
GLYBURIDE,8
BENADRYL,8
RITUXAN,8
PREMARIN,8
FOSAMAX,7
OXAZEPAM,7
VINCRISTINE SULFATE INJECTION USP,7
LITHIUM CARBONATE,7
FERROUS FUMARATE,7
FLUOXETINE,7
PULMICORT,7
AMLODIPINE,7
AZITHROMYCIN,7
TEGRETOL,7
KALETRA,7
ONDANSETRON,7
SENNOSIDES,7
SYMBICORT TURBUHALER,7
COZAAR,7
LANSOPRAZOLE,7
VITAMIN E,7
RABEPRAZOLE,7
ARANESP,7
GRAVOL,7
CARBAMAZEPINE,7
CITALOPRAM,7
RIVOTRIL,7
METRONIDAZOLE,7
OXYCODONE,7
VIOXX,7
REBIF,7
ZOMETA CONCENTRATE,7
FERROUS SULPHATE,7
DILTIAZEM,7
SERAX,7
LISINOPRIL,7
ZOCOR,7
RISPERIDONE,6
ENBREL,6
REBETRON,6
CELLCEPT,6
PARIET,6
HYDROXYZINE,6
CORTEF,6
DALMANE,6
DOXEPIN HYDROCHLORIDE,6
GLEEVEC,6
PREDNISOLONE,6
DIMENHYDRINATE,6
SOLU-MEDROL,6
CLARITHROMYCIN,6
CYCLOSPORINE,6
ADVAIR 500 DISKUS,6
CYTARABINE INJECTION,6
MAGNESIUM,6
CARVEDILOL,6
HYDROMORPHONE,6
NIFEDIPINE,6
ALDACTAZIDE,6
DILANTIN,6
CIPROFLOXACIN,6
CORTICOSTEROID(S),6
PROPYLTHIOURACIL,6
ALENDRONATE,6
ATACAND,6
NITROGLYCERIN,6
CEPHALEXIN,6
VASOTEC,6
FORTEO,6
EPREX STERILE SOLUTION,6
SLOW K 600MG,6
LANOXIN,6
RISPERIDONE (JANSSEN-ORTHO),6
CALCITRIOL,6
CIPRO,6
PHENYTOIN,6
CYANOCOBALAMIN,6
LYRICA,6
DOXORUBICIN HYDROCHLORIDE INJECTION,6
BISOPROLOL,6
PROCYCLIDINE HCL,6
DIAZEPAM,6
HALOPERIDOL,6
IMOVANE,6
LOXAPINE,6
INDERAL,5
AFINITOR,5
VITAMIN C,5
AMIODARONE,5
CODEINE,5
CORDARONE,5
LANTUS,5
DILAUDID,5
DIURETIC(S),5
CISAPRIDE,5
IMIPRAMINE,5
IRON,5
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,5
ARIMIDEX TAB 1MG,5
ENTROPHEN,5
CALCIUM & VITAMIN D,5
TENOFOVIR,5
HALDOL,5
TOPAMAX,5
CLOXACILLIN,5
ACTEMRA,5
WELLBUTRIN,5
ROCALTROL,5
ESTROGENS,5
SPORANOX,5
TAPAZOLE 5MG TABLET,5
HUMALOG,5
ACYCLOVIR,5
METHADONE,5
ATORVASTATIN CALCIUM,5
