drug,countreact
PREDNISONE,111
REMICADE,110
LIPITOR,101
CALCIUM,92
METHOTREXATE,91
SYNTHROID,87
VITAMIN D,85
ATIVAN,82
METFORMIN,81
TYLENOL,80
LUCENTIS,78
CELEBREX,76
ASA,75
FOLIC ACID,74
MULTIVITAMINE(S),72
HYDROCHLOROTHIAZIDE,72
GILENYA,71
CRESTOR,71
METOPROLOL,70
ASPIRIN,67
LOSEC,67
ACTONEL,66
ZOPICLONE,66
HUMIRA,65
ACETAMINOPHEN,65
LORAZEPAM,65
CLONAZEPAM,64
ACLASTA,63
RAMIPRIL,63
PANTOLOC,63
BENADRYL,63
XALATAN,63
ACETYLSALICYLIC ACID,63
AMITRIPTYLINE,62
LASIX,62
NORVASC,61
PAXIL,61
FUROSEMIDE,60
RANITIDINE,60
DEXAMETHASONE,60
VENTOLIN,60
GABAPENTIN,59
ENBREL,59
LYRICA,59
MORPHINE,58
ATENOLOL TABLETS, BP,58
DIOVAN,57
NEXIUM,57
PANTOPRAZOLE,56
TRAZODONE,55
CYMBALTA,54
PREMARIN,54
NAPROXEN,54
FOSAMAX,53
ALTACE,53
SALBUTAMOL,53
LEVOTHYROXINE,53
PLAVIX,53
WARFARIN,53
EFFEXOR XR,52
INSULIN,52
OMEPRAZOLE,52
CITALOPRAM,52
PLAQUENIL,51
DIGOXIN,51
PREVACID,51
VITAMIN C,50
ADVAIR,50
VITAMIN B12,49
ANTIINFECTIVES FOR SYSTEMIC USE,49
HYDROCORTISONE,49
ZYPREXA,49
FLOVENT,49
SEROQUEL,48
ADVIL,48
TYLENOL WITH CODEINE NO. 3 - TAB,48
AVASTIN,48
EZETROL,47
BETASERON,47
AMLODIPINE,46
ALLOPURINOL,46
IMOVANE,45
DILANTIN,45
CONTRACEPTIVES,45
SYMBICORT TURBUHALER,44
GLYBURIDE,44
CELEXA,44
SPIRIVA,44
RITUXAN,44
HYDROMORPHONE,44
IMURAN,44
REBIF,44
COSOPT  -(2%/0.5% OPH DPS),43
AVELOX,43
STEROID(S),43
CHAMPIX,43
VITAMIN E,43
GRAVOL,42
CIALIS,42
AVAPRO,42
DIPHENHYDRAMINE,42
COVERSYL,42
DOCUSATE SODIUM,42
PREDNISOLONE,42
ZOLOFT,42
VIAGRA,42
ELTROXIN,42
VASOTEC,42
NITROGLYCERIN,42
ADALAT XL,42
ELAVIL,41
COUMADIN,41
IBUPROFEN,41
BIAXIN,41
COLACE,41
COZAAR,41
DOMPERIDONE,41
ERGOCALCIFEROL,41
DILAUDID,40
OXAZEPAM,40
BISOPROLOL,40
ATACAND,40
OMEGA - 3,39
VIOXX,39
BACLOFEN,39
VITAMIN B COMPLEX,39
VIGAMOX,39
TYLENOL W CODEINE NO3 TAB,39
SOLU-CORTEF,39
IRON,39
CALCIUM & VITAMIN D,39
REACTINE,38
PARIET,38
CYCLOPHOSPHAMIDE,38
DILTIAZEM,38
SANDOSTATIN LAR 30MG,38
SERAX,38
CORTISONE,38
ASAPHEN,38
DIMENHYDRINATE,38
CIPROFLOXACIN,38
ACTEMRA,37
RABEPRAZOLE,37
ZANTAC,37
CODEINE,36
ACCUTANE ROCHE,36
VOLTAREN,36
FENTANYL,36
VITAMINS,36
ATORVASTATIN CALCIUM,36
CIPRALEX,36
NASONEX,36
RISPERDAL,36
ACYCLOVIR,36
CALCIUM CARBONATE,36
GENTAMICIN,36
HEPARIN SODIUM INJECTION, USP,35
GLEEVEC,35
SIMVASTATIN,35
PRED FORTE 1%,35
RIVOTRIL,35
DEMEROL,35
REFRESH LACRI-LUBE,34
FLOMAX CR,34
PROVERA,34
ZOCOR,34
ALPHAGAN,34
CORTICOSTEROID(S),34
SENOKOT,34
LITHIUM,34
SINGULAIR,34
SOLU-MEDROL,33
LEUCOVORIN,33
CYCLOBENZAPRINE,33
FLUCONAZOLE,33
TECTA,33
PERCOCET,33
ARTHROTEC,33
PROZAC,33
ALENDRONATE,33
XOLAIR,33
METOCLOPRAMIDE,33
LANSOPRAZOLE,33
GLUCOSAMINE,33
AMOXICILLIN,33
TEGRETOL,33
STEMETIL,32
NEURONTIN,32
SPIRONOLACTONE,32
POTASSIUM CHLORIDE,32
CYCLOSPORINE,32
WELLBUTRIN SR,32
LUMIGAN,32
ERYTHROMYCIN,32
ATROPINE,32
AZATHIOPRINE,32
SANDOSTATIN LAR 20MG,32
ONDANSETRON,32
ARAVA,32
CYANOCOBALAMIN,32
SERTRALINE,31
MAGNESIUM,31
LANTUS,31
SANDOSTATIN LAR,31
VITALUX,31
FLUOXETINE,31
MICARDIS,31
DIPHENHYDRAMINE HYDROCHLORIDE,31
NIFEDIPINE,31
FLONASE - AEM-SUS NAS  50MCG/MD,31
DECADRON,31
COMBIGAN,31
RATIO-OXYCOCET,31
ANTI-HYPERTENSIVE MEDICATION(S),30
MORPHINE SULFATE,30
TOBRAMYCIN INJECTION USP,30
COMPLETE ALL-IN-ONE SOLUTION,30
CEFAZOLIN FOR INJECTION, USP,30
ATROVENT,30
