drug,countreact
PREDNISONE,285
REMICADE,271
HUMIRA,237
CALCIUM,233
METHOTREXATE,232
VITAMIN D,223
FOLIC ACID,216
TYLENOL,210
SYNTHROID,209
ACETAMINOPHEN,207
LIPITOR,207
FUROSEMIDE,193
MULTIVITAMINE(S),188
PANTOPRAZOLE,187
METOPROLOL,187
PANTOLOC,185
METFORMIN,183
LORAZEPAM,179
ASA,179
ATIVAN,179
NEXIUM,174
CRESTOR,174
ASPIRIN,173
HYDROCHLOROTHIAZIDE,172
ACTONEL,170
LOSEC,168
RANITIDINE,168
RAMIPRIL,167
LASIX,166
CLONAZEPAM,165
OMEPRAZOLE,161
MORPHINE,161
CELEBREX,160
AMITRIPTYLINE,158
VENTOLIN,154
VITAMIN B12,153
ZOPICLONE,152
LEVOTHYROXINE,149
SALBUTAMOL,148
WARFARIN,148
ACETYLSALICYLIC ACID,147
DEXAMETHASONE,146
NORVASC,145
COUMADIN,145
PREVACID,143
PLAVIX,142
IMURAN,141
BENADRYL,139
IRON,139
SANDOSTATIN LAR 30MG,138
ACLASTA,137
ALTACE,137
DOCUSATE SODIUM,135
LYRICA,134
EFFEXOR XR,133
IBUPROFEN,133
RABEPRAZOLE,132
SPIRIVA,132
ERGOCALCIFEROL,132
AMLODIPINE,131
ENBREL,131
GABAPENTIN,130
ATENOLOL TABLETS, BP,129
ALLOPURINOL,129
TYLENOL WITH CODEINE NO. 3 - TAB,128
SANDOSTATIN LAR,128
BISOPROLOL,127
NAPROXEN,127
HYDROMORPHONE,127
VITAMIN C,126
NITROGLYCERIN,126
CLOZARIL,125
CELEXA,124
ANTIINFECTIVES FOR SYSTEMIC USE,124
ZANTAC,123
CIPROFLOXACIN,123
PARIET,123
FOSAMAX,123
DIGOXIN,123
TRAZODONE,123
GRAVOL,121
CODEINE,121
DOMPERIDONE,121
INSULIN,120
FENTANYL,119
SEROQUEL,119
GLYBURIDE,119
SENOKOT,118
CALCIUM & VITAMIN D,118
CALCIUM CARBONATE,118
DIMENHYDRINATE,118
HYDROCORTISONE,118
CITALOPRAM,118
ATORVASTATIN CALCIUM,117
AZATHIOPRINE,117
SANDOSTATIN LAR 20MG,116
METRONIDAZOLE,116
FERROUS SULPHATE,115
FLOVENT,114
METOCLOPRAMIDE,114
OXAZEPAM,113
PAXIL,113
COLACE,113
ZYPREXA,111
ELAVIL,111
DIOVAN,110
CYANOCOBALAMIN,108
PREMARIN,107
ELTROXIN,106
ADVAIR,106
IMOVANE,104
OXYCODONE,104
EZETROL,104
FERROUS GLUCONATE,103
LANSOPRAZOLE,103
CIPRO,103
DILTIAZEM,103
POTASSIUM CHLORIDE,102
CYMBALTA,102
VITAMIN E,101
RITUXAN,100
AVASTIN,100
AVAPRO,100
DILAUDID,99
SYMBICORT TURBUHALER,99
ACTEMRA,99
SINGULAIR,99
PERCOCET,99
SIMVASTATIN,98
FLAGYL,98
ADALAT XL,98
CHAMPIX,98
ADVIL,98
CLINDAMYCIN,96
ALENDRONATE,96
VIOXX,96
DIPHENHYDRAMINE,96
COVERSYL,96
COZAAR,95
MAGNESIUM,95
FORTEO,94
XELODA,94
IMODIUM,93
PAROXETINE,93
ONDANSETRON,92
VITAMINS,92
VITAMIN B COMPLEX,92
ATACAND,92
DIAZEPAM,91
CYCLOPHOSPHAMIDE,90
SPIRONOLACTONE,90
EXJADE,90
SOLU-CORTEF,90
ARTHROTEC,90
LEUCOVORIN,89
PLAQUENIL,89
GLUCOSAMINE,89
NIFEDIPINE,89
CYCLOBENZAPRINE,88
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,88
VENLAFAXINE XR,88
CIPRALEX,88
HCTZ,87
CARBAMAZEPINE,87
SANDOSTATIN,87
DIDROCAL-400MG(ETIDRONATE DISOD.)TAB AND 1250MG(CA CARB.)TAB(500MG CA),87
AMOXICILLIN,87
ASAPHEN,86
FLUCONAZOLE,86
ATROVENT,86
CORTISONE,85
METAMUCIL,85
MORPHINE SULFATE,85
SULFASALAZINE,85
AVELOX,85
VASOTEC,85
HYDROXYCHLOROQUINE,85
ZOLOFT,84
LACTULOSE,84
NAPROSYN,84
DOCUSATE NOS,84
PRADAX,84
DILANTIN,84
STEMETIL,84
MERCAPTOPURINE,84
EPREX STERILE SOLUTION,84
DICLOFENAC,83
BETASERON,83
XOLAIR,83
HEPARIN SODIUM INJECTION, USP,83
NYSTATIN,82
DEMEROL,81
ACETYLSALICYLIC ACID ENT CTD,81
LISINOPRIL,80
GENTAMICIN,80
SERAX,80
ANTI-HYPERTENSIVE MEDICATION(S),80
PROZAC,80
VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP,80
RISPERDAL,79
LANOXIN,79
TEMAZEPAM,79
VOLTAREN,79
NASONEX,78
PULMICORT,78
FRAGMIN,78
HEPARIN SODIUM,78
LOMOTIL,77
AMPICILLIN,77
BACLOFEN,77
SOLU-MEDROL,77
BIAXIN,77
GLEEVEC,76
TECTA,76
HYDROXYZINE,76
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,76
MICARDIS,76
VINCRISTINE SULFATE INJECTION USP,76
OXYCONTIN,76
QUETIAPINE,75
MIRTAZAPINE,75
ORENCIA,75
LOPERAMIDE,75
EPIVAL,74
LITHIUM,74
SERTRALINE,74
DOXORUBICIN HYDROCHLORIDE INJECTION,74
ZOCOR,74
TYLENOL W CODEINE NO3 TAB,73
FLUOROURACIL,73
MIDAZOLAM INJECTION,73
RISEDRONATE SODIUM,73
ASACOL,73
NEURONTIN,72
MELOXICAM,72
MS CONTIN,72
TEGRETOL,72
CYCLOSPORINE,72
RIVOTRIL,72
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,72
LANTUS,72
SLOW K 600MG,71
OXYGEN,71
GLUCOPHAGE,71
BISACODYL,71
CELLCEPT,71
ALPRAZOLAM,71
LAMOTRIGINE,71
OMEGA - 3,71
REACTINE,71
SODIUM BICARBONATE,70
ENTERIC COATED ASA,70
BLOOD WHOLE,70
RISPERIDONE,70
TUMS,70
VITAMIN K,70
ENTROPHEN,70
LEFLUNOMIDE,70
PHENYTOIN,70
OLANZAPINE,69
ARAVA,69
SEPTRA,69
HUMALOG,69
TRAMACET,69
ZOFRAN,69
TOTAL PARENTERAL NUTRITION (TPN),69
MAALOX,69
CONTRACEPTIVES,69
SENNA,68
ACYCLOVIR,68
POTASSIUM,68
PACKED RED BLOOD CELLS,68
NORTRIPTYLINE,67
PENTASA,67
CEPHALEXIN,67
TETRACYCLINE,67
ESTROGENS,67
ALDACTONE,67
NORVASC TAB 5MG,67
NORMAL SALINE,67
WELLBUTRIN,66
DIABETA,66
LAXATIVES,66
RATIO-OXYCOCET,66
INDAPAMIDE,66
ACCUTANE ROCHE,66
EXTRANEAL,65
ARANESP,65
SALOFALK,65
NITRO-DUR,65
LACTULOSE SYRUP,65
FLUTICASONE,65
CLOXACILLIN,64
SULCRATE,64
CLARITHROMYCIN,64
CHOLESTYRAMINE,64
INDOMETHACIN,64
CLONIDINE,64
TYLENOL EXTRA STRENGTH TAB 500MG,64
DECADRON,64
BUDESONIDE,63
AMIODARONE,63
DYAZIDE TAB,63
PRAVASTATIN SODIUM,63
ENTERIC COATED A.S.A,63
XANAX,63
CHOLECALCIFEROL,63
NOVASEN,63
IRBESARTAN,63
LOPRESOR,63
THYROXINE,62
FLUOXETINE,62
AVANDIA,62
ARIMIDEX TAB 1MG,62
TACROLIMUS,62
TOBRAMYCIN INJECTION USP,62
VALSARTAN,61
FLOMAX CR,61
XARELTO,61
VITAMIN B6,61
TORADOL,61
VALPROIC ACID,61
BUSCOPAN,61
STUDY DRUG,61
STEROID(S),61
REVLIMID,61
ZITHROMAX,61
OXYBUTYNIN,61
CYTOTEC,61
PERINDOPRIL,61
REBIF,60
CONJUGATED ESTROGENS,60
ERYTHROMYCIN,60
MAXERAN,60
DIAMICRON,60
FENOFIBRATE,60
SUCRALFATE,60
ARICEPT,59
SENNOSIDES,59
CIMETIDINE,59
CARDIZEM,59
FISH OIL,59
CORTICOSTEROID(S),59
PREDNISOLONE,59
SUTENT,59
IV FLUIDS,58
DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM,58
CEFAZOLIN FOR INJECTION, USP,58
FLOMAX,58
ENALAPRIL,58
BUPROPION,58
CIMZIA,58
OXYCODONE-ACETAMINOPHEN,58
ADVAIR DISKUS,58
TOPAMAX,57
PROVERA,57
MYCOPHENOLATE MOFETIL,57
PYRIDOXINE,57
ESTRADERM,57
HYDROMORPH CONTIN,57
ESOMEPRAZOLE,57
ANTINEOPLASTIC(S),57
AVALIDE,57
DIURETIC(S),57
FAMOTIDINE,57
MAVIK,57
EFFEXOR NOS,57
LUPRON DEPOT,57
L-THYROXINE,57
K-DUR,57
FLUIDS,57
ETHANOL,56
INDOCID,56
QUININE,56
EPINEPHRINE,56
AMOXIL,56
NEUPOGEN,56
PRAVACHOL,56
ANTACID,56
PROCHLORPERAZINE,56
ZYBAN,56
AFINITOR,56
ROSUVASTATIN,55
PROGRAF,55
METHADONE,55
COLCHICINE,55
NOVORAPID,55
PHENOBARBITAL,55
INTUBATION,55
SULFAMETHOXAZOLE AND TRIMETHOPRIM,55
RESTORIL,55
DULCOLAX,54
PEPCID,54
PALAFER,54
NOZINAN,54
DICETEL,54
PREPULSID,54
AVODART,54
AZITHROMYCIN,54
EXELON,54
ACCUPRIL,54
LIDOCAINE,54
DIPHENHYDRAMINE HYDROCHLORIDE,54
PEGASYS RBV,54
JANUVIA,53
SINEMET,53
TIAZAC,53
WELLBUTRIN SR,53
REMERON,53
ADALAT,53
VERAPAMIL HCL,53
ANALGESICS,53
HYDRALAZINE,53
XENICAL 120MG CAPSULE,53
APO FUROSEMIDE,53
ATARAX,53
CENTRUM TABLETS,53
ALVESCO,53
FERROUS FUMARATE,53
FLEXERIL   -(10MG),53
DURAGESIC,53
PURINETHOL,52
HALDOL,52
GLYCERYL TRINITRATE,52
DILTIAZEM CD,52
ZOMETA CONCENTRATE,52
KALETRA,52
HALOPERIDOL,52
TAXOTERE,52
CISPLATIN INJECTION,52
VALTREX,51
MOTRIN,51
HUMULIN N INJ 100UNIT/ML,51
ISORDIL,51
MESALAZINE,51
DICLOFENAC SODIUM,51
CYTARABINE INJECTION,51
NEXIUM - 40MG,51
GLICLAZIDE,51
DIVALPROEX SODIUM,51
MOTILIUM TAB 10MG,51
ACETAMINOPHEN AND CODEINE,51
PROBIOTIC,51
HYDRATION,50
ADALAT XL - SRT,50
TENORMIN,50
CARBOCAL D,50
TYLENOL ARTHRITIS PAIN,50
BACTRIM,50
LOVENOX,50
METHYLPREDNISOLONE,50
VANCOMYCIN,50
PROGESTERONE,50
MOBICOX,50
ZESTRIL,50
CALCITRIOL,49
DETROL,49
HYDRODIURIL,49
FOSAVANCE,49
ROCALTROL,49
SEREVENT,49
MIRENA,49
CLOZAPINE,49
IPRATROPIUM,49
NITROFURANTOIN,49
COGENTIN,49
DIFLUCAN,49
FLONASE - AEM-SUS NAS  50MCG/MD,49
TAMSULOSIN,49
ESTRACE,49
CHLORAL HYDRATE SYRUP,49
SEPTRA DS TABLETS,49
MONOPRIL,48
FLEET ENEMA,48
MILK OF MAGNESIA,48
LEVOFLOXACIN,48
IMITREX,48
SIMPONI,48
DALMANE,48
COMBIVENT,48
ASCORBIC ACID (VITAMIN C),48
TERAZOSIN,48
ENOXAPARIN,48
CEFTIN,48
METHYLPREDNISOLONE NOS,48
STIVARGA,48
CETIRIZINE,47
LIPIDIL,47
STATEX,47
ZYPREXA ZYDIS,47
PLATELETS,47
POTASSIUM (NOS),47
SOTALOL,47
EVISTA (60MG),47
ACEBUTOLOL HYDROCHLORIDE,47
BETAMETHASONE,47
DENOSUMAB,47
3TC,47
TAGAMET,47
TIMOLOL,46
CEFTRIAXONE FOR INJECTION USP,46
ENTOCORT CAPSULE 3MG,46
PARACETAMOL,46
LOXAPINE,46
DITROPAN,46
NICODERM,46
STELARA,46
TASIGNA,46
