drug,countreact
PREDNISONE,214
VITAMIN D,198
CALCIUM,193
SYNTHROID,187
LIPITOR,179
TYLENOL,178
METFORMIN,173
METHOTREXATE,172
HUMIRA,170
CLONAZEPAM,167
ACETAMINOPHEN,167
CRESTOR,166
REMICADE,160
VENTOLIN,160
RAMIPRIL,159
FOLIC ACID,158
METOPROLOL,157
ASA,155
ATIVAN,154
LORAZEPAM,151
PANTOLOC,150
MULTIVITAMINE(S),149
CELEBREX,148
FUROSEMIDE,148
ZOPICLONE,145
ASPIRIN,144
VITAMIN B12,141
HYDROCHLOROTHIAZIDE,140
EFFEXOR XR,140
AMITRIPTYLINE,139
GABAPENTIN,136
PANTOPRAZOLE,134
NORVASC,134
RANITIDINE,130
OMEPRAZOLE,129
LYRICA,129
ACETYLSALICYLIC ACID,129
TRAZODONE,128
ADVAIR,128
BENADRYL,126
BACLOFEN,125
NAPROXEN,125
NEXIUM,125
COUMADIN,125
ALTACE,124
ERGOCALCIFEROL,124
LASIX,123
SALBUTAMOL,122
FENTANYL,122
SPIRIVA,121
DEXAMETHASONE,120
WARFARIN,120
ENBREL,120
PLAVIX,119
TYLENOL WITH CODEINE NO. 3 - TAB,119
MORPHINE,118
DOMPERIDONE,117
ACLASTA,117
AMLODIPINE,116
LOSEC,115
CITALOPRAM,115
ANTIINFECTIVES FOR SYSTEMIC USE,115
BISOPROLOL,114
ACTONEL,114
PREVACID,114
DOCUSATE SODIUM,113
LEVOTHYROXINE,113
FLOVENT,112
IBUPROFEN,112
SYMBICORT TURBUHALER,111
IRON,111
INSULIN,111
ELTROXIN,109
HYDROMORPHONE,109
SEROQUEL,109
GRAVOL,109
SANDOSTATIN LAR 30MG,108
COLACE,107
RABEPRAZOLE,107
DILAUDID,107
XOLAIR,107
PERCOCET,107
SANDOSTATIN LAR,107
ALLOPURINOL,106
VITAMIN C,106
BETASERON,106
ATENOLOL TABLETS, BP,105
NITROGLYCERIN,105
DIOVAN,104
ADVIL,104
CIPRALEX,103
OXAZEPAM,103
SINGULAIR,102
PARIET,102
CALCIUM CARBONATE,102
PLAQUENIL,102
CELEXA,100
ELAVIL,100
CODEINE,99
OXYCONTIN,98
CYMBALTA,98
CALCIUM & VITAMIN D,97
IMOVANE,97
GLYBURIDE,97
PREMARIN,97
SANDOSTATIN LAR 20MG,96
ATORVASTATIN CALCIUM,96
COVERSYL,95
ZANTAC,95
REBIF,95
SIMVASTATIN,95
PAXIL,95
SENOKOT,94
VENLAFAXINE XR,93
NASONEX,92
RITUXAN,92
CYCLOBENZAPRINE,90
FOSAMAX,89
HYDROCORTISONE,89
COZAAR,89
DIGOXIN,89
OXYCODONE,89
ARTHROTEC,88
DILANTIN,88
REACTINE,88
QUETIAPINE,88
VITAMIN B COMPLEX,88
METOCLOPRAMIDE,87
ANTI-HYPERTENSIVE MEDICATION(S),87
EZETROL,86
ACTEMRA,86
PAROXETINE,86
DILTIAZEM,85
ATROVENT,85
CLOZARIL,85
ATACAND,84
MAGNESIUM,84
NEURONTIN,84
LANSOPRAZOLE,84
CORTISONE,84
IMURAN,83
SERTRALINE,83
ALENDRONATE,83
VITAMINS,83
DIAZEPAM,83
PULMICORT,82
CHAMPIX,82
LACTULOSE,82
SANDOSTATIN,82
AZATHIOPRINE,82
HEPARIN SODIUM,82
FORTEO,82
HUMALOG,82
AVAPRO,81
LITHIUM,81
DIPHENHYDRAMINE,81
LANTUS,80
WELLBUTRIN,80
HYDROMORPH CONTIN,80
ARAVA,79
ZYPREXA,79
CARBAMAZEPINE,79
GLUCOSAMINE,78
MIRTAZAPINE,78
FERROUS GLUCONATE,78
VITAMIN E,78
CYANOCOBALAMIN,78
ORENCIA,77
FERROUS SULPHATE,77
POTASSIUM CHLORIDE,77
MORPHINE SULFATE,77
SOLU-CORTEF,77
LISINOPRIL,76
MELOXICAM,76
TECTA,76
PROZAC,75
SPIRONOLACTONE,75
ALPRAZOLAM,75
METRONIDAZOLE,75
FLOMAX CR,75
HYDROXYCHLOROQUINE,74
TOPAMAX,74
ADALAT XL,74
ZOMETA CONCENTRATE,74
CIPRO,74
DIMENHYDRINATE,74
ZOLOFT,74
FRAGMIN,73
EPREX STERILE SOLUTION,73
ONDANSETRON,73
HCTZ,73
MIRENA,73
OXYBUTYNIN,72
OMEGA - 3,72
DEMEROL,71
TEMAZEPAM,71
MICARDIS,71
RISPERDAL,71
DICLOFENAC,71
LUPRON DEPOT,71
SULFASALAZINE,71
ZOCOR,71
EXTRANEAL,71
TRAMACET,70
CHOLECALCIFEROL,70
GLICLAZIDE,70
CIPROFLOXACIN,70
LEUCOVORIN,69
NIFEDIPINE,69
HYDROXYZINE,69
FLUOXETINE,69
ASAPHEN,69
ACYCLOVIR,69
NOVORAPID,69
BUPROPION,68
AMIODARONE,68
REMERON,68
CORTICOSTEROID(S),68
RISPERIDONE,68
METHADONE,68
TEGRETOL,68
CLINDAMYCIN,68
CYCLOPHOSPHAMIDE,68
AVASTIN,68
AVELOX,67
RATIO-OXYCOCET,67
CONTRACEPTIVES,67
CLONIDINE,67
LEFLUNOMIDE,67
XALATAN,67
DIPHENHYDRAMINE HYDROCHLORIDE,67
STEMETIL,67
EPIVAL,66
ETHANOL,66
RIVOTRIL,66
OXYGEN,65
SERAX,65
VASOTEC,65
NAPROSYN,65
DETROL,65
AVANDIA,65
VALSARTAN,64
AMOXICILLIN,64
SENNOSIDES,64
LOPRESOR,64
NORTRIPTYLINE,64
FLAGYL,63
LAMOTRIGINE,63
ZOFRAN,63
EPINEPHRINE,63
PRISTIQ,63
PHENOBARBITAL,63
ESTROGEL,63
ROSUVASTATIN,63
ANTINEOPLASTIC(S),63
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,63
COPAXONE,63
FENOFIBRATE,62
OLANZAPINE,62
PHENYTOIN,62
BUDESONIDE,62
THYROXINE,61
XANAX,61
TYLENOL ARTHRITIS PAIN,61
PRADAX,61
VALPROIC ACID,61
DIAMICRON,61
NYSTATIN,61
MS CONTIN,60
CYCLOSPORINE,60
FLONASE - AEM-SUS NAS  50MCG/MD,60
INDAPAMIDE,60
MIDAZOLAM INJECTION,60
LACTULOSE SYRUP,60
FLUTICASONE,60
ASCORBIC ACID (VITAMIN C),60
VOLTAREN,60
ENALAPRIL,60
DIVALPROEX SODIUM,60
SOLU-MEDROL,59
ARANESP,59
TYLENOL EXTRA STRENGTH TAB 500MG,59
TOPIRAMATE,59
LIDOCAINE,59
ALVESCO,59
AVALIDE,59
PRAVASTATIN SODIUM,59
TUBERSOL,59
LOPERAMIDE,59
CONJUGATED ESTROGENS,59
MAVIK,58
RITALIN,58
ADVAIR DISKUS,58
ESTROGENS,58
PREDNISOLONE,58
AMANTADINE,58
LOVENOX,58
HALOPERIDOL,58
VERAPAMIL HCL,58
DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM,58
HYZAAR,58
ENDOCET,58
REVLIMID,58
NORVASC TAB 5MG,58
METHYLPREDNISOLONE,58
AFINITOR,58
DOCUSATE NOS,57
FLUCONAZOLE,57
AERIUS,57
PROPRANOLOL,57
ENTERIC COATED ASA,57
HEPARIN SODIUM INJECTION, USP,57
PROCHLORPERAZINE,57
CIALIS,57
FISH OIL,57
MARIJUANA,57
CLOXACILLIN,57
HUMULIN N INJ 100UNIT/ML,56
WELLBUTRIN SR,56
VITALUX,56
SIMPONI,56
VIOXX,56
XELODA,56
FOSAVANCE,56
ZOSTAVAX,56
ALDACTONE,56
ASACOL,56
RATIO-FENTANYL,56
RISEDRONATE SODIUM,56
TYLENOL W CODEINE NO3 TAB,55
CEFAZOLIN FOR INJECTION, USP,55
VOLTAREN EMULGEL,55
TORADOL,55
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,55
PROPOFOL INJECTION,55
MOBICOX,55
LOMOTIL,55
TRAMADOL HYDROCHLORIDE,55
IMODIUM,55
TAMSULOSIN,55
BUSCOPAN,55
FERROUS FUMARATE,54
VITAMIN K,54
DURAGESIC,54
CELLCEPT,54
CESAMET,54
SINEMET,54
VINCRISTINE SULFATE INJECTION USP,54
VITAMIN B6,54
SLOW K 600MG,54
TIAZAC,54
GLUCOPHAGE,54
ENTROPHEN,54
OMEGA 3-6-9,54
ERYTHROMYCIN,54
PERINDOPRIL,53
IMITREX,53
MELATONIN,53
FLOMAX,53
METAMUCIL,53
CEPHALEXIN,53
EFFEXOR NOS,53
ACCUPRIL,53
SENNA,53
YASMIN 28,53
ARIMIDEX TAB 1MG,53
INDOMETHACIN,53
BIAXIN,52
PYRIDOXINE,52
PEGASYS RBV,52
