drug,countreact
PREDNISONE,55
ACETAMINOPHEN,48
REMICADE,45
METFORMIN,43
ASA,41
LIPITOR,41
PANTOLOC,41
HUMIRA,40
TYLENOL,39
VITAMIN D,39
MORPHINE,39
LASIX,39
CALCIUM,39
METHOTREXATE,39
HYDROCHLOROTHIAZIDE,38
ATIVAN,37
ZOPICLONE,37
VITAMIN B12,37
SYNTHROID,37
RAMIPRIL,37
RANITIDINE,37
FOLIC ACID,37
LOSEC,36
FUROSEMIDE,36
PANTOPRAZOLE,36
MULTIVITAMINE(S),35
METOPROLOL,35
LORAZEPAM,35
ASPIRIN,34
NORVASC,34
CLONAZEPAM,34
CYCLOSPORINE,33
CRESTOR,33
NEXIUM,32
IBUPROFEN,32
WARFARIN,32
VENTOLIN,31
ANTIINFECTIVES FOR SYSTEMIC USE,31
EFFEXOR XR,31
IMURAN,31
TRAZODONE,30
LEVOTHYROXINE,30
AZATHIOPRINE,30
CIPROFLOXACIN,30
OMEPRAZOLE,30
CELEXA,30
DIPHENHYDRAMINE,30
ENBREL,29
SEROQUEL,29
CELEBREX,29
SANDOSTATIN LAR 30MG,28
TYLENOL WITH CODEINE NO. 3 - TAB,28
DOMPERIDONE,28
ATENOLOL TABLETS, BP,28
ZYPREXA,28
RITUXAN,28
ACETYLSALICYLIC ACID,28
PREVACID,27
GRAVOL,27
FERROUS SULPHATE,27
ZANTAC,27
FENTANYL,27
VITAMIN K,27
SANDOSTATIN LAR 20MG,27
INSULIN,27
BENADRYL,27
SPIRONOLACTONE,27
CLOZARIL,27
COUMADIN,27
HYDROMORPHONE,26
REBIF,26
SALBUTAMOL,26
NITROGLYCERIN,26
PERCOCET,26
VITAMIN E,26
CODEINE,25
DEXAMETHASONE,25
VITAMIN C,25
POTASSIUM CHLORIDE,25
PLAVIX,25
NAPROXEN,25
ELTROXIN,25
DILANTIN,25
VASOTEC,25
LITHIUM,24
TEGRETOL,24
FLUCONAZOLE,24
ACTONEL,24
CIPRO,24
PAXIL,24
SENOKOT,24
AMOXICILLIN,24
COLACE,24
AMIODARONE,24
SANDOSTATIN LAR,23
FOSAMAX,23
DIMENHYDRINATE,23
GLYBURIDE,23
PARIET,23
RIVOTRIL,23
URSODIOL,23
ALLOPURINOL,23
DIOVAN,23
HYDROCORTISONE,23
ALTACE,23
PREMARIN,23
BACLOFEN,22
CALCIUM CARBONATE,22
DIGOXIN,22
RABEPRAZOLE,22
AMITRIPTYLINE,22
AVAPRO,22
MIDAZOLAM INJECTION,22
DILTIAZEM,22
COZAAR,22
CIPRALEX,22
METRONIDAZOLE,22
HYDROXYZINE,21
HUMULIN N INJ 100UNIT/ML,21
VIOXX,21
YASMIN 28,21
IRON,21
RISPERDAL,21
OLANZAPINE,21
CYCLOPHOSPHAMIDE,21
QUETIAPINE,21
CONTRACEPTIVES,21
METOCLOPRAMIDE,21
ATARAX,21
ACTEMRA,21
FLAGYL,21
ALENDRONATE,21
3TC,20
FLOVENT,20
AMLODIPINE,20
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,20
VINCRISTINE SULFATE INJECTION USP,20
OXAZEPAM,20
RISPERIDONE,20
NIFEDIPINE,20
CALCIUM & VITAMIN D,20
DIAZEPAM,20
EPREX STERILE SOLUTION,20
DOCUSATE SODIUM,20
HEPARIN SODIUM INJECTION, USP,20
IMOVANE,20
LACTULOSE SYRUP,20
SIMVASTATIN,20
BIAXIN,20
GABAPENTIN,20
STEMETIL,20
AVELOX,20
TYLENOL EXTRA STRENGTH TAB 500MG,20
LYRICA,20
ONDANSETRON,19
EZETROL,19
CHOLESTYRAMINE,19
GLUCOSAMINE,19
ZOCOR,19
TYLENOL W CODEINE NO3 TAB,19
PROGRAF,19
ATORVASTATIN CALCIUM,19
RIFAMPIN,19
ISONIAZID,19
MYCOPHENOLATE MOFETIL,19
ARTHROTEC,19
CITALOPRAM,19
VENLAFAXINE XR,19
ATACAND,19
LACTULOSE,19
LEUCOVORIN,19
LISINOPRIL,19
ATROVENT,19
