drug,countreact
PREDNISONE,36
REMICADE,27
VENTOLIN,25
CYCLOSPORINE,25
RANITIDINE,23
CALCIUM,23
VITAMIN D,23
METOPROLOL,23
METHOTREXATE,22
TYLENOL,22
ACETAMINOPHEN,21
RITUXAN,21
LIPITOR,21
FOLIC ACID,21
SYNTHROID,20
CYCLOPHOSPHAMIDE,20
METFORMIN,20
ASPIRIN,19
XOLAIR,19
NORVASC,19
FUROSEMIDE,19
CIPROFLOXACIN,18
LOSEC,18
MORPHINE,18
DEXAMETHASONE,18
CRESTOR,18
ADVAIR,18
PANTOPRAZOLE,17
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,17
ENBREL,17
MULTIVITAMINE(S),17
ACYCLOVIR,17
NYSTATIN,17
MYCOPHENOLATE MOFETIL,17
SOLU-MEDROL,17
SINGULAIR,17
RAMIPRIL,17
NEXIUM,16
ASA,16
ACTONEL,16
CELEBREX,16
SALBUTAMOL,16
ATENOLOL TABLETS, BP,16
PENICILLIN,16
BENADRYL,16
HUMIRA,16
PANTOLOC,16
AMLODIPINE,15
ACETYLSALICYLIC ACID,15
LASIX,15
FLOVENT,15
CORTICOSTEROID(S),15
PREVACID,15
HYDROMORPHONE,15
ATIVAN,15
ACLASTA,15
LORAZEPAM,15
HYDROCORTISONE,14
VITAMIN B12,14
CALCIUM CARBONATE,14
ZANTAC,14
TRAZODONE,14
IBUPROFEN,14
CLONAZEPAM,14
AZATHIOPRINE,14
IMURAN,14
ATROVENT,14
ANTIINFECTIVES FOR SYSTEMIC USE,13
RABEPRAZOLE,13
DIPHENHYDRAMINE,13
HYDROCHLOROTHIAZIDE,13
PULMICORT,13
ZOPICLONE,13
THYMOGLOBULIN,13
NIFEDIPINE,13
DIGOXIN,13
GANCICLOVIR,13
TYLENOL WITH CODEINE NO. 3 - TAB,13
SYMBICORT TURBUHALER,13
GABAPENTIN,13
CO-TRIMOXAZOLE,13
BISOPROLOL,13
OMEPRAZOLE,13
TACROLIMUS,13
LYRICA,13
FOSAMAX,12
DOCUSATE SODIUM,12
DOMPERIDONE,12
GRAVOL,12
FENTANYL,12
WARFARIN,12
REACTINE,12
LISINOPRIL,12
PAXIL,12
VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP,12
PLAQUENIL,12
SPIRONOLACTONE,12
ATACAND,12
ALLOPURINOL,12
NAPROXEN,12
INSULIN,11
AMPICILLIN,11
SOLU-CORTEF,11
SPIRIVA,11
MAGNESIUM,11
