drug,countreact
PREDNISONE,399
REMICADE,382
METHOTREXATE,326
HUMIRA,301
FOLIC ACID,253
ENBREL,251
CALCIUM,227
ACETAMINOPHEN,204
VITAMIN D,204
SYNTHROID,181
TYLENOL,175
CELEBREX,173
METFORMIN,171
LIPITOR,167
VENTOLIN,165
PANTOLOC,165
FUROSEMIDE,160
IMURAN,158
NORVASC,154
CLONAZEPAM,152
PANTOPRAZOLE,151
ATIVAN,150
RAMIPRIL,149
PLAQUENIL,147
ZOPICLONE,147
ACTEMRA,147
METOPROLOL,146
HYDROCHLOROTHIAZIDE,145
ASPIRIN,143
MULTIVITAMINE(S),142
ADVAIR,141
VITAMIN B12,141
LORAZEPAM,141
ACTONEL,139
ASA,138
SALBUTAMOL,138
ORENCIA,136
ANTIINFECTIVES FOR SYSTEMIC USE,136
RITUXAN,135
AMITRIPTYLINE,134
BENADRYL,134
RANITIDINE,134
LASIX,134
GABAPENTIN,133
NEXIUM,133
LOSEC,132
CRESTOR,132
ACETYLSALICYLIC ACID,129
ERGOCALCIFEROL,124
NAPROXEN,124
CITALOPRAM,123
AZATHIOPRINE,123
HYDROMORPHONE,123
XOLAIR,123
PREVACID,123
DEXAMETHASONE,122
MORPHINE,122
TRAZODONE,121
CLOZARIL,119
OMEPRAZOLE,118
LYRICA,118
ATENOLOL TABLETS, BP,114
INSULIN,113
TYLENOL WITH CODEINE NO. 3 - TAB,113
CIPROFLOXACIN,113
FOSAMAX,112
AMLODIPINE,111
IRON,111
EFFEXOR XR,110
LEVOTHYROXINE,109
CALCIUM CARBONATE,109
RABEPRAZOLE,109
CYCLOSPORINE,108
COLACE,106
ARAVA,105
GRAVOL,105
HYDROCORTISONE,104
PARIET,104
SPIRIVA,104
DOCUSATE SODIUM,104
ACLASTA,104
CALCIUM & VITAMIN D,103
HYDROXYCHLOROQUINE,103
SYMBICORT TURBUHALER,103
CODEINE,102
COUMADIN,102
BISOPROLOL,102
PLAVIX,101
CELEXA,101
CYANOCOBALAMIN,101
SINGULAIR,100
FLOVENT,100
ZYPREXA,100
SOLU-CORTEF,99
ALLOPURINOL,98
ZANTAC,98
ALTACE,97
IBUPROFEN,97
WARFARIN,96
CORTISONE,96
DILAUDID,96
VITAMIN C,95
SULFASALAZINE,95
DOMPERIDONE,95
SANDOSTATIN LAR 30MG,95
ALENDRONATE,95
FENTANYL,94
PAXIL,93
CYCLOPHOSPHAMIDE,92
REVLIMID,92
TACROLIMUS,92
METRONIDAZOLE,91
NYSTATIN,91
ELAVIL,91
CIMZIA,90
MYCOPHENOLATE MOFETIL,90
GLYBURIDE,90
DIOVAN,89
OXAZEPAM,89
BETASERON,89
FLUCONAZOLE,89
IMOVANE,88
OXYCODONE,88
SEROQUEL,88
CLINDAMYCIN,88
METOCLOPRAMIDE,88
PROGRAF,88
SANDOSTATIN LAR,88
CELLCEPT,87
SENOKOT,86
PREMARIN,85
SIMPONI,85
ARTHROTEC,84
AVAPRO,84
ELTROXIN,83
CIPRALEX,83
DIMENHYDRINATE,83
MELOXICAM,82
DILTIAZEM,82
FORTEO,82
FERROUS GLUCONATE,81
DIPHENHYDRAMINE,81
ATORVASTATIN CALCIUM,81
PERCOCET,80
EXTRANEAL,79
SIMVASTATIN,79
OXYCONTIN,79
FERROUS SULPHATE,78
MICARDIS,78
SOLU-MEDROL,78
AMOXICILLIN,78
LEFLUNOMIDE,78
NITROGLYCERIN,77
ATACAND,76
DIGOXIN,76
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,76
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,75
SANDOSTATIN LAR 20MG,75
CORTICOSTEROID(S),75
POTASSIUM CHLORIDE,75
ACYCLOVIR,75
LANSOPRAZOLE,75
GENTAMICIN,74
CYMBALTA,74
LEUCOVORIN,74
CIPRO,74
COVERSYL,73
ATROVENT,73
CYCLOBENZAPRINE,73
HYDROMORPH CONTIN,73
VENLAFAXINE XR,72
CLOXACILLIN,72
DILANTIN,72
FLAGYL,72
ADVIL,72
STELARA,71
IMODIUM,71
MAGNESIUM,71
VITAMIN B COMPLEX,70
METHYLPREDNISOLONE NOS,70
EPREX STERILE SOLUTION,70
WELLBUTRIN,69
DICLOFENAC,68
LOPERAMIDE,68
AVASTIN,68
REBIF,68
EPIVAL,67
MORPHINE SULFATE,67
PAROXETINE,67
DIPHENHYDRAMINE HYDROCHLORIDE,66
ASACOL,66
DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM,66
CEPHALEXIN,66
GILENYA,66
VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP,66
VOLTAREN,66
ANTI-HYPERTENSIVE MEDICATION(S),65
SERTRALINE,65
ONDANSETRON,65
MIRTAZAPINE,64
ARANESP,64
VIOXX,64
LEVOFLOXACIN,64
VASOTEC,64
SPIRONOLACTONE,63
ADALAT XL,63
LOMOTIL,63
FRAGMIN,63
VINCRISTINE SULFATE INJECTION USP,63
PROCHLORPERAZINE,63
BIAXIN,63
COZAAR,63
EZETROL,63
ZOLOFT,62
INDOMETHACIN,62
VITAMIN E,62
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,62
BACLOFEN,61
FLUTICASONE,61
NAPROSYN,61
LACTULOSE,61
QUETIAPINE,61
REACTINE,60
CHOLECALCIFEROL,60
SALOFALK,60
NASONEX,60
DICLOFENAC SODIUM,60
VITAMINS,60
LITHIUM,60
RAPAMUNE,59
METHYLPREDNISOLONE,59
OXYGEN,59
HCTZ,59
HEPARIN SODIUM,59
TEMAZEPAM,59
NIFEDIPINE,59
PREDNISOLONE,58
DEMEROL,58
STUDY DRUG,58
NORTRIPTYLINE,58
PURINETHOL,58
MIRENA,57
OMEGA - 3,57
LISINOPRIL,57
DIAZEPAM,57
BUPROPION,56
AMPICILLIN,56
LANTUS,56
BUDESONIDE,56
CONTRACEPTIVES,56
TECTA,56
PENICILLIN,56
STEMETIL,56
RATIO-OXYCOCET,55
AZITHROMYCIN,55
RISEDRONATE SODIUM,55
SEPTRA,55
PROZAC,55
TRAMACET,55
PENTASA,55
GLUCOSAMINE,54
ZITHROMAX,54
EXJADE,54
VANCOMYCIN,54
CEFAZOLIN FOR INJECTION, USP,54
HYDROXYZINE,53
K-DUR,53
TYSABRI,53
BACTRIM,53
CLARITHROMYCIN,52
POTASSIUM,52
PANTOPRAZOLE SODIUM,52
RIVOTRIL,52
SEPTRA INJECTION,52
METHOTREXATE INJECTION, USP,52
NEUPOGEN,52
ALVESCO,52
TOBRAMYCIN INJECTION USP,51
CARBAMAZEPINE,51
SENNA,51
VITAMIN B6,51
FLUOXETINE,51
SENNOSIDES,51
PEGETRON,51
NOVORAPID,51
ASCORBIC ACID (VITAMIN C),50
SERAX,50
OXYBUTYNIN,50
ASAPHEN,50
LACTULOSE SYRUP,50
METHADONE,50
GLEEVEC,50
HUMALOG,50
CLONIDINE,50
DOXORUBICIN HYDROCHLORIDE INJECTION,50
RISPERIDONE,49
VALSARTAN,49
ZOFRAN,49
MERCAPTOPURINE,49
KEFLEX,49
ERYTHROMYCIN,48
HEPARIN SODIUM INJECTION, USP,48
PEGASYS RBV,48
MIDAZOLAM INJECTION,48
VALTREX,48
MOBICOX,48
PACKED RED BLOOD CELLS,48
LUPRON DEPOT,48
TRIMETHOPRIM-SULFAMETHOXAZOLE,48
PULMICORT,47
ENTROPHEN,47
ADVAGRAF,47
MS CONTIN,47
AMOXIL,47
AVELOX,47
ACETAMINOPHEN AND CODEINE,47
RISPERDAL,47
GANCICLOVIR,46
CARBOCAL D,46
VITAMIN K,46
TRAMADOL HYDROCHLORIDE,46
DIAMICRON,46
XALATAN,46
OXYCODONE-ACETAMINOPHEN,46
FERROUS FUMARATE,46
DIDROCAL-400MG(ETIDRONATE DISOD.)TAB AND 1250MG(CA CARB.)TAB(500MG CA),46
ZOMETA CONCENTRATE,46
ALPRAZOLAM,45
TYLENOL W CODEINE NO3 TAB,45
XELODA,45
ISONIAZID,45
TERAZOSIN,45
CHAMPIX,45
ANTINEOPLASTIC(S),45
HYZAAR,45
ANCEF,45
BUSCOPAN,44
PHENYTOIN,44
QUININE,44
CEFTAZIDIME FOR INJECTION, USP,44
FLOMAX CR,44
BETAMETHASONE,44
DENOSUMAB,44
AVALIDE,44
FLONASE - AEM-SUS NAS  50MCG/MD,44
ENALAPRIL,44
VALACYCLOVIR,44
VALGANCICLOVIR,44
STEROID(S),43
ZYPREXA ZYDIS,43
THYROXINE,43
GLICLAZIDE,43
TAMSULOSIN,43
INDAPAMIDE,43
TAZOCIN,43
CEFTRIAXONE FOR INJECTION USP,43
LEVAQUIN,43
ROSUVASTATIN,43
TEGRETOL,43
SODIUM BICARBONATE,43
LOPRESOR,43
REMERON,42
DOXYCYCLINE,42
ESTROGENS,42
METAMUCIL,42
PIPERACILLIN/TAZOBACTAM,42
VALPROIC ACID,42
DETROL,42
NEURONTIN,42
CONJUGATED ESTROGENS,42
ESTRADIOL,42
PROVERA,42
AFINITOR,42
