drug,countreact
PREDNISONE,207
REMICADE,202
HUMIRA,182
METHOTREXATE,167
CALCIUM,160
TYLENOL,156
FOLIC ACID,149
VITAMIN D,148
SYNTHROID,144
LIPITOR,142
ACETAMINOPHEN,137
MULTIVITAMINE(S),136
METFORMIN,131
METOPROLOL,129
ASA,128
ACLASTA,124
PANTOLOC,124
LYRICA,119
CELEBREX,119
CRESTOR,118
ZOPICLONE,118
HYDROCHLOROTHIAZIDE,114
CLONAZEPAM,114
RAMIPRIL,114
PANTOPRAZOLE,109
ATIVAN,109
GABAPENTIN,109
PLAVIX,105
VITAMIN B12,104
ERGOCALCIFEROL,103
ACTONEL,103
SANDOSTATIN LAR 30MG,102
NORVASC,101
NEXIUM,101
VENTOLIN,101
MORPHINE,100
HYDROMORPHONE,100
LORAZEPAM,99
ACETYLSALICYLIC ACID,99
ENBREL,98
FORTEO,98
ASPIRIN,97
FUROSEMIDE,95
EFFEXOR XR,92
RANITIDINE,92
AMLODIPINE,92
LEVOTHYROXINE,92
WARFARIN,91
BETASERON,91
ALTACE,91
SALBUTAMOL,91
IMURAN,91
XOLAIR,89
DILAUDID,88
ACTEMRA,88
PREVACID,88
LASIX,87
ADVAIR,86
PLAQUENIL,86
OXYCODONE,85
SYMBICORT TURBUHALER,84
AMITRIPTYLINE,84
TRAZODONE,83
GRAVOL,83
ATORVASTATIN CALCIUM,83
CITALOPRAM,82
SPIRIVA,82
OMEPRAZOLE,82
VITAMIN C,81
DOCUSATE SODIUM,81
ATENOLOL TABLETS, BP,80
RABEPRAZOLE,80
NAPROXEN,79
BENADRYL,79
FOSAMAX,77
INSULIN,77
BACLOFEN,77
FENTANYL,76
PARIET,76
COUMADIN,75
LOSEC,75
IRON,75
PERCOCET,74
SEROQUEL,72
DOMPERIDONE,72
CYANOCOBALAMIN,72
CELEXA,71
CODEINE,71
TYLENOL WITH CODEINE NO. 3 - TAB,71
IBUPROFEN,71
SINGULAIR,71
CYMBALTA,70
DEXAMETHASONE,70
CALCIUM & VITAMIN D,69
CIPRALEX,69
FLOVENT,69
CALCIUM CARBONATE,68
ADVIL,68
OXYCONTIN,68
SANDOSTATIN LAR,68
ANTIINFECTIVES FOR SYSTEMIC USE,67
SANDOSTATIN LAR 20MG,67
WELLBUTRIN,67
COLACE,67
SENOKOT,66
LUPRON DEPOT,65
RITUXAN,65
REBIF,65
VITAMIN E,65
DIOVAN,64
HYDROCORTISONE,64
ALENDRONATE,64
DILTIAZEM,64
VENLAFAXINE XR,64
ALLOPURINOL,63
PAXIL,63
CHOLECALCIFEROL,63
HYDROXYCHLOROQUINE,63
CLOZARIL,63
SIMVASTATIN,62
DIPHENHYDRAMINE,62
BISOPROLOL,62
ANTI-HYPERTENSIVE MEDICATION(S),62
ARTHROTEC,61
LACTULOSE,60
NITROGLYCERIN,60
CORTISONE,60
ELTROXIN,60
ATACAND,59
AZATHIOPRINE,59
POTASSIUM CHLORIDE,59
COVERSYL,58
DIAZEPAM,58
EXTRANEAL,58
HEPARIN SODIUM,58
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,57
GLYBURIDE,57
OXAZEPAM,57
PRADAX,56
ARAVA,56
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,56
ELAVIL,55
MORPHINE SULFATE,54
EZETROL,54
MAGNESIUM,54
FERROUS SULPHATE,53
NIFEDIPINE,53
IMOVANE,53
FRAGMIN,53
ZYPREXA,52
LANTUS,51
ZANTAC,51
DIMENHYDRINATE,51
CYCLOBENZAPRINE,51
PREMARIN,50
VITAMIN B COMPLEX,50
DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM,50
SULFASALAZINE,49
DICLOFENAC,49
ASAPHEN,49
DIPHENHYDRAMINE HYDROCHLORIDE,49
ORENCIA,48
PAROXETINE,48
HUMALOG,48
TEMAZEPAM,48
AVAPRO,47
COZAAR,47
NYSTATIN,47
DILANTIN,47
METOCLOPRAMIDE,47
VITAMINS,46
XARELTO,46
METHYLPREDNISOLONE,46
SIMPONI,46
LEFLUNOMIDE,46
GILENYA,46
CLONIDINE,45
ATROVENT,45
TRAMACET,44
SOLU-CORTEF,44
REACTINE,43
GLEEVEC,43
FLOMAX CR,43
STELARA,43
SERTRALINE,43
CIMZIA,43
LANSOPRAZOLE,43
AVASTIN,43
SANDOSTATIN,43
GLUCOSAMINE,42
NASONEX,42
PERINDOPRIL,42
ETHANOL,42
MIRTAZAPINE,42
DIDROCAL,42
MS CONTIN,42
LISINOPRIL,41
DIGOXIN,41
CIPRO,41
NEURONTIN,41
SENNOSIDES,41
AMOXICILLIN,41
POTASSIUM,41
ONDANSETRON,41
BUPROPION,41
DETROL,40
MICARDIS,40
TYLENOL ARTHRITIS PAIN,40
CHAMPIX,39
HYDROXYZINE,39
SPIRONOLACTONE,39
FERROUS GLUCONATE,39
ARANESP,39
NAPROSYN,39
AMIODARONE,38
OXYBUTYNIN,38
CELLCEPT,38
QUETIAPINE,38
OXYGEN,38
OMEGA - 3,38
LUCENTIS,38
