drug,countreact
PREDNISONE,81
LIPITOR,72
METFORMIN,71
VITAMIN D,70
SYNTHROID,69
CALCIUM,68
ACETAMINOPHEN,68
FOLIC ACID,68
CLONAZEPAM,67
FUROSEMIDE,66
REMICADE,64
ALTACE,64
LORAZEPAM,64
INSULIN,63
LASIX,62
CLOZARIL,61
METOPROLOL,60
ZYPREXA,60
TYLENOL,59
ATIVAN,59
ASPIRIN,58
HYDROCHLOROTHIAZIDE,58
ZOPICLONE,56
RAMIPRIL,56
PANTOLOC,55
CRESTOR,55
METHOTREXATE,55
MULTIVITAMINE(S),55
CELEXA,55
ASA,55
VENTOLIN,54
EFFEXOR XR,54
LEVOTHYROXINE,53
OMEPRAZOLE,52
GRAVOL,52
ACETYLSALICYLIC ACID,52
RANITIDINE,51
SALBUTAMOL,51
SEROQUEL,51
AMITRIPTYLINE,51
ATENOLOL TABLETS, BP,50
NORVASC,50
CALCIUM CARBONATE,49
MORPHINE,49
PLAVIX,49
CITALOPRAM,49
DEXAMETHASONE,48
DIGOXIN,48
LOSEC,48
ANTIINFECTIVES FOR SYSTEMIC USE,48
CELEBREX,48
POTASSIUM CHLORIDE,48
HYDROMORPHONE,47
PANTOPRAZOLE,47
FENTANYL,47
PAXIL,46
EPIVAL,46
WARFARIN,46
LITHIUM,46
PREVACID,46
GLYBURIDE,46
VITAMIN B12,46
COLACE,45
RISPERIDONE,44
NEXIUM,44
RISPERDAL,44
CODEINE,44
ZANTAC,44
QUETIAPINE,44
COUMADIN,43
ALLOPURINOL,42
HALDOL,42
GABAPENTIN,42
OXAZEPAM,42
FERROUS SULPHATE,42
DOMPERIDONE,42
IBUPROFEN,42
FERROUS GLUCONATE,41
VALPROIC ACID,41
NITROGLYCERIN,41
TRAZODONE,41
ZOLOFT,41
FLOVENT,40
SPIRIVA,40
VIOXX,40
SPIRONOLACTONE,40
ADVAIR,40
DIMENHYDRINATE,39
BISOPROLOL,39
NAPROXEN,39
RABEPRAZOLE,39
HUMIRA,39
IMURAN,38
DILTIAZEM,38
IMOVANE,38
DIAZEPAM,38
AVAPRO,38
HYDROCORTISONE,37
BENADRYL,37
BENZTROPINE,37
MAGNESIUM,37
VASOTEC,37
SIMVASTATIN,37
OXYGEN,37
POTASSIUM (NOS),36
LYRICA,36
TYLENOL WITH CODEINE NO. 3 - TAB,36
HEPARIN SODIUM INJECTION, USP,36
SERTRALINE,36
CIPRO,36
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,36
ACLASTA,36
GLUCOPHAGE,36
PARIET,35
NORMAL SALINE,35
ACTONEL,35
DIPHENHYDRAMINE,35
OLANZAPINE,35
FLUCONAZOLE,35
SODIUM BICARBONATE,35
ACYCLOVIR,34
PROZAC,34
DILANTIN,34
TEMAZEPAM,34
CLONIDINE,34
CIPROFLOXACIN,34
ZYPREXA ZYDIS,34
METOCLOPRAMIDE,34
EZETROL,34
ELAVIL,34
HUMULIN R INJ,34
CYCLOPHOSPHAMIDE,34
ATORVASTATIN CALCIUM,34
ERGOCALCIFEROL,34
SERAX,34
SENOKOT,33
VITAMIN C,33
VITAMINS,33
ETHANOL,33
ENBREL,33
RITUXAN,33
ONDANSETRON,33
METRONIDAZOLE,33
HUMALOG,33
PREMARIN,32
AZATHIOPRINE,32
DIOVAN,32
FOSAMAX,32
PERCOCET,32
ADALAT XL,32
ATROVENT,32
LANTUS,32
ATACAND,32
PAROXETINE,32
EPREX STERILE SOLUTION,32
DILAUDID,32
REMERON,32
TOPAMAX,32
OXYCODONE,32
MIDAZOLAM INJECTION,32
ENTROPHEN,32
DIABETA,31
SYMBICORT TURBUHALER,31
HYDRATION,31
OXYCONTIN,31
DOCUSATE NOS,31
AMLODIPINE,31
HALOPERIDOL,31
ACETYLSALICYLIC ACID ENT CTD,31
DOCUSATE SODIUM,31
LANSOPRAZOLE,31
CIPRALEX,31
LANOXIN,30
ZOCOR,30
SANDOSTATIN LAR,30
CALCIUM & VITAMIN D,30
