drug,countreact
PREDNISONE,158
METHOTREXATE,145
REMICADE,144
CALCIUM,134
HUMIRA,133
VITAMIN D,131
ACETAMINOPHEN,128
SYNTHROID,122
FOLIC ACID,120
ACLASTA,117
CELEBREX,110
HYDROCHLOROTHIAZIDE,109
ACTONEL,109
LIPITOR,109
RAMIPRIL,106
ENBREL,103
MULTIVITAMINE(S),101
TYLENOL,100
CRESTOR,99
LYRICA,97
ASA,96
GABAPENTIN,96
METOPROLOL,94
METFORMIN,92
ATIVAN,92
NAPROXEN,92
ACETYLSALICYLIC ACID,90
ERGOCALCIFEROL,90
FUROSEMIDE,89
PANTOLOC,89
NEXIUM,89
LORAZEPAM,88
ATENOLOL TABLETS, BP,87
ZOPICLONE,86
ASPIRIN,86
PANTOPRAZOLE,85
MORPHINE,85
RITUXAN,85
OMEPRAZOLE,85
VITAMIN B12,83
HYDROMORPHONE,83
CLONAZEPAM,83
ACTEMRA,83
FOSAMAX,82
RANITIDINE,82
NORVASC,81
AMITRIPTYLINE,79
LOSEC,78
PLAVIX,78
VENTOLIN,77
OXYCODONE,77
LEVOTHYROXINE,75
PLAQUENIL,75
PERCOCET,75
TYLENOL WITH CODEINE NO. 3 - TAB,74
RABEPRAZOLE,74
DEXAMETHASONE,73
TRAZODONE,72
PAXIL,72
ALENDRONATE,72
HYDROXYCHLOROQUINE,72
CALCIUM & VITAMIN D,71
IBUPROFEN,71
VITAMIN E,71
VITAMIN C,70
SANDOSTATIN LAR 30MG,70
COUMADIN,70
DILAUDID,69
FORTEO,69
WARFARIN,68
AMLODIPINE,68
SALBUTAMOL,68
DOCUSATE SODIUM,68
BENADRYL,68
PREVACID,68
BISOPROLOL,68
CORTISONE,68
DICLOFENAC,67
CALCIUM CARBONATE,66
PARIET,66
FLOVENT,66
PREMARIN,65
IMURAN,65
DIPHENHYDRAMINE HYDROCHLORIDE,65
ALTACE,65
ATACAND,64
ALLOPURINOL,64
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,64
CITALOPRAM,64
XOLAIR,64
NITROGLYCERIN,64
BETASERON,64
ELAVIL,63
EFFEXOR XR,63
BACLOFEN,63
SANDOSTATIN LAR 20MG,63
DOMPERIDONE,63
GRAVOL,63
LASIX,63
IRON,62
CYMBALTA,62
ARTHROTEC,62
SOLU-CORTEF,61
SPIRIVA,61
ADVAIR,61
COLACE,61
CODEINE,61
ATORVASTATIN CALCIUM,60
ADVIL,60
AVAPRO,60
CYANOCOBALAMIN,60
CIPROFLOXACIN,60
HYDROCORTISONE,59
METHYLPREDNISOLONE,59
MAGNESIUM,58
NIFEDIPINE,58
SANDOSTATIN LAR,58
SEROQUEL,58
CELEXA,58
DIOVAN,58
IMOVANE,58
REBIF,58
ARAVA,58
FENTANYL,58
DILTIAZEM,57
ELTROXIN,57
OXYCONTIN,56
SULFASALAZINE,56
POTASSIUM CHLORIDE,56
SYMBICORT TURBUHALER,56
SIMVASTATIN,56
SENOKOT,55
INSULIN,55
COZAAR,55
EZETROL,54
ORENCIA,54
ARIMIDEX TAB 1MG,54
MICARDIS,54
MELOXICAM,54
VIOXX,54
DIPHENHYDRAMINE,54
METOCLOPRAMIDE,53
WELLBUTRIN,52
LACTULOSE,52
COVERSYL,52
TEMAZEPAM,52
GLUCOSAMINE,52
ANTIINFECTIVES FOR SYSTEMIC USE,52
NAPROSYN,52
CIPRO,52
VITAMIN B COMPLEX,52
CIPRALEX,52
CYCLOBENZAPRINE,52
FLUCONAZOLE,51
LEFLUNOMIDE,51
ZANTAC,51
INDAPAMIDE,51
TRAMACET,51
ZYPREXA,50
FERROUS SULPHATE,50
SPIRONOLACTONE,50
AZATHIOPRINE,50
ASAPHEN,50
LUPRON DEPOT,50
OXAZEPAM,50
CHOLECALCIFEROL,49
DIMENHYDRINATE,49
ANTI-HYPERTENSIVE MEDICATION(S),49
DIDROCAL-400MG(ETIDRONATE DISOD.)TAB AND 1250MG(CA CARB.)TAB(500MG CA),49
RISEDRONATE SODIUM,49
DENOSUMAB,49
MS CONTIN,49
GLYBURIDE,48
CRESTOR - 10MG,48
FRAGMIN,48
SINGULAIR,48
DIAZEPAM,48
FOSAVANCE,48
ZOLOFT,48
HCTZ,48
CLINDAMYCIN,48
TYLENOL ARTHRITIS PAIN,47
LANSOPRAZOLE,47
LITHIUM,47
SIMPONI,47
ZOCOR,47
CLOZARIL,47
SERTRALINE,47
DIGOXIN,47
AMOXICILLIN,46
VASOTEC,46
AVELOX,46
PROZAC,46
OMEGA - 3,46
RISPERDAL,45
NEURONTIN,45
FLUTICASONE,45
CYCLOPHOSPHAMIDE,45
ZOMETA CONCENTRATE,45
ADALAT XL,45
METRONIDAZOLE,44
VITAMINS,44
RATIO-OXYCOCET,43
LEUCOVORIN,43
HYDROXYZINE,43
FERROUS GLUCONATE,43
AVALIDE,43
NASONEX,43
DILANTIN,43
DEMEROL,43
VENLAFAXINE XR,43
VOLTAREN,43
CARBOCAL D,43
HYDROMORPH CONTIN,43
OXYCODONE-ACETAMINOPHEN,43
SENNA,43
ATROVENT,42
MIRTAZAPINE,42
MORPHINE SULFATE,42
SOLU-MEDROL,42
CYCLOSPORINE,42
ONDANSETRON,42
LEVAQUIN,41
TECTA,41
ACCUTANE ROCHE,41
PRAVASTATIN SODIUM,41
COD LIVER OIL,41
FISH OIL,41
CLONIDINE,41
DICLOFENAC SODIUM,41
BISACODYL,41
CIMZIA,41
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,41
REACTINE,41
EPREX STERILE SOLUTION,41
BUDESONIDE,41
ALDACTONE,41
TAMOXIFEN,40
TEGRETOL,40
POTASSIUM,40
PAROXETINE,39
TYLENOL W CODEINE NO3 TAB,39
INDOMETHACIN,39
ESTRACE,39
NORTRIPTYLINE,39
GARLIC,39
LEVOFLOXACIN,39
VALSARTAN,39
QUININE,39
XALATAN,39
TOPAMAX,39
OXYGEN,38
PULMICORT,38
GLEEVEC,38
LISINOPRIL,38
CHAMPIX,38
REVLIMID,38
PERINDOPRIL,38
NYSTATIN,38
CLOXACILLIN,38
CONJUGATED ESTROGENS,38
ZYBAN,37
ZOFRAN,37
RIVOTRIL,37
OXYBUTYNIN,37
FEMARA 2.5MG,37
IMODIUM,37
CONTRACEPTIVES,37
ZINC,37
CORTICOSTEROID(S),37
ASCORBIC ACID (VITAMIN C),37
STEROID(S),37
STELARA,37
HYZAAR,37
DOCUSATE NOS,37
AMIODARONE,36
SERAX,36
LANTUS,36
TOPIRAMATE,36
METHYLPREDNISOLONE NOS,36
LAXATIVES,36
FLAGYL,36
LOPRESOR,36
SEPTRA,36
PROVERA,36
ESTROGENS,36
SENNOSIDES,35
REMERON,35
ALPRAZOLAM,35
ACCUPRIL,35
COENZYME Q10,35
XELODA,35
TYLENOL EXTRA STRENGTH TAB 500MG,35
ENTROPHEN,35
PAMIDRONATE DISODIUM FOR INJECTION,35
GLUCOSAMINE & CHONDROITIN,35
CEPHALEXIN,35
SALINE,34
SALOFALK,34
ROSUVASTATIN,34
XANAX,34
TERAZOSIN,34
AERIUS,34
K-DUR,34
ASACOL,34
METAMUCIL,34
ROCALTROL,34
NORVASC TAB 5MG,34
FENOFIBRATE,34
HEPARIN SODIUM,34
ACETAMINOPHEN AND CODEINE,34
PRAVACHOL,34
GILENYA,34
NOVASEN,34
ZESTRIL,33
DURAGESIC,33
HEPARIN SODIUM INJECTION, USP,33
THYROXINE,33
NSAIDS,33
METHADONE,33
TORADOL,33
ANALGESICS,33
FLONASE - AEM-SUS NAS  50MCG/MD,33
WELLBUTRIN SR,33
ACETYLSALICYLIC ACID ENT CTD,33
QUETIAPINE,33
VINCRISTINE SULFATE INJECTION USP,33
CEFAZOLIN FOR INJECTION, USP,33
PANTOPRAZOLE SODIUM,33
CENTRUM TABLETS,33
BIAXIN,33
METHOTREXATE INJECTION, USP,33
KALETRA,33
PROGESTERONE,32
BUSCOPAN,32
TIAZAC,32
ANTI-INFLAMMATORY AGENTS,32
TRIAMTERENE & HYDROCHLOROTHIAZIDE,32
NOVO-HYDRAZIDE,32
GLUCOPHAGE,32
LOPERAMIDE,32
ENTERIC COATED ASA,32
FLUOXETINE,32
EFFEXOR NOS,32
EXJADE,32
HUMALOG,32
VITAMIN B6,32
ENTERIC COATED A.S.A,32
DETROL,32
VALPROIC ACID,31
OLANZAPINE,31
ALENDRONATE SODIUM,31
AFINITOR,31
DEPO-MEDROL,31
AZITHROMYCIN,31
LOMOTIL,31
TENORMIN,31
ENALAPRIL,31
LACTULOSE SYRUP,31
COLCHICINE,31
STATEX,31
NITRO-DUR,30
VALTREX,30
GLICLAZIDE,30
TRAMADOL HYDROCHLORIDE,30
FLOMAX,30
PROPRANOLOL,30
DICETEL,30
SULFAMETHOXAZOLE AND TRIMETHOPRIM,30
RISPERIDONE,30
FOLATE,30
AVANDIA,30
PHENYTOIN,30
CALCIUM & MAGNESIUM,30
TUMS,30
COMBIVENT,30
FLOMAX CR,30
MAVIK,30
NOVORAPID,30
NEUPOGEN,30
DIDROCAL,30
ARICEPT,29
SLOW K 600MG,29
METFORMIN HYDROCHLORIDE,29
CALTRATE,29
PREDNISOLONE,29
STEMETIL,29
VENTOLIN FOR INHALATION,29
EVISTA (60MG),29
AVASTIN,29
IPRATROPIUM,29
AROMASIN,29
ESOMEPRAZOLE,29
BOTOX PWS INJ 100UNIT/VIAL,29
DIOVAN-HCT,29
DOXORUBICIN HYDROCHLORIDE INJECTION,29
TYLENOL WITH CODEINE,29
ANTINEOPLASTIC(S),29
VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP,29
