drug,countreact
REMICADE,228
METHOTREXATE,207
HUMIRA,203
PREDNISONE,194
FOLIC ACID,151
ENBREL,150
ACLASTA,136
SYNTHROID,133
LIPITOR,131
CALCIUM,131
VITAMIN D,128
HYDROCHLOROTHIAZIDE,115
METFORMIN,108
CLOZARIL,106
TYLENOL,105
ACETAMINOPHEN,102
CELEBREX,101
ASA,98
CRESTOR,98
PANTOLOC,96
SANDOSTATIN LAR 30MG,96
MULTIVITAMINE(S),93
RAMIPRIL,92
NORVASC,89
METOPROLOL,87
CLONAZEPAM,86
DEXAMETHASONE,85
ACETYLSALICYLIC ACID,85
LORAZEPAM,84
PANTOPRAZOLE,83
ERGOCALCIFEROL,82
SANDOSTATIN LAR,82
ASPIRIN,82
FORTEO,79
ACTONEL,78
NEXIUM,78
ATIVAN,77
LUPRON DEPOT,76
IMURAN,75
VITAMIN B12,74
MORPHINE,74
AZATHIOPRINE,74
ATENOLOL TABLETS, BP,71
ZOPICLONE,70
LEVOTHYROXINE,70
LOSEC,69
ALTACE,68
CYCLOPHOSPHAMIDE,67
PLAQUENIL,67
DILAUDID,66
ALLOPURINOL,66
GABAPENTIN,65
FUROSEMIDE,64
AMLODIPINE,64
ADVAIR,63
ORENCIA,63
RITUXAN,63
SANDOSTATIN LAR 20MG,63
REBIF,63
PLAVIX,63
GLEEVEC,62
OMEPRAZOLE,60
ANTINEOPLASTIC(S),60
RANITIDINE,59
FOSAMAX,59
AMITRIPTYLINE,58
HYDROMORPHONE,58
SPIRIVA,58
LYRICA,58
REVLIMID,58
COVERSYL,57
COLACE,56
COUMADIN,55
TYLENOL WITH CODEINE NO. 3 - TAB,55
SENOKOT,55
PREVACID,55
CITALOPRAM,55
INSULIN,54
ATORVASTATIN CALCIUM,54
PARIET,54
STELARA,54
WARFARIN,53
RABEPRAZOLE,53
BETASERON,53
IRON,53
CALCIUM CARBONATE,53
VITAMIN C,53
VENTOLIN,52
XELODA,52
LASIX,52
CELEXA,51
BENADRYL,51
TRAZODONE,51
CHEMOTHERAPY,50
AFINITOR,50
BISOPROLOL,50
EFFEXOR XR,50
DOCUSATE SODIUM,50
ARAVA,49
ELTROXIN,49
GLYBURIDE,49
HYDROXYCHLOROQUINE,49
NAPROXEN,49
AVAPRO,48
DOMPERIDONE,48
ALENDRONATE,47
SALBUTAMOL,47
CYCLOSPORINE,47
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,46
DENOSUMAB,46
OXYCODONE,46
ANTIINFECTIVES FOR SYSTEMIC USE,46
DIOVAN,46
SULFASALAZINE,46
DILTIAZEM,46
SANDOSTATIN,45
SIMVASTATIN,45
DICLOFENAC,44
PREMARIN,44
VINCRISTINE SULFATE INJECTION USP,43
CALCIUM & VITAMIN D,42
ZOMETA CONCENTRATE,42
XOLAIR,41
EZETROL,41
OXAZEPAM,41
IBUPROFEN,40
