drug,countreact
REMICADE,52
MIRENA,30
FOLIC ACID,29
PRENATAL MULTIPLE VITAMIN,25
HUMIRA,24
VENTOLIN,23
PREDNISONE,22
MULTIVITAMINE(S),22
MATERNA,22
TYLENOL,22
PAXIL,21
VITAMINS,19
DICLECTIN,18
CLOZARIL,18
SYNTHROID,17
ACETAMINOPHEN,16
BETASERON,15
IMURAN,15
IRON,15
SYMBICORT TURBUHALER,15
CERVIDIL,14
METHOTREXATE,14
VITAMIN D,14
SUBUTEX,14
KALETRA,14
BENADRYL,14
CALCIUM,14
SEROQUEL,13
NICOTINE,13
DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML,13
SINGULAIR,13
CIPRALEX,12
ENBREL,12
XOLAIR,12
SOLU-CORTEF,12
LAMOTRIGINE,12
ATIVAN,12
SUBOXONE,12
LEVOTHYROXINE,12
CELEXA,12
COMBIVIR,12
OXYTOCIN INJECTION, USP,11
GRAVOL,11
RANITIDINE,11
SALBUTAMOL,11
PROZAC,11
FRAGMIN,11
REBIF,11
PREGVIT,11
ANTIINFECTIVES FOR SYSTEMIC USE,10
FENTANYL,10
FLOVENT,10
NUVARING,10
HYDROCHLOROTHIAZIDE,10
EFFEXOR NOS,10
TEGRETOL,10
CONTRACEPTIVES,10
HYDROCORTISONE,9
PLAN B,9
IBUPROFEN,9
OXYCONTIN,9
CIMZIA,9
OXYTOCIN,9
METHYLDOPA,9
EFFEXOR XR,9
LORAZEPAM,9
HYDROXYCHLOROQUINE,9
ZOLOFT,9
ELAVIL,9
METOCLOPRAMIDE,9
WELLBUTRIN SR,8
CENTRUM MATERNA,8
CYMBALTA,8
CITALOPRAM,8
EVRA   -(6/0.75),8
PRENATAL VITAMIN & MINERAL SUPPLEMENT,8
ROLAIDS SOFT CHEWS ULTRA STRENGTH,8
FEMARA 2.5MG,8
GLEEVEC,8
NOVORAPID,8
LOSEC,8
VITAMIN B12,8
ASPIRIN,8
PAROXETINE,7
NAPROXEN,7
ALESSE 28 TABLETS,7
HEPARIN SODIUM,7
AMPICILLIN,7
PANTOLOC,7
ADVIL,7
PERCOCET,7
LABETALOL,7
CLOMID,7
SULFASALAZINE,7
TECTA,7
PROGESTERONE,7
COPAXONE,7
ZANTAC,7
EVRA   -(6/0.60),7
TRI-CYCLEN TABLETS - 28-DAY,7
MAGNESIUM SULFATE,7
PREPULSID,7
SERTRALINE,7
MORPHINE,7
PLAQUENIL,7
PENTASA,7
HUMALOG,7
ZOPICLONE,7
ZYPREXA,6
CLOMIPHENE CITRATE,6
CORTISONE,6
CYCLOPHOSPHAMIDE,6
TRIPHASIL 28,6
DIOVAN,6
HYDROMORPHONE,6
CARBAMAZEPINE,6
ANALGESICS,6
FLUOXETINE,6
CELEBREX,6
ZYBAN,6
REYATAZ,6
AMITRIPTYLINE,6
NIFEDIPINE,6
REACTINE,6
NASONEX,6
EPINEPHRINE,6
MAXALT,6
FERROUS FUMARATE,6
ALYSENA 28,6
INSULIN,6
WARFARIN,6
ASTEMIZOLE TAB 10MG,6
METOPROLOL,6
AMOXICILLIN,6
CLONAZEPAM,6
RISPERDAL,6
METFORMIN,6
CODEINE,6
