drug,countreact
PREDNISONE,101
LIPITOR,79
CALCIUM,73
ACETAMINOPHEN,72
METOPROLOL,69
RAMIPRIL,69
FUROSEMIDE,68
REMICADE,68
HYDROCHLOROTHIAZIDE,67
ASA,67
NORVASC,66
CRESTOR,66
VITAMIN D,65
FOLIC ACID,64
HUMIRA,63
METHOTREXATE,63
RANITIDINE,63
ASPIRIN,62
LORAZEPAM,60
TYLENOL,59
PANTOPRAZOLE,59
CLONAZEPAM,59
SYNTHROID,59
CIPROFLOXACIN,57
METFORMIN,57
PANTOLOC,55
LASIX,55
ALTACE,54
ZOPICLONE,53
MULTIVITAMINE(S),53
WARFARIN,51
CELEBREX,50
MORPHINE,50
AMLODIPINE,49
ZYPREXA,49
CYCLOSPORINE,48
DOCUSATE SODIUM,48
ACETYLSALICYLIC ACID,48
CALCIUM CARBONATE,48
DEXAMETHASONE,47
ATIVAN,47
PLAVIX,47
DIOVAN,47
LEVOTHYROXINE,47
ATACAND,46
FENTANYL,46
LOSEC,46
DOMPERIDONE,46
OMEPRAZOLE,45
ALLOPURINOL,45
RISPERDAL,45
IBUPROFEN,45
VENTOLIN,44
ACLASTA,44
INSULIN,44
GABAPENTIN,44
HYDROMORPHONE,44
AZATHIOPRINE,43
VITAMIN B12,43
COLACE,43
PREVACID,43
LUPRON DEPOT,43
SEROQUEL,43
NAPROXEN,43
CLOZARIL,43
BENADRYL,43
AMITRIPTYLINE,43
NEXIUM,42
TRAZODONE,42
COUMADIN,41
TACROLIMUS,41
RITUXAN,41
SPIRONOLACTONE,41
ATENOLOL TABLETS, BP,41
ERGOCALCIFEROL,41
CELEXA,41
ENBREL,41
POTASSIUM CHLORIDE,40
LYRICA,40
MYCOPHENOLATE MOFETIL,40
ANTIINFECTIVES FOR SYSTEMIC USE,39
LITHIUM,39
PAXIL,39
CODEINE,38
CIPRO,38
TYLENOL WITH CODEINE NO. 3 - TAB,38
SALBUTAMOL,38
BETASERON,38
CYCLOPHOSPHAMIDE,38
GRAVOL,38
SIMVASTATIN,38
EFFEXOR XR,38
DIAZEPAM,37
DIGOXIN,37
SODIUM BICARBONATE,37
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,37
PROGRAF,37
FOSAMAX,37
CEFAZOLIN FOR INJECTION, USP,37
BISOPROLOL,37
AVAPRO,37
SANDOSTATIN LAR 30MG,37
DIPHENHYDRAMINE,37
NITROGLYCERIN,37
OXAZEPAM,37
DILAUDID,37
SPIRIVA,37
ACTONEL,36
IRON,36
CELLCEPT,36
AMOXICILLIN,35
HEPARIN SODIUM INJECTION, USP,35
FLOMAX CR,35
EPIVAL,35
VALPROIC ACID,35
DILTIAZEM,35
GLYBURIDE,35
FERROUS SULPHATE,35
ZANTAC,35
OXYCODONE,34
ACYCLOVIR,34
VASOTEC,34
SEPTRA,34
NIFEDIPINE,34
METRONIDAZOLE,34
METOCLOPRAMIDE,34
VITAMIN C,34
ADALAT XL,34
COZAAR,34
PARIET,34
EZETROL,33
HYDROCORTISONE,33
ANTI-HYPERTENSIVE MEDICATION(S),33
MICARDIS,33
VITAMIN K,33
RABEPRAZOLE,33
DIMENHYDRINATE,33
FLOMAX,33
RISPERIDONE,33
BACLOFEN,32
MAGNESIUM,32
SERTRALINE,32
IMURAN,32
AMPICILLIN,32
ARANESP,32
SOLU-CORTEF,32
MIDAZOLAM INJECTION,32
FLOVENT,32
VIOXX,31
COVERSYL,31
PREMARIN,31
TEMAZEPAM,31
NYSTATIN,31
SENOKOT,31
LOPRESOR,31
