drug,countreact
PREDNISONE,160
VENTOLIN,144
REMICADE,141
CALCIUM,131
METHOTREXATE,126
FOLIC ACID,122
ACETAMINOPHEN,122
XOLAIR,120
VITAMIN D,117
TYLENOL,117
LIPITOR,116
SALBUTAMOL,113
SYNTHROID,111
HUMIRA,110
FUROSEMIDE,109
SYMBICORT TURBUHALER,108
ADVAIR,108
METFORMIN,105
PANTOLOC,105
METOPROLOL,104
RANITIDINE,104
ASA,103
LORAZEPAM,103
CRESTOR,103
DEXAMETHASONE,103
ENBREL,101
SINGULAIR,100
ATROVENT,99
LASIX,99
ASPIRIN,99
OXYGEN,99
CELEBREX,98
ATIVAN,97
HYDROCHLOROTHIAZIDE,96
ACETYLSALICYLIC ACID,95
MORPHINE,95
RAMIPRIL,95
BENADRYL,94
MULTIVITAMINE(S),94
SPIRIVA,94
FLOVENT,93
ANTIINFECTIVES FOR SYSTEMIC USE,93
ZOPICLONE,91
CLONAZEPAM,91
CLOZARIL,89
VITAMIN B12,89
NEXIUM,89
LEVOTHYROXINE,88
FENTANYL,88
ALTACE,87
WARFARIN,87
OMEPRAZOLE,86
COUMADIN,85
PANTOPRAZOLE,85
RITUXAN,83
GRAVOL,83
DIGOXIN,83
AMITRIPTYLINE,83
ACTONEL,83
VITAMIN C,82
DOMPERIDONE,82
COLACE,82
PLAVIX,82
NORVASC,81
CITALOPRAM,81
LOSEC,81
INSULIN,80
HYDROMORPHONE,79
METOCLOPRAMIDE,79
NITROGLYCERIN,78
ALLOPURINOL,78
SEROQUEL,78
GABAPENTIN,78
ATENOLOL TABLETS, BP,77
PAXIL,77
CELEXA,77
DILAUDID,76
BISOPROLOL,76
DOCUSATE SODIUM,76
DIPHENHYDRAMINE,75
ZANTAC,74
EFFEXOR XR,74
SENOKOT,74
HYDROCORTISONE,73
DIOVAN,73
CIPROFLOXACIN,73
PREVACID,73
NAPROXEN,72
PLAQUENIL,72
CYCLOPHOSPHAMIDE,72
VITAMIN E,72
DILTIAZEM,72
IBUPROFEN,72
TYLENOL WITH CODEINE NO. 3 - TAB,72
NASONEX,71
OXAZEPAM,71
ELTROXIN,71
SOLU-CORTEF,71
CORTISONE,70
IRON,70
TRAZODONE,70
AVELOX,70
POTASSIUM CHLORIDE,69
MORPHINE SULFATE,69
FOSAMAX,69
LYRICA,69
AZATHIOPRINE,68
PREMARIN,68
ACLASTA,68
ERGOCALCIFEROL,68
MAGNESIUM,68
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,67
AMIODARONE,67
CLINDAMYCIN,67
GLYBURIDE,67
DIAZEPAM,67
RABEPRAZOLE,67
IMURAN,66
CODEINE,66
ALVESCO,66
SOLU-MEDROL,66
ALENDRONATE,66
AMPICILLIN,66
ADALAT XL,65
ADVIL,65
EZETROL,65
GLUCOSAMINE,65
AMLODIPINE,65
FLUTICASONE,65
ERYTHROMYCIN,64
PULMICORT,64
HEPARIN SODIUM INJECTION, USP,64
LEUCOVORIN,64
ZYPREXA,64
CALCIUM & VITAMIN D,63
AZITHROMYCIN,63
NORMAL SALINE,63
ATACAND,63
DILANTIN,63
ARAVA,63
VASOTEC,63
OXYCODONE,62
AVAPRO,62
METRONIDAZOLE,62
CIPRALEX,62
DEMEROL,62
ONDANSETRON,62
GENTAMICIN,62
PARIET,61
IMOVANE,61
ORENCIA,61
SLOW K 600MG,61
COVERSYL,61
CYCLOSPORINE,61
HYDROXYCHLOROQUINE,60
EPREX STERILE SOLUTION,60
CIPRO,60
FERROUS SULPHATE,60
SPIRONOLACTONE,60
EPINEPHRINE,60
REACTINE,60
MIDAZOLAM INJECTION,60
ACETYLSALICYLIC ACID ENT CTD,59
DIMENHYDRINATE,59
MICARDIS,59
SIMVASTATIN,59
ADVAIR DISKUS,58
INTUBATION,58
ZITHROMAX,58
ATORVASTATIN CALCIUM,58
ARTHROTEC,58
VITAMINS,58
SANDOSTATIN LAR 30MG,58
CALCIUM CARBONATE,58
ZOLOFT,58
STEROID(S),57
CHAMPIX,57
AMOXICILLIN,57
CYCLOBENZAPRINE,57
PAROXETINE,57
SULFASALAZINE,57
VITAMIN B COMPLEX,57
BIAXIN,57
CORTICOSTEROID(S),57
CARBAMAZEPINE,56
RISPERDAL,56
LEVOFLOXACIN,56
SANDOSTATIN LAR,56
FLONASE - AEM-SUS NAS  50MCG/MD,56
COZAAR,56
IPRATROPIUM,55
NYSTATIN,55
FLUCONAZOLE,55
