drug,countreact
PREDNISONE,151
REMICADE,128
METHOTREXATE,122
VITAMIN D,120
ACETAMINOPHEN,119
LIPITOR,118
SYNTHROID,114
CALCIUM,112
TYLENOL,110
METFORMIN,108
HUMIRA,106
ATIVAN,105
LORAZEPAM,105
CLONAZEPAM,103
BENADRYL,103
FUROSEMIDE,103
CRESTOR,100
FOLIC ACID,99
ASA,99
HYDROCHLOROTHIAZIDE,98
VENTOLIN,98
MULTIVITAMINE(S),97
ENBREL,96
PANTOLOC,96
METOPROLOL,95
ASPIRIN,93
VITAMIN B12,93
AMITRIPTYLINE,92
LASIX,92
PLAVIX,91
LOSEC,91
VITAMIN C,91
CELEBREX,90
RANITIDINE,90
RAMIPRIL,90
DEXAMETHASONE,88
ALTACE,87
PANTOPRAZOLE,87
COUMADIN,86
ZOPICLONE,84
NORVASC,84
ACETYLSALICYLIC ACID,82
HYDROCORTISONE,81
ANTIINFECTIVES FOR SYSTEMIC USE,81
MORPHINE,81
EFFEXOR XR,80
ACTONEL,80
DOCUSATE SODIUM,79
LYRICA,79
IBUPROFEN,78
SALBUTAMOL,78
NAPROXEN,78
HYDROMORPHONE,78
ALLOPURINOL,77
PREMARIN,77
LEVOTHYROXINE,77
COLACE,77
WARFARIN,77
NEXIUM,77
FLOVENT,75
SPIRIVA,75
ATENOLOL TABLETS, BP,75
INSULIN,75
GABAPENTIN,74
ZANTAC,74
DILTIAZEM,74
VITAMIN E,74
DIGOXIN,73
DILANTIN,72
DIPHENHYDRAMINE,72
AMLODIPINE,72
PAXIL,71
PREVACID,71
NITROGLYCERIN,71
PLAQUENIL,71
OMEPRAZOLE,71
CHAMPIX,70
CORTISONE,70
TRAZODONE,70
DIMENHYDRINATE,70
DOMPERIDONE,70
CITALOPRAM,70
ADVAIR,70
HYDROXYZINE,70
REACTINE,69
DIAZEPAM,69
TEGRETOL,68
RITUXAN,68
SENOKOT,68
SYMBICORT TURBUHALER,67
GRAVOL,67
SEROQUEL,67
ATORVASTATIN CALCIUM,67
GLYBURIDE,66
SOLU-CORTEF,66
IRON,66
BISOPROLOL,66
DIOVAN,66
FOSAMAX,66
CELEXA,66
TYLENOL WITH CODEINE NO. 3 - TAB,65
CODEINE,65
CLINDAMYCIN,64
PARIET,64
XOLAIR,64
ELTROXIN,64
ZYPREXA,64
SANDOSTATIN LAR 30MG,64
CARBAMAZEPINE,64
CYCLOPHOSPHAMIDE,64
EZETROL,64
CIPROFLOXACIN,64
ERGOCALCIFEROL,63
ADVIL,63
GLEEVEC,63
AVAPRO,63
DILAUDID,63
DEMEROL,63
FENTANYL,63
IMURAN,63
VITAMIN B COMPLEX,62
SINGULAIR,62
ELAVIL,62
CALCIUM CARBONATE,61
POTASSIUM CHLORIDE,61
ACLASTA,61
NAPROSYN,61
BETASERON,60
VASOTEC,60
OXAZEPAM,60
SIMVASTATIN,60
PROZAC,60
STEROID(S),59
PHENYTOIN,59
METRONIDAZOLE,59
CLOXACILLIN,59
ATACAND,59
CIPRALEX,59
ACTEMRA,59
FERROUS GLUCONATE,59
METOCLOPRAMIDE,58
XELODA,58
FERROUS SULPHATE,58
MAGNESIUM,58
ESTRADERM,58
PERCOCET,57
FRAGMIN,57
COVERSYL,57
ATARAX,57
CALCIUM & VITAMIN D,57
CYCLOSPORINE,57
ARAVA,57
CIPRO,57
ARTHROTEC,57
AMPICILLIN,57
PHENOBARBITAL,57
LOPRESOR,56
SLOW K 600MG,56
TETRACYCLINE,56
IMOVANE,56
COZAAR,56
LITHIUM,56
VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP,56
SPIRONOLACTONE,55
LISINOPRIL,55
ENTROPHEN,55
ONDANSETRON,55
SERAX,55
ACCUTANE ROCHE,55
OXYCONTIN,55
AZATHIOPRINE,55
ACYCLOVIR,55
BETAMETHASONE,55
ZOLOFT,54
ADALAT XL,54
SOLU-MEDROL,54
LANOXIN,54
ASAPHEN,54
FLUCONAZOLE,54
AVELOX,54
NASONEX,54
PROVERA,54
SANDOSTATIN LAR 20MG,54
CYCLOBENZAPRINE,53
RISPERDAL,53
AMOXICILLIN,53
SANDOSTATIN LAR,53
CORTICOSTEROID(S),53
VITAMINS,53
STEMETIL,53
GENTAMICIN,53
BACLOFEN,52
MORPHINE SULFATE,52
HCTZ,52
HEPARIN SODIUM,52
EPIVAL,51
QUETIAPINE,51
DYAZIDE TAB,51
ERYTHROMYCIN,51
EPREX STERILE SOLUTION,51
VIOXX,51
CEPHALEXIN,51
CLONIDINE,50
SEPTRA,50
HUMULIN R INJ,50
REVLIMID,50
ACETYLSALICYLIC ACID ENT CTD,50
VOLTAREN,50
VANCOMYCIN,50
HYDROXYCHLOROQUINE,50
DIPHENHYDRAMINE HYDROCHLORIDE,50
ALENDRONATE,50
REBIF,50
SERTRALINE,49
NIFEDIPINE,49
ANCEF,49
ATROVENT,49
CETIRIZINE,49
XALATAN,49
BIAXIN,49
MICARDIS,48
ANTIHISTAMINIC DRUGS,48
ALPRAZOLAM,48
INDOMETHACIN,48
HYDROCORTISONE ACETATE CREAM USP,48
TIAZAC,48
CYANOCOBALAMIN,48
RABEPRAZOLE,48
HEPARIN SODIUM INJECTION, USP,48
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,48
ANTI-HYPERTENSIVE MEDICATION(S),48
CHLORAL HYDRATE SYRUP,47
KEFLEX,47
ZOCOR,47
NYSTATIN,47
GLUCOSAMINE,47
FLAGYL,47
CYMBALTA,47
LOMOTIL,47
OMEGA - 3,47
FUCIDIN,47
AMOXIL,46
STELARA,46
CAPTOPRIL,46
ZYBAN,46
FLUTICASONE,46
TYLENOL W CODEINE NO3 TAB,46
MAXERAN,46
DIDROCAL-400MG(ETIDRONATE DISOD.)TAB AND 1250MG(CA CARB.)TAB(500MG CA),46
LEUCOVORIN,46
PULMICORT,46
DECADRON,46
CALAMINE LOTION,46
TEMAZEPAM,46
OLANZAPINE,46
ENTERIC COATED A.S.A,46
ORENCIA,46
VENLAFAXINE XR,45
AVASTIN,45
RIVOTRIL,45
LAMICTAL,45
PRADAX,45
DICLOFENAC,45
LANSOPRAZOLE,45
DIABETA,45
PAROXETINE,45
CRESTOR - 10MG,45
CHOLECALCIFEROL,45
CONTRACEPTIVES,45
HYDROMORPH CONTIN,45
GLUCOPHAGE,45
EFFEXOR NOS,44
TOBRAMYCIN INJECTION USP,44
OXYGEN,44
NORVASC TAB 5MG,44
CARDIZEM,44
NEURONTIN,44
OXYCODONE,44
TAXOTERE,44
K-DUR,44
HUMALOG,44
MS CONTIN,44
SODIUM BICARBONATE,44
TYKERB,44
RESTORIL,43
MULTIPLE VITAMINS,43
FERROUS FUMARATE,43
AMIODARONE,43
FLOMAX CR,43
FLUOXETINE,43
VALTREX,43
SULFASALAZINE,43
ENTERIC COATED ASA,43
CEFAZOLIN FOR INJECTION, USP,43
TECTA,43
LEVAQUIN,43
CLARITIN,43
MINOCYCLINE,43
ADALAT,43
VINCRISTINE SULFATE INJECTION USP,42
MIRTAZAPINE,42
HYDRODIURIL,42
DOCUSATE NOS,42
ALDACTONE,42
CIMZIA,42
HALCION,42
MODURET,42
IMODIUM,42
FISH OIL,42
PROPRANOLOL,42
LOVENOX,42
L-THYROXINE,42
NITRO-DUR,41
AVANDIA,41
CLOBETASOL CREAM 0.05%,41
BACTRIM,41
BEXTRA,41
CEFTAZIDIME FOR INJECTION, USP,41
SULFAMETHOXAZOLE AND TRIMETHOPRIM,41
NORMAL SALINE,41
PREDNISOLONE,41
TYLENOL EXTRA STRENGTH TAB 500MG,41
TENORMIN,41
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,41
PENICILLIN,41
PROSCAR,41
SENNOSIDES,41
AZITHROMYCIN,41
TAGAMET,41
DALMANE,40
FLONASE - AEM-SUS NAS  50MCG/MD,40
CEFOTAXIME,40
PROCHLORPERAZINE,40
ZOVIRAX,40
NOVASEN,40
CYTARABINE INJECTION,40
CLOZARIL,40
ZYLOPRIM,40
LAMOTRIGINE,40
ARANESP,40
RISEDRONATE SODIUM,40
VALPROIC ACID,40
ZITHROMAX,40
PENICILLIN G,40
OXYBUTYNIN,40
COLCHICINE,40
LEFLUNOMIDE,40
LAMISIL,40
BETNOVATE,40
NEUPOGEN,40
MOTRIN,40
TASIGNA,39
VALSARTAN,39
ISORDIL,39
COMBIVENT,39
CLARITHROMYCIN,39
ZOFRAN,39
VALIUM ORAL,39
ARIMIDEX TAB 1MG,39
CAPOTEN,39
RATIO-OXYCOCET,39
METHYLPREDNISOLONE,39
LITHIUM CARBONATE,39
CELESTODERM V,39
MELOXICAM,39
CELLCEPT,39
EXJADE,38
PENICILLIN NOS,38
FOSAVANCE,38
THYROXINE,38
WELLBUTRIN,38
3TC,38
VITAMIN K,38
ESTRACE,38
LOPERAMIDE,38
NORTRIPTYLINE,38
GLICLAZIDE,38
PYRIDOXINE,38
MAALOX,38
DOXYCYCLINE,38
VERAPAMIL HCL,38
FLURAZEPAM HYDROCHLORIDE,38
POTASSIUM,37
METHADONE,37
MYCOPHENOLATE MOFETIL,37
ETHANOL,37
INDAPAMIDE,37
MIRENA,37
DIAMICRON,37
ZINC,37
ROCEPHIN,37
CHLOR-TRIPOLON,37
SOTALOL,37
ESTROGENS,37
IPRATROPIUM,37
SEPTRA DS TABLETS,37
DITROPAN,37
RIFAMPIN,37
LACTULOSE SYRUP,37
CONJUGATED ESTROGENS,36
DAPSONE,36
MIDAZOLAM INJECTION,36
HALDOL,36
SELDANE,36
FLUOROURACIL,36
LACTULOSE,36
BISACODYL,36
ROSUVASTATIN,36
HALOPERIDOL,36
PAMIDRONATE DISODIUM FOR INJECTION,36
FENOFIBRATE,36
MAGNESIUM SULFATE,36
ASCORBIC ACID (VITAMIN C),36
PERINDOPRIL,36
LARGACTIL,36
TOPAMAX,36
VENTOLIN FOR INHALATION,36
QUININE,36
LIBRIUM,35
TOPIRAMATE,35
DIPHTHERIA AND TETANUS TOXOIDS WITH PERTUSSIS VACCINE ADSORBED,35
PRAVACHOL,35
METAMUCIL,35
FORTEO,35
DIURETIC(S),35
NIACIN,35
ETOPOSIDE INJECTION, USP,35
LIDOCAINE,35
CO-TRIMOXAZOLE,35
HUMULIN N INJ 100UNIT/ML,35
CEFTRIAXONE FOR INJECTION USP,35
EPINEPHRINE,35
INDOCID,35
VITAMIN B6,35
TAZOCIN,35
INH,35
ACCUPRIL,35
PRAVASTATIN SODIUM,35
LIPIDIL,34
BUPROPION,34
PENTASA,34
ENALAPRIL,34
BUDESONIDE,34
VALACYCLOVIR,34
REMERON,34
PENBRITIN,34
SALOFALK,34
CLAVULIN,34
EXTRANEAL,34
DOXEPIN HYDROCHLORIDE,34
APO-CLINDAMYCIN,34
NOVO-HYDRAZIDE,34
ARICEPT,34
TRAMACET,34
DOXORUBICIN HYDROCHLORIDE INJECTION,34
XANAX,34
FLOMAX,34
TUBERSOL,34
MACROBID,34
WELLBUTRIN SR,34
NOVORAPID,34
SECONAL SODIUM PULVULE 240 0.1GM,34
MELLARIL,33
SEREVENT,33
COD LIVER OIL,33
COENZYME Q10,33
APO SULFATRIM DS TAB,33
MILK OF MAGNESIA,33
ZAROXOLYN,33
FLAMAZINE CRM 1%,33
MOTILIUM TAB 10MG,33
GANTRISIN,33
YASMIN 28,33
ALVESCO,33
AFINITOR,33
CEFUROXIME FOR INJECTION USP,33
CALCIUM & MAGNESIUM,33
NOVOLIN,33
TAMOXIFEN,33
PROTOPIC,33
RISPERIDONE,33
LANTUS,33
DETROL,33
GILENYA,33
JANUVIA,33
CYTOTEC,33
LEVOFLOXACIN,33
AERIUS,33
ELOCOM,33
ATROPINE,33
SUTENT,33
IMMUNE GLOBULIN INTRAVENOUS (HUMAN),33
INSULIN NPH,33
BETAMETHASONE VALERATE,33
INDERAL,33
HERCEPTIN VIALS,32
CAELYX,32
CISPLATIN INJECTION,32
TORADOL,32
SIMPONI,32
PEPCID,32
MYCOSTATIN,32
SANDOSTATIN,32
DIVALPROEX SODIUM,32
NOZINAN,32
HUMULIN,32
AVEENO BATH TREATMENT SOOTHING FORMULA,32
LAXATIVES,32
DIFLUCAN,32
CORTATE,32
MULTIVITAMINS WITH MINERALS,32
TERAZOSIN,32
SYMBICORT 200 TURBUHALER,32
DICETEL,32
VITAMIN A,32
TIAZAC XC,32
TUBERCULIN PPD (MANTOUX),31
SINEMET,31
BECLOFORTE INHALER - AEM INH 250MCG/AEM,31
TEGRETOL CR,31
TEMPRA,31
IRBESARTAN,31
STATEX,31
POLYSPORIN,31
ESTROGEL,31
CHLORPROMAZINE,31
STIVARGA,31
HABITROL,31
CIMETIDINE,31
FLUOROURACIL INJ 50MG/ML,31
ADVAIR DISKUS,31
PIPERACILLIN/TAZOBACTAM,31
DIOVAN-HCT,31
ASACOL,31
RASILEZ,31
TACROLIMUS,31
NOVO-SEMIDE,31
CEFTIN,31
VITALUX,31
LOXAPINE,31
MOBICOX,31
ATORVASTATIN,30
CARBOPLATIN,30
DARVON N 100MG CAP,30
MONOPRIL,30
SENNA,30
FAMOTIDINE,30
TRIAMTERENE & HYDROCHLOROTHIAZIDE,30
ZELBORAF FILM-COATED TABLET,30
FEMARA 2.5MG,30
PEGASYS RBV,30
DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML,30
APRESOLINE,30
ROGAINE TOPICAL SOLUTION,30
PROMETRIUM  - CAP 100MG,30
ISOSORBIDE DINITRATE,30
TUMS,30
GAMUNEX,30
BACTROBAN,30
WELLBUTRIN XL,30
ALDACTAZIDE,30
AVALIDE,30
MINOCIN,30
THYROID,30
LUPRON DEPOT,30
TYLENOL WITH CODEINE NO. 2 - TAB,30
AGAROL,30
NOVO-LEXIN,30
LEVEMIR PENFILL,30
STELAZINE,30
GLAXAL BASE CRM,30
ANTINEOPLASTIC(S),30
CODEINE PHOSPHATE,30
ALESSE 28 TABLETS,30
HYZAAR,30
IMIPRAMINE,30
SODIUM CHLORIDE,30
BENZTROPINE,29
HYDRALAZINE,29
IMITREX,29
CALCITRIOL,29
ENOXAPARIN,29
PHENERGAN,29
COGENTIN,29
IV FLUIDS,29
ZESTRIL,29
AMINOPHYLLINE,29
VEMURAFENIB,29
TYLENOL ARTHRITIS PAIN,29
DULCOLAX,29
MERREM,29
KEPPRA,29
GARLIC,29
ATASOL TAB 325MG,29
THIAMINE HCL,29
ELOXATIN,29
SULCRATE,29
MELATONIN,29
MICRO-K EXTENCAPS,29
SUPEUDOL,29
QUININE SULFATE,29
CENTRUM TABLETS,29
MOXIFLOXACIN,29
BLOOD WHOLE,29
VOLTAREN EMULGEL,29
REPLAVITE,29
NEXIUM - 40MG,29
OXYCODONE-ACETAMINOPHEN,28
TOTAL PARENTERAL NUTRITION (TPN),28
PROPRANOLOL HYDROCHLORIDE INJECTION USP,28
PHENYLBUTAZONE,28
NOVO-TRIMEL TAB,28
DALACIN C PHOSPHATE,28
PANTOPRAZOLE SODIUM,28
SABIN,28
ZYPREXA ZYDIS,28
CARBOCAL D,28
FLEXERIL   -(10MG),28
METHYLPREDNISOLONE NOS,28
PURINETHOL,28
DIANE-35,28
ACETAMINOPHEN AND CODEINE,28
CANESTEN,28
PENICILLIN V,28
CHLORHEXIDINE,28
TUINAL,28
TAMSULOSIN,28
AVODART,28
NITROFURANTOIN,28
RITALIN,28
BENLYSTA FOR I.V. INFUSION ONLY. 80MG/ML (RECONST.),28
TYLENOL WITH CODEINE,28
INTUBATION,27
ENTOCORT CAPSULE 3MG,27
FLUVIRAL,27
CATAPRES,27
TRIAMCINOLONE,27
ACEBUTOLOL HYDROCHLORIDE,27
BURO SOL ANTISEPTIC POWDER,27
TANDEARIL,27
COPAXONE,27
MAVIK,27
BUSCOPAN,27
MERCAPTOPURINE,27
ADRENALIN CHLORIDE SOL 1:1000,27
MAGNOLAX,27
NICODERM,27
TRIAZOLAM,27
SUDAFED,27
CLINORIL,27
PACLITAXEL INJECTION,27
NOVAMOXIN,27
CECLOR,27
DESYREL,27
ACETAMINOPHEN WITH CODEINE - CAPLET,27
ANTIDEPRESSANTS,27
C.E.S. TABLETS,27
VALIUM NOS,27
DOPAMINE,27
APO-RAMIPRIL,27
APO-SULFATRIM,27
GARAMYCIN,27
KALETRA,27
PERSANTINE,27
TOFRANIL,27
MUPIROCIN,27
PROPOFOL INJECTION,27
ZOSTAVAX,27
ENDOCET,27
BACTRIM DS ROCHE TAB,27
NOVO-TRIMEL DS TAB,27
ZOMETA CONCENTRATE,27
FLEET ENEMA,27
CHLORPROPAMIDE,27
PARACETAMOL,27
RITONAVIR,27
OXEZE TURBUHALER,26
ALDARA 5% CREAM,26
PROCYCLIDINE HCL,26
ISENTRESS,26
DICLOFENAC SODIUM,26
METHOTRIMEPRAZINE,26
LOVASTATIN,26
ROCALTROL,26
EXELON,26
292 TAB,26
AMPHOTERICIN B,26
PIPERACILLIN FOR INJECTION, USP,26
GLUCOSAMINE & CHONDROITIN,26
AMPICIN,26
MONOCOR,26
MESNA FOR INJECTION,26
MICARDIS PLUS,26
THEO-DUR,26
MINERAL OIL,26
DILTIAZEM CD,26
DIOVOL,26
APO FUROSEMIDE,26
FAMCICLOVIR,26
FELDENE,26
FLUIDS,26
BENZTROPINE MESYLATE,26
CLOBAZAM-10,26
KYTRIL,26
TICLID TAB 250MG,26
DURAGESIC,26
LIDEX,26
THIORIDAZINE,26
PLATELETS,26
REFRESH LACRI-LUBE,26
CORDARONE,26
CHOLESTYRAMINE,26
FELODIPINE,26
SURFAK,26
ETHAMBUTOL,26
INCIVEK,26
APO HYDRO,26
PROGRAF,26
RATIO-FENTANYL,26
CLOBAZAM,25
ORTHO 7/7/7 TABLETS (28 DAY),25
STREPTOMYCIN FOR INJECTION USP,25
RISPERIDONE (JANSSEN-ORTHO),25
IMMUNE SERUM GLOBULIN (HUMAN),25
VIAGRA,25
ABILIFY,25
TYLENOL EXTRA STRENGTH EZ,25
CORTEF,25
CLAFORAN,25
HYDRATION,25
BACTRIM ROCHE,25
SUSTIVA,25
MYOCHRYSINE,25
FIORINAL,25
MEVACOR,25
MACROBID (100 MG),25
PEGASYS,25
TRIMETHOPRIM-SULFAMETHOXAZOLE,25
OXYNEO,25
DENOSUMAB,25
INDERAL LA,25
FUCIDIN OINTMENT 2%,25
OMNIPAQUE,25
DARVON N COMPOUND PULVULE 405,25
XARELTO,25
NITROLINGUAL SPRAY 0.4MG/EAM,25
METHOTREXATE INJECTION, USP,25
METOCLOPRAMIDE HCL,25
RAPAMUNE,25
FOSINOPRIL,25
INFLUENZA VACCINE,25
AVEENO PREPARATIONS,25
GLUCONORM,25
PETHIDINE INJECTION B.P.,25
TRAMADOL HYDROCHLORIDE,25
NOREPINEPHRINE,25
ISONIAZID,25
BETADERM,24
BETNOVATE-N CREAM,24
ADRIAMYCIN,24
XYLOCAINE,24
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,24
STAVUDINE = D4T,24
GLYCERIN,24
NIFEDIPINE XL,24
VERAPAMIL HYDROCHLORIDE INJECTION USP,24
FLUID(S),24
ELIDEL,24
CANDESARTAN CILEXETIL,24
EMLA CRM,24
NADOLOL,24
VIRAMUNE,24
ADDERALL XR,24
NYSTATIN ORAL SUSPENSION 100000UNIT/ML USP,24
AMANTADINE,24
ONE ALPHA,24
KEMADRIN,24
NOLUDAR,24
DEPO-MEDROL,24
PREPULSID,24
VENTOLIN HFA,24
CARVEDILOL,24
TYLENOL W CODEINE NO2 TAB,24
DEXTROSE 5% IN WATER,24
CORGARD,24
PROBIOTIC,24
TRI-CYCLEN TABLETS - 28-DAY,24
PEGETRON,24
PRISTIQ,24
ALDOMET,24
MEPERIDINE,24
CARDIZEM SR,24
KEFLIN,24
POTASSIUM (NOS),24
MAGIC MOUTHWASH,24
GLYCERIN SUPPOSITORIES,24
CEFZIL,24
LUVOX,24
CORTISONE ACETATE,24
AGGRENOX,24
VANCOCIN,24
HYTRIN,24
LERITINE,24
ZELDOX,24
NORVIR,23
COSOPT  -(2%/0.5% OPH DPS),23
METOLAZONE,23
PRONESTYL,23
MINIPRESS,23
MACRODANTIN,23
SALAZOPYRIN,23
MARIJUANA,23
ATENOLOL,23
TETANUS TOXOID,23
PACKED RED BLOOD CELLS,23
ALEVE,23
ISOPTIN,23
EMPRACET,23
QUINAPRIL,23
NIASPAN,23
TRIAMTERENE,23
RIBOFLAVIN,23
LUMIGAN,23
ESTRADIOL,23
MMR II,23
URSODIOL,23
TOPICAL AGENT(S),23
INTRON A,23
BIQUIN DURULES 250 MG,23
ADALAT P.A.,23
DIDROCAL,23
COVERSYL PLUS,23
QVAR,23
INNOHEP,23
ISOPTIN SR,23
CEFPROZIL,23
BACTRIM ROCHE TAB,23
TANTUM LIQ 0.15%,23
WESTCORT CRM 0.2%,23
PREZISTA,23
PALAFER,23
NOVO VENLAFAXINE XR,23
LABETALOL,23
ADVAIR 500 DISKUS,23
CARDIZEM CD,22
APO-PREDNISONE,22
APO ALLOPURINOL,22
DIDRONEL,22
SENOKOT TABLETS,22
DELTASONE,22
DEPAKENE,22
INSULIN LENTE,22
GAVISCON,22
PANECTYL,22
NOROXIN,22
RIBAVIRIN,22
CLOPIDOGREL,22
CODEINE CONTIN,22
ETRAFON D TAB,22
BLEOMYCIN SULPHATE FOR INJECTION USP,22
PYRIDIUM,22
ATACAND PLUS,22
ADVAIR 250 DISKUS,22
APO HYDROXYZINE,22
NEORAL,22
MARVELON 28 TAB,22
ATARAX SYRUP 2MG/ML,22
CRESTOR - 20MG,22
SUPRAX,22
TAMIFLU CAPSULE 75MG,22
GAMMA GLOBULIN,22
CALCIUM GLUCONATE,22
DIPHTHERIA AND TETANUS TOXOIDS ADSORBED,22
NEMBUTAL,22
EVISTA (60MG),22
