drug,countreact
PAXIL,34
REMICADE,22
CHAMPIX,22
AMITRIPTYLINE,21
EFFEXOR XR,21
CLONAZEPAM,21
LYRICA,20
LIPITOR,20
HUMIRA,18
SYNTHROID,18
ZOPICLONE,17
METFORMIN,17
LORAZEPAM,17
PREDNISONE,17
SEROQUEL,16
FOLIC ACID,16
CELEBREX,15
METHOTREXATE,15
OXYCONTIN,15
ETHANOL,15
CRESTOR,14
TYLENOL WITH CODEINE NO. 3 - TAB,14
TRAZODONE,14
ASA,14
HYDROMORPHONE,13
RAMIPRIL,13
RISPERDAL,13
ATIVAN,13
CALCIUM,12
VENTOLIN,12
DIOVAN,12
CELEXA,12
CYMBALTA,12
REBIF,12
RANITIDINE,12
PANTOLOC,12
CLOZARIL,11
DILAUDID,11
ALTACE,11
VITAMIN D,11
MULTIVITAMINE(S),11
LOSEC,11
NORVASC,11
GLYBURIDE,11
OMEPRAZOLE,11
ASPIRIN,11
DILTIAZEM,10
MORPHINE SULFATE,10
COCAINE,10
HYDROCHLOROTHIAZIDE,10
CITALOPRAM,10
LEVOTHYROXINE,10
SPIRIVA,10
PANTOPRAZOLE,10
WELLBUTRIN,10
BENADRYL,10
IMOVANE,10
ENBREL,10
FUROSEMIDE,10
BACLOFEN,10
ACLASTA,10
EPIVAL,9
GABAPENTIN,9
SYMBICORT TURBUHALER,9
IBUPROFEN,9
OLANZAPINE,9
VENLAFAXINE XR,9
EZETROL,9
ACETYLSALICYLIC ACID,9
OXYCODONE,9
METOPROLOL,9
VITAMIN B12,9
CIPRALEX,9
PLAVIX,9
TYLENOL,8
FLUOXETINE,8
COVERSYL,8
PROZAC,8
DOMPERIDONE,8
ADVAIR,8
FOSAMAX,8
XOLAIR,8
LITHIUM,8
ACETAMINOPHEN,8
ASAPHEN,8
MORPHINE,8
NEXIUM,8
ZYPREXA,8
LACTULOSE,8
SALBUTAMOL,8
PERCOCET,8
ADVIL,7
PROPRANOLOL,7
CARBAMAZEPINE,7
ZOLOFT,7
MARIJUANA,7
AVAPRO,7
BETASERON,7
INSULIN,7
VITAMIN C,7
EXJADE,7
NAPROXEN,7
BISOPROLOL,7
CALCIUM & VITAMIN D,7
OMEGA - 3,7
VITAMIN B COMPLEX,7
MIRAPEX,7
ATENOLOL TABLETS, BP,7
FENTANYL,7
PREVACID,7
IRON,6
DIABETA,6
GRAVOL,6
ZOMETA CONCENTRATE,6
SPIRONOLACTONE,6
ELTROXIN,6
TOPIRAMATE,6
ALLOPURINOL,6
ATORVASTATIN CALCIUM,6
SERTRALINE,6
NOVORAPID,6
ACTONEL,6
SANDOSTATIN LAR 30MG,6
SIMVASTATIN,6
CONCERTA,6
RISPERIDONE,6
TYSABRI,6
ALENDRONATE,6
DIPHENHYDRAMINE,6
GLUCOSAMINE,6
ARIMIDEX TAB 1MG,6
EXTRANEAL,6
COUMADIN,6
SINGULAIR,6
PRADAX,6
MIRTAZAPINE,6
PRISTIQ,6
ZELDOX,6
AMLODIPINE,6
METHADONE,6
FLOVENT HFA,6
CIPRO,5
CORTISONE,5
DIANEAL PD4 CAPD SOLUTION WITH DEXTROSE AND CALCIUM,5
VITAMINS,5
CYANOCOBALAMIN,5
LEVODOPA-CARBIDOPA,5
AVALIDE,5
SIMPONI,5
NASONEX,5
RASILEZ,5
VALPROIC ACID,5
LUPRON DEPOT,5
NITROGLYCERIN,5
NOVO-METHYLPHENIDATE ER-C,5
CIMZIA,5
WELLBUTRIN XL,5
AVELOX,5
CLONIDINE,5
INVEGA,5
IMURAN,5
CIPROFLOXACIN,5
COENZYME Q10,5
TRAMACET,5
DEMEROL,5
ANTI-HYPERTENSIVE MEDICATION(S),5
DOCUSATE SODIUM,5
NOVO VENLAFAXINE XR,5
HYDROXYZINE,5
DEPO-PROVERA STERILE AQUEOUS SUSPENSION,5
JANUVIA,5
FERROUS SULPHATE,5
FLOVENT,5
PARIET,5
CRESTOR - 20MG,5
LIPITOR 10MG TABLETS,5
CODEINE,5
VITAMIN E,5
ALPRAZOLAM,5
DIAZEPAM,5
MAGNESIUM,5
TAMOXIFEN,5
EFFEXOR NOS,5
ERGOCALCIFEROL,5
VERAPAMIL HCL,5
DIOVAN-HCT,5
ELAVIL,5
COZAAR,5
REACTINE,5
ARAVA,5
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,5
MICARDIS,5
COD LIVER OIL,4
ESTROGENS,4
ATACAND,4
STELARA,4
HCTZ,4
APO-LANSOPRAZOLE,4
TETANUS TOXOID,4
TRAMADOL HYDROCHLORIDE,4
DENOSUMAB,4
LASIX,4
REMINYL,4
RISPERDAL CONSTA,4
ROPINIROLE HYDROCHLORIDE,4
LIPID MODIFYING AGENT,4
MIRENA,4
GLUCONORM,4
DIGOXIN,4
ESTRACE,4
MOBICOX,4
EXELON,4
PAROXETINE,4
CORTICOSTEROID(S),4
XANAX,4
LAMOTRIGINE,4
APO-CITALOPRAM,4
MACROBID (100 MG),4
DURAGESIC,4
PAXIL CR,4
LANTUS,4
ZOCOR,4
MELATONIN,4
STRATTERA,4
TESTOSTERONE,4
HEPARIN SODIUM,4
HYDROXYCHLOROQUINE,4
VITALUX,4
CYCLOPHOSPHAMIDE,4
ZYPREXA ZYDIS,4
ENDOCET,4
SENNOSIDES,4
FLURAZEPAM HYDROCHLORIDE,4
ANTIDEPRESSANTS,4
APO-BISOPROLOL,4
MAVIK,4
FLOMAX CR,4
PLAQUENIL,4
COPAXONE,4
PROLOPA,4
LEFLUNOMIDE,4
RITUXAN,4
SALBUTAMOL HFA,4
BRICANYL TURBUHALER 0.5 MG/AEM,4
TEMAZEPAM,4
NOVOLIN,4
HUMALOG,4
OXAZEPAM,4
TYKERB,4
CORTEF,4
ZYBAN,4
DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM,4
RABEPRAZOLE,4
APO-GABAPENTIN CAPSULES,4
REVLIMID,4
SEROQUEL XR,4
NAPROSYN,4
FORTEO,4
TENORMIN,4
CANNABIS,4
TRIDURAL,4
CIPRO XL,4
PRAVASTATIN SODIUM,4
XELODA,4
LANSOPRAZOLE,4
CARBOCAL D,4
THYROXINE,4
OXYCONTIN 40MG,4
PAXIL TAB 30MG,4
ACCUTANE ROCHE,4
CYCLOBENZAPRINE,4
RATIO-OXYCOCET,4
SANDOSTATIN LAR 20MG,4
AZILECT,4
POTASSIUM,4
YASMIN 28,4
RATIO-SALBUTAMOL HFA,4
MARVELON 28 TAB,4
AVANDIA,4
GLICLAZIDE,4
QUETIAPINE,4
ENTERIC COATED ASA,4
METRONIDAZOLE,4
TOPAMAX,4
PARACETAMOL,4
CRESTOR - 10MG,4
ALERTEC,4
MEDROXYPROGESTERONE ACETATE,4
HALDOL,3
ACCUPRIL,3
XARELTO,3
DALMANE,3
DIURETIC(S),3
FISH OIL,3
NORTRIPTYLINE,3
BUDESONIDE,3
HYDRALAZINE,3
CELEXA 20 MG,3
OMEGA 3-6-9,3
TRIHEXYPHENIDYL,3
PAXIL TAB 20MG,3
COGENTIN,3
PROVERA,3
DICLOFENAC,3
EPREX STERILE SOLUTION,3
FLAXSEED OIL,3
NOVASEN,3
CALCIUM CARBONATE,3
ONDANSETRON,3
LOXAPINE,3
APO-METFORMIN - TAB 500MG,3
SENOKOT,3
AVANDAMET,3
SINEMET,3
SULFAMETHOXAZOLE AND TRIMETHOPRIM,3
NIFEDIPINE,3
LECITHIN,3
DIOVAN-HCT 160MG/12.5MG,3
TEGRETOL,3
TOLTERODINE,3
VASOTEC,3
PRAMIPEXOLE,3
LAMICTAL,3
AREPANRIX H1N1,3
NEXIUM - 40MG,3
BIAXIN XL,3
TEMODAL,3
THYROID,3
OXEZE TURBUHALER,3
CIPRALEX   -10MG,3
DETROL,3
LEVAQUIN,3
APO AMITRIPTYLINE HCL TAB 10MG,3
GLUMETZA,3
HYDROMORPHONE HYDROCHLORIDE INJECTION USP,3
KEPPRA,3
ZYPREXA  -2.5MG,3
LISINOPRIL,3
DIMENHYDRINATE,3
ENALAPRIL,3
ARTHROTEC,3
SANDOSTATIN LAR,3
AZATHIOPRINE,3
OXYCONTIN 80MG,3
PEGASYS RBV,3
AGGRENOX,3
LARIAM TAB 250MG,3
APO FUROSEMIDE TAB 40MG,3
AZITHROMYCIN,3
HEROIN,3
INDOMETHACIN,3
CLOZAPINE,3
POTASSIUM CHLORIDE,3
RATIO-ATORVASTATIN,3
GLUCOBAY,3
CEFAZOLIN FOR INJECTION, USP,3
HYDROMORPH CONTIN,3
CILAZAPRIL,3
AMIODARONE,3
DOXORUBICIN HYDROCHLORIDE INJECTION,3
APO-PIOGLITAZONE,3
MEVACOR,3
VICTRELIS TRIPLE BOCEPREVIR CAPSULE 200 MG, RIBAVIRIN CAPSULE 200MG, PEGINTERFERON ALFA-2B POWDER FOR SOLUTION,3
METHAMPHETAMINE,3
EPIPEN,3
SYNTHROID - TAB 75MCG,3
CALCIUM & MAGNESIUM,3
ZITHROMAX,3
DEXAMETHASONE,3
ATACAND PLUS,3
NARCOTIC ANALGESICS,3
HYDREA CAP 500MG,3
CELLCEPT,3
CHOLECALCIFEROL,3
AMANTADINE,3
PROCHLORPERAZINE,3
APO-CLOZAPINE,3
