drug,countreact
REMICADE,315
HUMIRA,215
PREDNISONE,213
METHOTREXATE,195
FOLIC ACID,160
CALCIUM,157
VITAMIN D,143
LIPITOR,140
SYNTHROID,121
MULTIVITAMINE(S),120
CRESTOR,119
METFORMIN,114
ACETAMINOPHEN,107
METOPROLOL,106
PANTOLOC,100
TYLENOL,100
RAMIPRIL,93
CELEBREX,92
ACLASTA,92
ENBREL,90
HYDROCHLOROTHIAZIDE,88
ACTONEL,86
NORVASC,85
PANTOPRAZOLE,84
IMURAN,83
CLONAZEPAM,83
LEVOTHYROXINE,82
ASA,81
FUROSEMIDE,81
SANDOSTATIN LAR,81
ASPIRIN,77
ERGOCALCIFEROL,76
ACETYLSALICYLIC ACID,76
NEXIUM,75
AMITRIPTYLINE,75
FORTEO,74
ZOPICLONE,74
VITAMIN B12,73
OMEPRAZOLE,73
WARFARIN,72
LORAZEPAM,71
IRON,70
VENTOLIN,70
ATIVAN,68
RABEPRAZOLE,66
LASIX,66
GABAPENTIN,65
ATENOLOL TABLETS, BP,65
HYDROMORPHONE,65
LYRICA,65
AMLODIPINE,64
CLOZARIL,64
BENADRYL,64
EFFEXOR XR,62
MORPHINE,62
TYLENOL WITH CODEINE NO. 3 - TAB,62
RANITIDINE,61
BISOPROLOL,61
COUMADIN,59
AZATHIOPRINE,59
SANDOSTATIN LAR 30MG,59
VITAMIN C,59
FOSAMAX,58
ALTACE,58
PARIET,57
LOSEC,57
SALBUTAMOL,57
DOCUSATE SODIUM,56
PLAQUENIL,56
DIOVAN,56
PREVACID,55
HYDROXYCHLOROQUINE,53
PLAVIX,53
SOLU-CORTEF,53
SPIRIVA,52
CITALOPRAM,52
FENTANYL,51
ATACAND,51
STELARA,51
BETASERON,51
LUPRON DEPOT,50
DOMPERIDONE,50
CELEXA,50
ACTEMRA,49
OXYCODONE,49
SIMPONI,49
NAPROXEN,48
SANDOSTATIN LAR 20MG,48
CYANOCOBALAMIN,48
HYDROCORTISONE,48
PERCOCET,47
CALCIUM CARBONATE,46
XOLAIR,44
ADVAIR,44
INSULIN,44
DILAUDID,43
TRAZODONE,43
CALCIUM & VITAMIN D,43
ALENDRONATE,43
COVERSYL,43
OXAZEPAM,41
DEXAMETHASONE,41
CIPRALEX,41
REBIF,41
BACLOFEN,41
TACROLIMUS,40
GLYBURIDE,40
RITUXAN,40
ANTIINFECTIVES FOR SYSTEMIC USE,39
SYMBICORT TURBUHALER,39
FLOVENT,39
CYCLOSPORINE,39
SULFASALAZINE,38
LEFLUNOMIDE,38
DILTIAZEM,38
MAVIK,38
CYMBALTA,38
HEPARIN SODIUM,38
DIGOXIN,38
ARTHROTEC,37
ALLOPURINOL,37
GRAVOL,37
AVAPRO,37
SIMVASTATIN,36
VENLAFAXINE XR,35
CORTISONE,35
ORENCIA,35
FERROUS SULPHATE,35
MAGNESIUM,35
EZETROL,34
OXYCONTIN,34
COLACE,34
SINGULAIR,34
PAXIL,34
CODEINE,33
DIPHENHYDRAMINE,33
LANSOPRAZOLE,33
TYSABRI,33
IBUPROFEN,33
REVLIMID,33
ATORVASTATIN CALCIUM,33
ARAVA,33
NITROGLYCERIN,32
SANDOSTATIN,32
SENOKOT,32
MYCOPHENOLATE MOFETIL,32
WELLBUTRIN,32
CIPROFLOXACIN,32
ZANTAC,31
ELTROXIN,31
POTASSIUM,31
LACTULOSE,30
DENOSUMAB,30
CELLCEPT,30
EXJADE,29
SPIRONOLACTONE,29
HUMALOG,29
METRONIDAZOLE,29
VITAMIN B COMPLEX,29
ADVIL,29
XELODA,29
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,29
SERTRALINE,29
LANTUS,29
ELAVIL,29
ZOMETA CONCENTRATE,29
FERROUS GLUCONATE,28
CYCLOBENZAPRINE,28
NAPROSYN,28
COZAAR,28
RISEDRONATE SODIUM,28
DICLOFENAC,28
GLUCOSAMINE,28
PAROXETINE,28
VITAMIN E,28
MELOXICAM,27
MICARDIS,27
SEROQUEL,27
ASACOL,27
ASCORBIC ACID (VITAMIN C),27
FRAGMIN,27
OMEGA - 3,26
ZYPREXA,26
MORPHINE SULFATE,26
INDOMETHACIN,26
EPREX STERILE SOLUTION,26
PRADAX,26
NASONEX,26
PROGRAF,25
TECTA,25
ARANESP,25
SENNOSIDES,25
AMIODARONE,25
PENTASA,24
ENTERIC COATED ASA,24
XALATAN,24
DIPHENHYDRAMINE HYDROCHLORIDE,24
DIMENHYDRINATE,24
LOPRESOR,23
AMOXICILLIN,23
KALETRA,23
HCTZ,23
ACETAMINOPHEN AND CODEINE,23
BUDESONIDE,23
HYDROMORPH CONTIN,23
NYSTATIN,22
FLOMAX CR,22
DEMEROL,22
RATIO-OXYCOCET,22
TRAMACET,22
ANTINEOPLASTIC(S),22
CHOLECALCIFEROL,22
FLUTICASONE,22
IMODIUM,22
ADALAT XL,22
ANTI-HYPERTENSIVE MEDICATION(S),22
AVASTIN,22
AVALIDE,22
POTASSIUM CHLORIDE,21
TEMAZEPAM,21
QUETIAPINE,21
BUSCOPAN,21
CLONIDINE,21
VITAMINS,21
ASAPHEN,21
LITHIUM,21
ZOLOFT,21
RISPERIDONE,21
ATROVENT,21
MIDAZOLAM INJECTION,21
ONDANSETRON,21
PROCHLORPERAZINE,21
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,20
FISH OIL,20
PROPRANOLOL,20
DIOVAN-HCT,20
SALOFALK,20
TAMSULOSIN,20
OXYBUTYNIN,20
CIPRO,20
PREMARIN,19
CYCLOPHOSPHAMIDE,19
LISINOPRIL,19
CEFAZOLIN FOR INJECTION, USP,19
IMOVANE,19
CONTRACEPTIVES,19
ENALAPRIL,19
PARACETAMOL,18
SODIUM BICARBONATE,18
CIMZIA,18
TERAZOSIN,18
SENNA,18
VALSARTAN,18
CARBAMAZEPINE,18
STUDY DRUG,18
METOCLOPRAMIDE,18
FOSAVANCE,18
HYZAAR,18
METHYLPREDNISOLONE,17
GLUCOPHAGE,17
PAMIDRONATE DISODIUM FOR INJECTION,17
DIDROCAL,17
DIAZEPAM,17
DIURETIC(S),17
LUCENTIS,17
CALCIUM SANDOZ,17
CARVEDILOL,17
SOLU-MEDROL,17
TRAMADOL HYDROCHLORIDE,17
MERCAPTOPURINE,17
PRADAXA,17
GLICLAZIDE,17
FLUCONAZOLE,17
LOPERAMIDE,17
VITAMIN K,17
ZINC,17
NOVORAPID,17
CARBOCAL D,17
ESTROGENS,17
VITALUX,17
LAMOTRIGINE,16
NIFEDIPINE,16
GLEEVEC,16
HYDRALAZINE,16
XARELTO,16
CIALIS,16
PULMICORT,16
EPIVAL,16
EXTRANEAL,16
FLAGYL,16
VERAPAMIL HCL,16
PERINDOPRIL,16
FERROUS FUMARATE,16
CENTRUM TABLETS,16
THYROXINE,16
MIRTAZAPINE,16
FLUVOXAMINE,16
QUININE,16
FLUOROURACIL,15
OXYCODONE-ACETAMINOPHEN,15
PREDNISOLONE,15
KETOROLAC,15
RISPERDAL,15
TYKERB,15
VIAGRA,15
FLOMAX,15
CORTICOSTEROID(S),15
TYLENOL ARTHRITIS PAIN,15
ZOCOR,15
PRAVASTATIN SODIUM,15
PEGASYS RBV,15
LEUCOVORIN,15
