drug,countreact
PREDNISONE,98
METHOTREXATE,78
ASA,77
ASPIRIN,74
WARFARIN,73
REMICADE,73
SYNTHROID,72
LIPITOR,72
CALCIUM,70
HUMIRA,70
ACETAMINOPHEN,70
METOPROLOL,69
FUROSEMIDE,69
FOLIC ACID,68
CRESTOR,67
TYLENOL,64
CELEBREX,64
PANTOLOC,64
NORVASC,63
METFORMIN,62
RAMIPRIL,62
VITAMIN D,61
COUMADIN,60
PANTOPRAZOLE,60
CLONAZEPAM,60
ACETYLSALICYLIC ACID,58
MULTIVITAMINE(S),57
LASIX,57
ATIVAN,57
HYDROCHLOROTHIAZIDE,56
PLAVIX,56
DIGOXIN,54
ZOPICLONE,54
LORAZEPAM,54
RANITIDINE,54
VENTOLIN,51
ZYPREXA,51
ALTACE,51
MORPHINE,50
EFFEXOR XR,50
HEPARIN SODIUM,50
VITAMIN B12,49
AMITRIPTYLINE,49
ATENOLOL TABLETS, BP,49
ACTONEL,49
ANTIINFECTIVES FOR SYSTEMIC USE,47
DOMPERIDONE,47
BISOPROLOL,47
INSULIN,47
HEPARIN SODIUM INJECTION, USP,47
DEXAMETHASONE,46
TYLENOL WITH CODEINE NO. 3 - TAB,46
NITROGLYCERIN,46
HYDROMORPHONE,45
LYRICA,45
DOCUSATE SODIUM,45
NEXIUM,45
GABAPENTIN,45
GLYBURIDE,45
ACLASTA,45
VASOTEC,45
LEVOTHYROXINE,44
CLOZARIL,44
LOSEC,44
PREMARIN,44
EZETROL,44
ALLOPURINOL,43
FENTANYL,43
AMLODIPINE,43
OMEPRAZOLE,43
DIOVAN,43
TRAZODONE,43
PREVACID,43
PARIET,42
ENBREL,42
ATORVASTATIN CALCIUM,42
ZANTAC,41
SALBUTAMOL,41
SANDOSTATIN LAR 30MG,41
FLOVENT,41
FORTEO,41
VIOXX,41
IBUPROFEN,40
COLACE,40
ERGOCALCIFEROL,40
BENADRYL,40
ADVAIR,40
RITUXAN,39
CALCIUM & VITAMIN D,39
DILAUDID,39
ELTROXIN,39
ACTEMRA,39
NAPROXEN,39
CITALOPRAM,39
PAXIL,38
SOLU-MEDROL,38
PRADAX,38
ATACAND,38
CALCIUM CARBONATE,38
FOSAMAX,38
DIPHENHYDRAMINE,38
PLAQUENIL,37
RISPERDAL,37
VITAMIN C,37
SEROQUEL,37
EPREX STERILE SOLUTION,37
LISINOPRIL,37
CIPROFLOXACIN,36
SIMVASTATIN,36
FRAGMIN,36
AVAPRO,36
CELEXA,36
MORPHINE SULFATE,36
COVERSYL,35
HYDROCORTISONE,35
SPIRIVA,35
ELAVIL,35
FERROUS SULPHATE,35
ZOCOR,34
SOLU-CORTEF,34
GRAVOL,34
ASAPHEN,34
DILTIAZEM,34
ADALAT XL,34
OXAZEPAM,34
CYANOCOBALAMIN,33
IRON,33
CISPLATIN INJECTION,33
CODEINE,33
SENOKOT,33
CYCLOPHOSPHAMIDE,33
AMIODARONE,33
LOVENOX,32
MAVIK,32
OXYCODONE,32
ONDANSETRON,32
ZOLOFT,32
DIAZEPAM,32
ACETYLSALICYLIC ACID ENT CTD,32
TEMAZEPAM,32
SANDOSTATIN LAR 20MG,32
REBIF,31
SPIRONOLACTONE,31
SINGULAIR,31
POTASSIUM CHLORIDE,31
DIMENHYDRINATE,31
SERAX,31
LEUCOVORIN,31
FERROUS GLUCONATE,31
MICARDIS,31
BACLOFEN,31
XOLAIR,31
FLUCONAZOLE,30
PROVERA,30
HALDOL,30
SANDOSTATIN LAR,30
DEMEROL,30
EPIVAL,30
BETASERON,30
OXYGEN,30
LUPRON DEPOT,30
COZAAR,29
CELLCEPT,29
ALENDRONATE,29
NIFEDIPINE,29
METOCLOPRAMIDE,29
IMURAN,29
K-DUR,29
SYMBICORT TURBUHALER,29
LANOXIN,29
HYDROXYCHLOROQUINE,29
CLINDAMYCIN,29
AZATHIOPRINE,29
GLUCOPHAGE,29
HUMALOG,29
VITAMIN E,28
ADVIL,28
DECADRON,28
CYCLOSPORINE,28
EPINEPHRINE,28
GENTAMICIN,28
ARTHROTEC,28
PAROXETINE,28
DILANTIN,28
ORENCIA,28
METRONIDAZOLE,28
VITAMIN K,27
METHYLPREDNISOLONE SODIUM SUCCINATE FOR INJECTION,27
EXTRANEAL,27
LANSOPRAZOLE,27
IMOVANE,27
RABEPRAZOLE,27
ATROVENT,27
ENTROPHEN,27
OXYCONTIN,27
DIANEAL PD4 CAPD SOLUTION WITH 1.5% DEXTROSE AND 2.5MEQ/L CALCIUM,27
NEURONTIN,27
CIPRO,27
PERINDOPRIL,27
NASONEX,27
YASMIN 28,27
NORMAL SALINE,27
ACCUPRIL,26
VALPROIC ACID,26
HCTZ,26
CHAMPIX,26
AVASTIN,26
DIURETIC(S),26
LACTULOSE SYRUP,26
INDAPAMIDE,26
DIANE-35,26
NAPROSYN,26
NYSTATIN,26
LOPRESOR,26
INNOHEP,26
NORVASC TAB 5MG,26
HALOPERIDOL,26
ANTICOAGULANTS,25
ETOPOSIDE INJECTION, USP,25
DIANEAL PD4 CAPD SOLUTION WITH 2.5% DEXTROSE AND 2.5MEQ/L CALCIUM,25
DIPHENHYDRAMINE HYDROCHLORIDE,25
PROPRANOLOL,25
HUMULIN,25
ESTRADERM,25
CONTRACEPTIVES,25
WELLBUTRIN SR,25
SANDOSTATIN,25
FLOMAX CR,25
SERTRALINE,25
AMOXICILLIN,25
TENORMIN,25
GLICLAZIDE,25
ZYPREXA ZYDIS,25
ADALAT,25
MAXERAN,25
ENOXAPARIN,25
MIDAZOLAM INJECTION,25
CORTISONE,25
FLUOXETINE,25
CEFAZOLIN FOR INJECTION, USP,25
CYCLOBENZAPRINE,25
PRAVASTATIN SODIUM,24
SLOW K 600MG,24
ALPRAZOLAM,24
GLEEVEC,24
BUDESONIDE,24
REVLIMID,24
RIVOTRIL,24
ANTI-HYPERTENSIVE MEDICATION(S),24
TEGRETOL,24
STEMETIL,24
DIDROCAL-400MG(ETIDRONATE DISOD.)TAB AND 1250MG(CA CARB.)TAB(500MG CA),24
ZOFRAN,24
LITHIUM,24
XANAX,24
VIAGRA,24
NITRO-DUR,24
PROCHLORPERAZINE,24
LACTULOSE,24
SEPTRA,24
STEROID(S),23
PROZAC,23
TIAZAC,23
REACTINE,23
VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP,23
FRESH FROZEN PLASMA,23
SENNOSIDES,23
ERYTHROMYCIN,23
TYLENOL W CODEINE NO3 TAB,23
GLUCOSAMINE,23
FLAGYL,23
CYMBALTA,23
VALSARTAN,23
TERAZOSIN,23
OLANZAPINE,23
EFFEXOR NOS,23
MAGNESIUM SULFATE,23
EVISTA (60MG),23
AMPICILLIN,22
ALDACTONE,22
METHYLPREDNISOLONE,22
ZYBAN,22
PROPOFOL INJECTION,22
BETA-BLOCKING AGENTS,22
BLOOD WHOLE,22
PERCOCET,22
ESTROGENS,22
IMITREX,22
ARIMIDEX TAB 1MG,22
PACKED RED BLOOD CELLS,22
MONOPRIL,22
VOLTAREN,22
FLUOROURACIL,22
MS CONTIN,22
MYCOPHENOLATE MOFETIL,22
CLONIDINE,22
PHENYTOIN,22
DALMANE,22
LANTUS,22
ENTERIC COATED A.S.A,22
AMANTADINE,22
DOPAMINE,22
VENLAFAXINE XR,22
INTUBATION,22
METHYLPREDNISOLONE NOS,22
CIPRALEX,22
ROCEPHIN,22
MELOXICAM,22
SINEMET,21
TOPAMAX,21
TAMSULOSIN,21
POTASSIUM,21
RISPERIDONE,21
ARICEPT,21
COLCHICINE,21
XALATAN,21
BIAXIN,21
XARELTO,21
DURAGESIC,21
PREDNISOLONE,21
ATROPINE,21
VITAMIN B COMPLEX,21
QUETIAPINE,21
PRAVACHOL,21
VITAMIN B6,21
CLOXACILLIN,21
EXELON,21
POTASSIUM (NOS),21
AVANDIA,21
PROGRAF,21
DOCUSATE NOS,21
FLOMAX,21
HYZAAR,20
OXYBUTYNIN,20
STATEX,20
OMEGA - 3,20
PLATELETS,20
RED BLOOD CELLS,20
AVELOX,20
PROLIA PRE-FILLED SYRINGE. PRESERVATIVE-FREE.,20
SODIUM CHLORIDE,20
ARAVA,20
MIRENA,20
VITAMINS,20
SODIUM BICARBONATE,20
DIABETA,20
NORTRIPTYLINE,20
FLUTICASONE,20
CARBOPLATIN,20
CORTICOSTEROID(S),20
CAPTOPRIL,20
WELLBUTRIN,20
VINCRISTINE SULFATE INJECTION USP,20
ETHANOL,20
IPRATROPIUM,20
CARDIZEM,20
OXYCODONE-ACETAMINOPHEN,20
XELODA,20
RASILEZ,20
NOVASEN,20
RISEDRONATE SODIUM,20
ROCALTROL,20
FAMOTIDINE,20
MIRTAZAPINE,20
ANTINEOPLASTIC(S),20
DYAZIDE TAB,20
TYLENOL EXTRA STRENGTH TAB 500MG,19
CONJUGATED ESTROGENS,19
MAGNESIUM,19
JANUVIA,19
THYROXINE,19
TRAMACET,19
BISACODYL,19
DIAMICRON,19
GLYCERYL TRINITRATE,19
DOXORUBICIN HYDROCHLORIDE INJECTION,19
TOBRAMYCIN INJECTION USP,19
KEFLEX,19
HYDROMORPH CONTIN,19
DOPAMINE HCL,19
IV FLUIDS,19
BUPROPION,19
NOVORAPID,19
LOMOTIL,19
ACYCLOVIR,19
DEPO-MEDROL,19
DIOVAN-HCT,19
RAPAMUNE,19
L-THYROXINE,19
CIMZIA,19
DICLOFENAC SODIUM,19
ACE INHIBITOR,19
TASIGNA,19
CHOLECALCIFEROL,19
SULFASALAZINE,19
LIPIDIL,19
CARBAMAZEPINE,19
ATARAX,18
PHENOBARBITAL,18
FERROUS FUMARATE,18
INDERAL,18
ADRENALIN CHLORIDE SOL 1:1000,18
SUTENT,18
SEREVENT,18
PENTASPAN,18
NEUPOGEN,18
NITROLINGUAL SPRAY 0.4MG/EAM,18
ALTEPLASE (T-PA),18
PULMICORT,18
MOBICOX,18
YAZ,18
ELOXATIN,18
ZAROXOLYN,18
ARANESP,18
ZYLOPRIM,18
INDOCID,18
AVALIDE,18
INSULIN NPH,18
CIALIS,18
CEFTAZIDIME FOR INJECTION, USP,18
CRYOPRECIPITATE,18
TAXOTERE,18
METHADONE,18
ANCEF,18
NICODERM,18
LOPERAMIDE,18
CEPHALEXIN,18
NIACIN,18
HUMULIN R INJ,18
LEFLUNOMIDE,18
TORADOL,18
CYTARABINE INJECTION,18
AZITHROMYCIN,18
ACEBUTOLOL HYDROCHLORIDE,18
LAMICTAL,17
FLURAZEPAM HYDROCHLORIDE,17
PANTOPRAZOLE SODIUM,17
IRBESARTAN,17
CIMETIDINE,17
DICLOFENAC,17
VENTILATION,17
GILENYA,17
COMBIVENT,17
CARVEDILOL,17
ISOSORBIDE DINITRATE,17
CETIRIZINE,17
HYDROXYZINE,17
TACROLIMUS,17
LEVOFLOXACIN,17
MANNITOL,17
STUDY DRUG,17
NOVOLIN,17
CHLORAL HYDRATE SYRUP,17
PEGASYS RBV,17
INTRON A,17
REMERON,17
ANALGESICS,17
TOPIRAMATE,17
LAMOTRIGINE,17
CATAPRES,17
KAYEXALATE,17
EMPRACET,17
MONOCOR,17
ISORDIL,17
VALTREX,17
3TC,17
TAMOXIFEN,17
DETROL,17
M-ESLON,17
METFORMIN HYDROCHLORIDE,17
ZOMETA CONCENTRATE,17
PRADAXA,17
APO HYDRO,17
DULCOLAX,17
TETRACYCLINE,16
FENOFIBRATE,16
FLONASE - AEM-SUS NAS  50MCG/MD,16
KETOROLAC,16
ENALAPRIL,16
CLARITIN,16
STELARA,16
